code,sec_code,doc_id,edinet_code,filer_name,submit_date,period_start,period_end,doc_description,ordinance_code,form_code
1301,13010,S100W543,E00012,株式会社　極洋,2025-06-25 16:11,2024-04-01,2025-03-31,有価証券報告書－第102期(2024/04/01－2025/03/31),010,030000
1301,13010,S100TQGG,E00012,株式会社　極洋,2024-06-25 15:18,2023-04-01,2024-03-31,有価証券報告書－第101期(2023/04/01－2024/03/31),010,030000
1301,13010,S100R30D,E00012,株式会社　極洋,2023-06-27 15:04,2022-04-01,2023-03-31,有価証券報告書－第100期(2022/04/01－2023/03/31),010,030000
1332,13320,S100W2X5,E00014,株式会社ニッスイ,2025-06-26 13:21,2024-04-01,2025-03-31,有価証券報告書－第110期(2024/04/01－2025/03/31),010,030000
1332,13320,S100TQLS,E00014,株式会社ニッスイ,2024-06-26 16:12,2023-04-01,2024-03-31,有価証券報告書－第109期(2023/04/01－2024/03/31),010,030000
1332,13320,S100R66L,E00014,株式会社ニッスイ,2023-06-28 13:42,2022-04-01,2023-03-31,有価証券報告書－第108期(2022/04/01－2023/03/31),010,030000
1333,13330,S100W172,E00015,マルハニチロ株式会社,2025-06-23 15:00,2024-04-01,2025-03-31,有価証券報告書－第81期(2024/04/01－2025/03/31),010,030000
1333,13330,S100TOYU,E00015,マルハニチロ株式会社,2024-06-25 15:10,2023-04-01,2024-03-31,有価証券報告書－第80期(2023/04/01－2024/03/31),010,030000
1333,13330,S100R5V0,E00015,マルハニチロ株式会社,2023-06-27 15:22,2022-04-01,2023-03-31,有価証券報告書－第79期(2022/04/01－2023/03/31),010,030000
1375,13750,S100W4PR,E00007,ユキグニファクトリー株式会社,2025-06-25 16:00,2024-04-01,2025-03-31,有価証券報告書－第8期(2024/04/01－2025/03/31),010,030000
1375,13750,S100TVP2,E00007,株式会社雪国まいたけ,2024-06-27 15:30,2023-04-01,2024-03-31,有価証券報告書－第7期(2023/04/01－2024/03/31),010,030000
1375,13750,S100R6N0,E00007,株式会社雪国まいたけ,2023-06-28 15:30,2022-04-01,2023-03-31,有価証券報告書－第6期(2022/04/01－2023/03/31),010,030000
1376,13760,S100WL4U,E00004,カネコ種苗株式会社,2025-08-26 13:10,2024-06-01,2025-05-31,有価証券報告書－第78期(2024/06/01－2025/05/31),010,030000
1376,13760,S100U9OX,E00004,カネコ種苗株式会社,2024-08-28 13:04,2023-06-01,2024-05-31,有価証券報告書－第77期(2023/06/01－2024/05/31),010,030000
1376,13760,S100RR2U,E00004,カネコ種苗株式会社,2023-08-28 13:28,2022-06-01,2023-05-31,有価証券報告書－第76期(2022/06/01－2023/05/31),010,030000
1377,13770,S100WKSN,E00006,株式会社　サカタのタネ,2025-08-25 15:23,2024-06-01,2025-05-31,有価証券報告書－第84期(2024/06/01－2025/05/31),010,030000
1377,13770,S100U9TI,E00006,株式会社　サカタのタネ,2024-08-27 14:18,2023-06-01,2024-05-31,有価証券報告書－第83期(2023/06/01－2024/05/31),010,030000
1377,13770,S100RR8S,E00006,株式会社　サカタのタネ,2023-08-30 14:14,2022-06-01,2023-05-31,有価証券報告書－第82期(2022/06/01－2023/05/31),010,030000
1379,13790,S100W0ZY,E00008,ホクト株式会社,2025-06-20 15:10,2024-04-01,2025-03-31,有価証券報告書－第62期(2024/04/01－2025/03/31),010,030000
1379,13790,S100TPNJ,E00008,ホクト株式会社,2024-06-21 15:43,2023-04-01,2024-03-31,有価証券報告書－第61期(2023/04/01－2024/03/31),010,030000
1379,13790,S100R1XO,E00008,ホクト株式会社,2023-06-23 15:35,2022-04-01,2023-03-31,有価証券報告書－第60期(2022/04/01－2023/03/31),010,030000
1380,13800,S100W98M,E00344,株式会社秋川牧園,2025-06-30 11:36,2024-04-01,2025-03-31,有価証券報告書－第46期(2024/04/01－2025/03/31),010,030000
1380,13800,S100TXIC,E00344,株式会社秋川牧園,2024-06-28 10:28,2023-04-01,2024-03-31,有価証券報告書－第45期(2023/04/01－2024/03/31),010,030000
1380,13800,S100R5M9,E00344,株式会社秋川牧園,2023-06-28 09:11,2022-04-01,2023-03-31,有価証券報告書－第44期(2022/04/01－2023/03/31),010,030000
1381,13810,S100WPSG,E00009,株式会社アクシーズ,2025-09-18 17:09,2024-07-01,2025-06-30,有価証券報告書－第63期(2024/07/01－2025/06/30),010,030000
1381,13810,S100UEB6,E00009,株式会社アクシーズ,2024-09-19 14:16,2023-07-01,2024-06-30,有価証券報告書－第62期(2023/07/01－2024/06/30),010,030000
1381,13810,S100RVVU,E00009,株式会社アクシーズ,2023-09-21 10:56,2022-07-01,2023-06-30,有価証券報告書－第61期(2022/07/01－2023/06/30),010,030000
1382,13820,S100WPAF,E00010,株式会社ホーブ,2025-09-24 14:50,2024-07-01,2025-06-30,有価証券報告書－第39期(2024/07/01－2025/06/30),010,030000
1382,13820,S100UCNU,E00010,株式会社ホーブ,2024-09-25 11:26,2023-07-01,2024-06-30,有価証券報告書－第38期(2023/07/01－2024/06/30),010,030000
1382,13820,S100RXCU,E00010,株式会社ホーブ,2023-09-28 11:23,2022-07-01,2023-06-30,有価証券報告書－第37期(2022/07/01－2023/06/30),010,030000
1383,13830,S100XHX5,E25969,ベルグアース株式会社,2026-01-28 16:08,2024-11-01,2025-10-31,有価証券報告書－第25期(2024/11/01－2025/10/31),010,030000
