code,ticker,company_name,company_name_ja,market,sector_33,sector_17,scale_category,is_financial,revenue,operating_income,ordinary_income,net_income,total_assets,equity,operating_cf,investing_cf,financing_cf,rd_expense,capex,employees,revenue_growth,operating_income_growth,operating_margin,roe,equity_ratio,ocf_margin,rd_ratio,capex_ratio,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda
1301,1301.T,"KYOKUYO CO.,LTD.",株式会社　極洋,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Small 1,False,349017000000.0,12720000000.0,10857000000.0,8006000000.0,182125000000.0,68355000000.0,5843000000.0,,2149000000.0,,,2476.0,0.03411817455133859,0.1685629861055733,0.03644521613560371,0.11712383878282495,0.3753191489361702,0.016741304864806014,,,,,,,,,,,
1332,1332.T,Nissui Corporation,株式会社ニッスイ,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Mid400,False,919193000000.0,41785000000.0,35301000000.0,27213000000.0,634878000000.0,285939000000.0,40379000000.0,,-11452000000.0,,,10332.0,0.07151303822368837,0.10719007338079534,0.04545835314237597,0.09517064828512375,0.45038416829690114,0.043928750545315295,,,,,,,,,,,
1333,1333.T,Umios Corporation,マルハニチロ株式会社,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Mid400,False,1142137000000.0,32145000000.0,32254000000.0,29825000000.0,681211000000.0,275396000000.0,39179000000.0,,-29352000000.0,,,12454.0,0.01943203851428854,0.04254386846163394,0.02814460962213815,0.10829859547705849,0.4042741529423336,0.03430324032931251,,,,,,,,,,,
1375,1375.T,"YUKIGUNI FACTORY CO.,LTD.",ユキグニファクトリー株式会社,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Small 2,False,34486000000.0,2427000000.0,2229000000.0,-3000000.0,48345000000.0,24542000000.0,,,,,,1064.0,0.08093609239685384,0.4546321405571103,0.07037638461984573,-0.00012223942628962595,0.507642982728307,,,,,,,,,,,,
1376,1376.T,"KANEKO SEEDS CO.,LTD.",カネコ種苗株式会社,Standard Market(Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Small 2,False,64508666000.0,2379530000.0,1666404000.0,1200308000.0,49320424000.0,25013918000.0,212910000.0,,-629070000.0,,,695.0,0.018559833142961057,-0.07128392042477538,0.03688698197541397,0.047985605453731796,0.5071715928476203,0.003300486790410454,,,,,,,,,,,
1377,1377.T,SAKATA SEED CORPORATION,株式会社　サカタのタネ,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Small 1,False,95860000000.0,24631000000.0,12311000000.0,9759000000.0,190986000000.0,161768000000.0,5100000000.0,,-6669000000.0,,,3040.0,0.0800755651175018,0.06412200684784675,0.2569476319632798,0.060327135156520446,0.8470149644476559,0.05320258710619653,,,,,,,,,,,
1379,1379.T,HOKUTO CORPORATION,ホクト株式会社,Prime Market (Domestic),"Fishery, Agriculture and Forestry",FOODS,TOPIX Small 2,False,84452000000.0,8864000000.0,6953000000.0,4441000000.0,107620000000.0,56808000000.0,12222000000.0,,-1721000000.0,,,4048.0,0.06760480148160108,0.6835707502374169,0.10495902998152797,0.0781756090691452,0.5278572755993309,0.14472126178184058,,,,,,,,,,,
1380,1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.",株式会社秋川牧園,Standard Market(Domestic),"Fishery, Agriculture and Forestry",FOODS,,False,8431259000.0,441947000.0,54230000.0,37829000.0,7126124000.0,2186880000.0,725072000.0,,-4323000.0,,,332.0,0.05728919925379983,0.01757225760083836,0.0524176756994418,0.017298159935616036,0.3068821143162819,0.08599806980191214,,,,,,,,,,,
1381,1381.T,"AXYZ CO.,Ltd.",株式会社アクシーズ,Standard Market(Domestic),"Fishery, Agriculture and Forestry",FOODS,,False,26426000000.0,2121000000.0,2554000000.0,2030000000.0,25075000000.0,21601000000.0,2915000000.0,,-578000000.0,,,1282.0,0.04712416941902653,0.053513222456230025,0.08026186331643079,0.09397713068839406,0.861455633100698,0.11030802997048361,,,,,,,,,,,
1382,1382.T,"HOB Co.,Ltd.",株式会社ホーブ,Standard Market(Domestic),"Fishery, Agriculture and Forestry",FOODS,,False,2543594000.0,199368000.0,39466000.0,24712000.0,1069690000.0,756207000.0,16111000.0,,-41989000.0,,,44.0,-0.014106694944078235,-0.1726580094470097,0.07838043335532321,0.032678882898465635,0.7069403285063897,0.0063339510943963544,,,,,,,,,,,
