summary_type,reason,excluded_companies
reason_count_overlapping,missing_financial_data,262
reason_count_overlapping,low_equity_ratio,69
reason_count_overlapping,repeated_operating_loss,151
reason_count_overlapping,repeated_profit_loss,5
reason_count_overlapping,repeated_negative_operating_cf,284
reason_count_overlapping,excessive_leverage,73
reason_count_overlapping,extreme_valuation_outlier,14
reason_count_overlapping,extreme_profitability_outlier,70
reason_count_overlapping,other_data_quality_issue,38
unique_company_count,unique_excluded_total,597
