code,ticker,company_name,sector_33,is_financial_like,liquidity_passed,missing_financial_data,low_equity_ratio,repeated_operating_loss,repeated_negative_operating_cf,excessive_leverage,extreme_valuation_outlier,extreme_profitability_outlier,other_data_quality_issue,investment_eligible,exclusion_reasons
1301,1301.T,株式会社　極洋,"Fishery, Agriculture and Forestry",False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1375,1375.T,ユキグニファクトリー株式会社,"Fishery, Agriculture and Forestry",False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
1430,1430.T,ファーストコーポレーション株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1433,1433.T,ベステラ株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1434,1434.T,ＪＥＳＣＯホールディングス株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1605,1605.T,株式会社ＩＮＰＥＸ,Mining,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
1711,1711.T,株式会社ＳＤＳホールディングス,Construction,False,True,False,True,True,True,True,False,False,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage
1762,1762.T,株式会社髙松コンストラクショングループ,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1768,1768.T,株式会社ソネック,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1783,1783.T,株式会社ｆａｎｔａｓｉｓｔａ,Real Estate,False,True,False,True,False,False,True,False,False,False,False,low_equity_ratio;excessive_leverage
1811,1811.T,株式会社錢高組,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1814,1814.T,大末建設株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1815,1815.T,鉄建建設株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1827,1827.T,株式会社ナカノフドー建設,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1833,1833.T,株式会社奥村組,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1844,1844.T,株式会社大盛工業,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1885,1885.T,東亜建設工業株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1887,1887.T,日本国土開発株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1888,1888.T,若築建設株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1914,1914.T,日本基礎技術株式会社,Construction,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
1944,1944.T,株式会社きんでん,Construction,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
1950,1950.T,日本電設工業株式会社,Construction,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
1960,1960.T,株式会社サンテック,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1964,1964.T,中外炉工業株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1965,1965.T,株式会社テクノ菱和,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1966,1966.T,株式会社　高田工業所,Construction,False,True,True,False,False,True,False,False,False,False,False,missing_financial_data;repeated_negative_operating_cf
1968,1968.T,太平電業株式会社,Construction,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
1980,1980.T,ダイダン株式会社,Construction,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2108,2108.T,日本甜菜製糖株式会社,Foods,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2117,2117.T,ウェルネオシュガー株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2120,2120.T,株式会社ＬＩＦＵＬＬ,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2134,2134.T,北浜キャピタルパートナーズ株式会社,Services,False,True,False,True,True,True,True,False,True,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage;extreme_profitability_outlier
2148,2148.T,アイティメディア株式会社,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2153,2153.T,Ｅ・Ｊホールディングス株式会社,Services,False,True,False,False,False,False,False,False,True,False,False,extreme_profitability_outlier
2154,2154.T,株式会社オープンアップグループ,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2160,2160.T,株式会社ジーエヌアイグループ,Pharmaceutical,False,True,True,False,True,False,False,False,True,False,False,missing_financial_data;repeated_operating_loss;extreme_profitability_outlier
2170,2170.T,株式会社リンクアンドモチベーション,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2193,2193.T,クックパッド株式会社,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2282,2282.T,日本ハム株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2321,2321.T,株式会社ソフトフロントホールディングス,Information & Communication,False,True,False,False,True,False,False,False,False,False,False,repeated_operating_loss
2327,2327.T,日鉄ソリューションズ株式会社,Information & Communication,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2334,2334.T,株式会社イオレ,Services,False,True,False,True,False,False,True,False,False,False,False,low_equity_ratio;excessive_leverage
2337,2337.T,いちご株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2338,2338.T,クオンタムソリューションズ株式会社,Information & Communication,False,True,False,True,True,True,True,False,True,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage;extreme_profitability_outlier
2342,2342.T,株式会社トランスジェニックグループ,Services,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
2345,2345.T,株式会社クシム,Information & Communication,False,True,False,False,True,True,False,False,True,True,False,repeated_operating_loss;repeated_negative_operating_cf;extreme_profitability_outlier;other_data_quality_issue
2370,2370.T,株式会社メディネット,Services,False,True,False,False,True,True,False,False,True,False,False,repeated_operating_loss;repeated_negative_operating_cf;extreme_profitability_outlier
2371,2371.T,株式会社カカクコム,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2385,2385.T,株式会社総医研ホールディングス,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2413,2413.T,エムスリー株式会社,Services,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2429,2429.T,株式会社ワールドホールディングス,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2432,2432.T,株式会社ディー・エヌ・エー,Information & Communication,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2435,2435.T,株式会社シダー,Services,False,True,False,True,False,False,True,False,False,False,False,low_equity_ratio;excessive_leverage
2437,2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2440,2440.T,株式会社ぐるなび,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2445,2445.T,株式会社タカミヤ,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2459,2459.T,アウンコンサルティング株式会社,Services,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
2471,2471.T,株式会社エスプール,Services,False,True,True,False,True,False,False,False,False,False,False,missing_financial_data;repeated_operating_loss
2484,2484.T,株式会社出前館,Information & Communication,False,True,False,False,True,True,False,False,False,True,False,repeated_operating_loss;repeated_negative_operating_cf;other_data_quality_issue
2491,2491.T,バリューコマース株式会社,Services,False,True,False,False,False,False,False,False,False,True,False,other_data_quality_issue
2498,2498.T,株式会社オリエンタルコンサルタンツホールディングス,Services,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2501,2501.T,サッポロホールディングス株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2502,2502.T,アサヒグループホールディングス株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2503,2503.T,キリンホールディングス株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2579,2579.T,コカ・コーラボトラーズジャパンホールディングス株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2586,2586.T,株式会社フルッタフルッタ,Foods,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2587,2587.T,サントリー食品インターナショナル株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2588,2588.T,株式会社プレミアムウォーターホールディングス,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2594,2594.T,キーコーヒー株式会社,Foods,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2656,2656.T,株式会社ベクターホールディングス,Retail Trade,False,True,False,True,True,True,True,False,True,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage;extreme_profitability_outlier
2667,2667.T,株式会社イメージワン,Wholesale Trade,False,True,False,True,True,True,True,False,False,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage
2673,2673.T,夢みつけ隊株式会社,Retail Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2686,2686.T,株式会社ジーフット,Retail Trade,False,True,False,True,True,True,True,False,False,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage
2700,2700.T,木徳神糧株式会社,Wholesale Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2750,2750.T,石光商事株式会社,Wholesale Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2763,2763.T,株式会社エフティグループ,Wholesale Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2764,2764.T,株式会社ひらまつ,Retail Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2768,2768.T,双日株式会社,Wholesale Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2776,2776.T,新都ホールディングス株式会社,Wholesale Trade,False,True,False,True,False,True,True,False,False,False,False,low_equity_ratio;repeated_negative_operating_cf;excessive_leverage
2780,2780.T,株式会社コメ兵ホールディングス,Retail Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2801,2801.T,キッコーマン株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2802,2802.T,味の素株式会社,Foods,False,True,True,False,True,False,False,False,False,False,False,missing_financial_data;repeated_operating_loss
2811,2811.T,カゴメ株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2897,2897.T,日清食品ホールディングス株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2901,2901.T,株式会社ウェルディッシュ,Foods,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2914,2914.T,日本たばこ産業株式会社,Foods,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
2962,2962.T,株式会社テクニスコ,Metal Products,False,True,False,False,True,True,False,False,True,False,False,repeated_operating_loss;repeated_negative_operating_cf;extreme_profitability_outlier
2970,2970.T,ＧＬＣ　ＧＲＯＵＰ株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
