ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
1301.T,2026-06-01,4300.0,4300.0,71800.0,285001450.0,1222
1306.T,2026-06-01,417.5,417.5,39102560.0,8174313720.114055,1221
1332.T,2026-06-01,1308.5,1308.5,1287700.0,1936423690.8333333,1222
1333.T,2026-06-01,1258.5,1258.5,708800.0,835708894.1666666,1222
1375.T,2026-06-01,1050.0,1050.0,59100.0,49594011.666666664,1222
1376.T,2026-06-01,1382.0,1382.0,73800.0,31808988.333333332,1222
1377.T,2026-06-01,4150.0,4150.0,206600.0,792116691.6666666,1222
1379.T,2026-06-01,1829.0,1829.0,122300.0,194170863.33333334,1222
1380.T,2026-06-01,1005.0,1005.0,900.0,1933170.0,1222
1381.T,2026-06-01,3780.0,3780.0,9500.0,48760233.333333336,1222
1382.T,2026-06-01,1541.0,1541.0,2600.0,3380536.6666666665,1222
1383.T,2026-06-01,2870.0,2870.0,6200.0,24511438.333333332,1222
1384.T,2026-06-01,2019.0,2019.0,39600.0,94858213.33333333,1222
1401.T,2026-06-01,1288.0,1288.0,2200.0,6442451.666666667,1222
1407.T,2026-06-01,2600.0,2600.0,1103200.0,1913371075.0,1222
1414.T,2026-06-01,1249.5,1249.5,813100.0,1236836335.0,1222
1417.T,2026-06-01,3882.0,3882.0,302100.0,1027705946.6666666,1222
1418.T,2026-06-01,511.0,511.0,125500.0,44587205.0,1222
1419.T,2026-06-01,2915.0,2915.0,671700.0,607815516.6666666,1222
1420.T,2026-06-01,608.0,608.0,38800.0,50934911.666666664,1222
1429.T,2026-06-01,693.0,693.0,137200.0,148338330.0,1222
1430.T,2026-06-01,895.0,895.0,135600.0,51754656.666666664,1222
1431.T,2026-06-01,645.0,645.0,19000.0,13440485.0,1222
1432.T,2026-05-29,174.0,174.0,0.0,0.0,1221
1433.T,2026-06-01,1024.0,1024.0,56600.0,115547265.0,1222
1434.T,2026-06-01,1974.0,1974.0,77300.0,149722740.0,1222
1435.T,2026-06-01,161.0,161.0,372700.0,133587750.0,1222
1436.T,2026-06-01,1880.0,1880.0,128000.0,273848571.97387695,1222
1438.T,2026-06-01,1845.0,1845.0,4900.0,2035386.6666666667,897
1443.T,2026-06-01,237.0,237.0,45200.0,78790425.0,1222
1444.T,2026-06-01,2747.0,2747.0,800.0,4919520.0,819
1445.T,2026-05-29,2900.0,2900.0,0.0,0.0,1221
1446.T,2026-06-01,525.0,525.0,6400.0,13868190.0,1222
1447.T,2026-06-01,286.0,286.0,105400.0,80032645.0,1222
1450.T,2026-06-01,1415.0,1415.0,3900.0,11574583.333333334,1222
1452.T,2026-05-29,18530.0,18530.0,0.0,0.0,1221
1491.T,2026-06-01,718.0,718.0,73700.0,86605223.33333333,1222
1514.T,2026-06-01,569.0,569.0,396600.0,1566456366.6666667,1222
1515.T,2026-06-01,2412.0,2412.0,646600.0,2948757588.3333335,1222
1518.T,2026-06-01,1399.0,1399.0,307300.0,372819925.0,1222
1605.T,2026-06-01,3416.0,3416.0,7288600.0,45866992531.666664,1222
1662.T,2026-06-01,1753.0,1753.0,2114000.0,7950185018.333333,1222
1663.T,2026-06-01,4120.0,4120.0,128600.0,1031066625.0,1222
1711.T,2026-06-01,227.0,227.0,101300.0,49337213.333333336,1222
1716.T,2026-06-01,1370.0,1370.0,27200.0,27889593.333333332,1222
1717.T,2026-06-01,913.0,913.0,30900.0,26438580.0,1222
1718.T,2026-06-01,7110.0,7110.0,800.0,19455050.0,1222
1719.T,2026-06-01,1753.5,1753.5,768100.0,1509714267.5,1222
1720.T,2026-06-01,1144.0,1144.0,576400.0,620717418.3333334,1222
1721.T,2026-06-01,5380.0,5380.0,574500.0,3514694575.0,1222
1723.T,2026-06-01,2220.0,2220.0,243400.0,641578548.3333334,1222
1724.T,2026-06-01,694.0,694.0,4800.0,4286483.333333333,1222
1726.T,2026-05-29,526.0,526.0,103000.0,105231643.33333333,1221
1736.T,2026-06-01,2294.0,2294.0,5200.0,14883283.333333334,1222
1758.T,2026-06-01,2411.0,2411.0,800.0,7346603.333333333,1222
1762.T,2026-06-01,3450.0,3450.0,50600.0,263385241.66666666,1222
1764.T,2026-06-01,2921.0,2921.0,2600.0,4931460.0,1222
1766.T,2026-06-01,12050.0,12050.0,39400.0,679098200.0,1222
1768.T,2026-06-01,991.0,991.0,33500.0,20667578.333333332,1222
1770.T,2026-06-01,1675.0,1675.0,3900.0,7177660.0,1222
1776.T,2026-05-28,1996.0,1996.0,6500.0,101454415.0,1220
1780.T,2026-06-01,1342.0,1342.0,64700.0,66698318.333333336,1222
1783.T,2026-06-01,56.0,56.0,2275200.0,77294278.33333333,1222
1786.T,2026-06-01,317.0,317.0,775800.0,158868866.66666666,1222
1787.T,2026-06-01,5360.0,5360.0,700.0,7024716.666666667,1222
1788.T,2026-06-01,4555.0,4555.0,500.0,3270375.0,1222
1793.T,2026-06-01,1870.0,1870.0,1600.0,8362963.333333333,1222
