effective_date,code,ticker,company_name,market,sector_33_code,sector_33,sector_17_code,sector_17,scale_category_code,scale_category,is_financial
20260430,1301,1301.T,"KYOKUYO CO.,LTD.",Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,6,TOPIX Small 1,False
20260430,1332,1332.T,Nissui Corporation,Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,4,TOPIX Mid400,False
20260430,1333,1333.T,Umios Corporation,Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,4,TOPIX Mid400,False
20260430,1375,1375.T,"YUKIGUNI FACTORY CO.,LTD.",Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,7,TOPIX Small 2,False
20260430,1376,1376.T,"KANEKO SEEDS CO.,LTD.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,7,TOPIX Small 2,False
20260430,1377,1377.T,SAKATA SEED CORPORATION,Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,6,TOPIX Small 1,False
20260430,1379,1379.T,HOKUTO CORPORATION,Prime Market (Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,7,TOPIX Small 2,False
20260430,1380,1380.T,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,,False
20260430,1381,1381.T,"AXYZ CO.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,,False
20260430,1382,1382.T,"HOB Co.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,,False
20260430,1383,1383.T,"Berg Earth co.,ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,,False
20260430,1384,1384.T,"Hokuryo Co.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,,False
20260430,1401,1401.T,"mbs,inc.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1407,1407.T,West Holdings Corporation,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1417,1417.T,MIRAIT ONE Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1418,1418.T,"INTERLIFE HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
