ticker,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda,currency,quote_type
9984.T,48674507849728,65838660976640,9.786868,28.924109,2.7927911,0.15,0.901,5698923701,929463009280.0,JPY,EQUITY
5803.T,7743518277632,7852372525056,49.26269,15.443799,13.818716,0.8,0.783,1655659296,215260004352.0,JPY,EQUITY
5801.T,3667335577600,3938983870464,50.57286,175.7823,8.793557,0.04,1.132,70349805,107075002368.0,JPY,EQUITY
6857.T,18624286818304,18666974347264,50.055565,108.00067,23.409586,0.23,1.199,725386077,524732006400.0,JPY,EQUITY
6920.T,3440025272320,3516851552256,39.684425,35.14105,15.255912,0.82,1.737,89630673,126549000192.0,JPY,EQUITY
5016.T,3539653361664,4026056835072,33.894997,,5.3327007,0.51,,926125921,105155002368.0,JPY,EQUITY
6146.T,6915538550784,6775584063488,51.01902,46.84997,11.765982,0.78,1.07,108462025,198835994624.0,JPY,EQUITY
8035.T,24238719238144,23336971141120,42.351776,41.44665,11.659127,1.38,1.366,454847594,706282979328.0,JPY,EQUITY
8306.T,34122433036288,-6196919009280,14.237272,19.930117,1.5319376,3.2,0.325,11287605929,,JPY,EQUITY
7011.T,12217721290752,12470156525568,34.737747,39.236,3.95579,0.79,0.398,3360209340,661078016000.0,JPY,EQUITY
7974.T,8257713733632,6024718712832,19.648882,21.04722,2.7954109,3.06,0.158,1152828913,375972003840.0,JPY,EQUITY
4062.T,6086156353536,6326842294272,101.89341,70.54311,11.064334,0.17,1.556,279245536,124395003904.0,JPY,EQUITY
5706.T,3080310489088,3020079235072,33.747658,89.512535,7.475629,0.54,1.37,57212304,161888993280.0,JPY,EQUITY
6981.T,19094856269824,16921445531648,81.946724,44.211235,7.023417,0.73,1.099,1820291276,510460985344.0,JPY,EQUITY
5802.T,10279343620096,10290416582656,27.852915,59.629913,3.7468898,0.31,0.856,779919875,628014972928.0,JPY,EQUITY
9983.T,24703668322304,23804076097536,51.740314,58.82009,9.384252,0.78,0.455,306839741,702977998848.0,JPY,EQUITY
7203.T,37868495962112,70086694010880,9.836482,8.961508,0.94863683,3.29,0.327,13033383648,6164406861824.0,JPY,EQUITY
8316.T,22374017662976,-22670903083008,14.226074,18.441837,1.4171151,1.55,0.392,3817440285,,JPY,EQUITY
6758.T,20926353637376,20201374482432,20.651857,19.33406,2.5772784,1.02,0.719,5908061149,2692355981312.0,JPY,EQUITY
6501.T,23084700532736,22984595079168,29.012905,28.776735,3.542514,1.08,0.497,4503453230,1657248022528.0,JPY,EQUITY
8411.T,17520790601728,-37633765933056,14.286283,21.343908,1.5482482,2.08,0.395,2438523296,,JPY,EQUITY
8058.T,18018235056128,24004618354688,23.467976,23.207886,1.9085968,2.47,0.497,3661498671,816398008320.0,JPY,EQUITY
4063.T,14470073024512,13159451590656,30.907433,23.634487,3.2410333,1.37,1.068,1856803906,878178992128.0,JPY,EQUITY
7013.T,2856076181504,3292934963200,17.737686,4.6579986,4.3788505,0.83,0.921,1060161928,243519995904.0,JPY,EQUITY
6861.T,19455367184384,17934799863808,43.728058,42.958355,5.6043563,0.69,0.985,242525136,612985995264.0,JPY,EQUITY
3110.T,882460131328,820761067520,21.13155,81.77862,5.0835056,0.12,1.224,36405120,30121000960.0,JPY,EQUITY
7012.T,2473692233728,3421251305472,22.8427,5.1873727,2.817029,1.28,0.923,835848060,224778993664.0,JPY,EQUITY
6098.T,15169593802752,14229874671616,31.344357,36.01758,9.611899,0.25,0.86,1391705866,700593995776.0,JPY,EQUITY
4004.T,3335526285312,4097535115264,114.47916,73.959625,4.6980095,0.35,1.052,180983523,144662495232.0,JPY,EQUITY
6723.T,8013739982848,9067115315200,,17.162962,3.1540627,0.62,1.192,1814294732,370259984384.0,JPY,EQUITY
8766.T,13666863808512,12589270564864,13.787218,14.417265,2.4633973,3.45,-0.167,1922743958,2143436013568.0,JPY,EQUITY
6976.T,2008312315904,1923764191232,148.49745,85.749374,5.8311157,0.61,1.438,125050574,68620001280.0,JPY,EQUITY
8031.T,14264469291008,19968076808192,17.298504,17.127787,1.6269261,2.65,0.448,2834188227,815297986560.0,JPY,EQUITY
1605.T,3970040332288,5549035356160,10.336168,12.727273,0.8118793,3.0,-0.149,1162189867,1367925456896.0,JPY,EQUITY
6954.T,7540854226944,6628694294528,45.307243,46.6813,4.043634,1.36,0.919,933158549,231544995840.0,JPY,EQUITY
6503.T,12458701881344,13261729693696,30.739712,36.86569,2.7915235,0.91,0.758,2046435776,666879000576.0,JPY,EQUITY
6525.T,1774309343232,1910738911232,58.917072,39.710342,8.088521,0.58,2.255,233615456,56114999296.0,JPY,EQUITY
5713.T,2431971491840,3224319819776,13.84542,22.10609,1.1721276,2.29,1.296,270549733,237593001984.0,JPY,EQUITY
6762.T,7789969145856,7587123167232,39.802155,38.398205,3.5615878,0.97,0.626,1898140630,476606005248.0,JPY,EQUITY
6701.T,5804208947200,5357479395328,21.51157,6.0768332,2.6381018,0.97,0.268,1328498366,514415001600.0,JPY,EQUITY
9501.T,895750242304,6608599908352,,2.6368184,0.26426095,,-0.008,1602702047,726727983104.0,JPY,EQUITY
9432.T,12050695716864,27660400984064,11.746032,10.171822,1.2388151,3.61,-0.162,81423625037,3697174904832.0,JPY,EQUITY
6702.T,6331940470784,5545133080576,21.12513,24.060646,3.127016,1.63,0.702,1734778205,489555984384.0,JPY,EQUITY
8001.T,13137540546560,18083878010880,14.690479,2.903734,1.9935681,2.27,0.539,6989912686,1160583970816.0,JPY,EQUITY
3436.T,1528946229248,1731748560896,,88.80764,2.6854196,0.5,1.0,349713221,108333498368.0,JPY,EQUITY
9104.T,1849591332864,4206682701824,8.702468,9.570441,0.6437368,3.74,0.686,343471008,291729997824.0,JPY,EQUITY
7267.T,5457397678080,14417091624960,,6.1453495,0.46180597,4.82,0.269,3892580441,888917000192.0,JPY,EQUITY
7741.T,8844563447808,8567729422336,35.50423,38.7008,8.692476,1.09,0.637,334514496,372859011072.0,JPY,EQUITY
8002.T,8055385227264,10521893928960,14.905288,15.822154,1.8465065,2.21,0.7,1637939204,465730011136.0,JPY,EQUITY
6752.T,8393255813120,9445002182656,44.366283,21.291086,1.6105967,1.46,0.825,2334702707,614304972800.0,JPY,EQUITY
6367.T,6919847149568,7041801781248,25.181427,23.862661,2.126141,1.55,0.589,292841612,691199016960.0,JPY,EQUITY
7003.T,441852887040,495828434944,11.49374,33.199394,1.9286042,1.35,1.316,100902685,45990998016.0,JPY,EQUITY
6301.T,5832853946368,7104032669696,15.63973,15.235001,1.660635,2.89,0.983,901522990,729153011712.0,JPY,EQUITY
8053.T,8344294129664,12264403894272,14.010234,15.750411,1.799083,0.56,0.568,1195115184,625885970432.0,JPY,EQUITY
9433.T,10218198007808,15200843464704,14.628298,1151.9314,2.0127485,3.07,-0.083,3807078418,1747504988160.0,JPY,EQUITY
8136.T,1130613309440,946153455616,22.833006,7.109095,8.209061,1.54,,1212453995,75805999104.0,JPY,EQUITY
6506.T,1851887190016,1943225237504,52.689842,34.84797,3.8298373,1.0,1.225,259367959,68393000960.0,JPY,EQUITY
2914.T,10772167000064,12082278825984,21.577414,20.152105,2.6367452,3.92,0.138,1775241665,1078600990720.0,JPY,EQUITY
6273.T,4200010350592,3657079455744,25.19697,20.261213,1.985737,1.45,0.873,63139059,235405000704.0,JPY,EQUITY
7735.T,2056330149888,1881491636224,22.327845,12.432834,4.226201,2.07,1.572,189087830,137098002432.0,JPY,EQUITY
4568.T,4765672013824,4764647555072,18.649862,18.243244,2.8636785,3.7,-0.175,1819653230,306548998144.0,JPY,EQUITY
4502.T,7711183339520,12944844783616,40.75651,34.767433,0.9919718,3.99,0.098,1579836830,1346403958784.0,JPY,EQUITY
4519.T,12613127766016,12138267541504,29.075459,32.486965,6.6116443,1.67,0.56,1645763056,638875992064.0,JPY,EQUITY
3103.T,75641847808,91176878080,4.232258,39.51807,1.406405,,2.031,57653848,13918000128.0,JPY,EQUITY
9101.T,2128760537088,3212696879104,10.450926,10.295897,0.6962808,3.76,0.735,403556522,313784008704.0,JPY,EQUITY
6963.T,2000433709056,2073077219328,,59.638622,2.6387765,0.92,0.657,386035069,67891998720.0,JPY,EQUITY
6201.T,6144663748608,7535827877888,27.472527,21.05339,0.9073867,1.37,0.511,300472550,490078011392.0,JPY,EQUITY
4506.T,701375840256,817676156928,5.813781,91.27263,2.1238678,,0.483,448593449,73602998272.0,JPY,EQUITY
8591.T,6816731758592,12569667436544,15.544755,16.696264,1.5207431,2.5,0.713,1098586820,1072834019328.0,JPY,EQUITY
2802.T,5148316794880,5326025261056,38.819542,23.176668,6.6895537,0.97,0.408,956936169,280216010752.0,JPY,EQUITY
7182.T,10717896900608,-23864853659648,20.467997,25.66749,1.1639786,6.06,0.398,3561946621,,JPY,EQUITY
6269.T,671447056384,684629884928,11.663659,27.004372,2.772192,1.99,0.453,68340667,384595456.0,JPY,EQUITY
6613.T,101378433024,98922864640,,781.6129,20.676355,,0.874,41840046,-230000000.0,JPY,EQUITY
6594.T,3323152302080,3584853803008,27.614782,15.292503,1.8887556,1.92,1.009,1146309835,244821999616.0,JPY,EQUITY
7751.T,3737243090944,4481524170752,11.779756,11.93964,1.0950035,3.78,0.238,863503474,682818011136.0,JPY,EQUITY
4307.T,3000688967680,2992833560576,196.24342,29.911253,6.915541,1.67,0.276,574404509,108445999104.0,JPY,EQUITY
8802.T,4736601817088,8380522954752,21.605854,26.050028,1.7611508,1.23,0.386,1206470102,440520015872.0,JPY,EQUITY
9107.T,1633964785664,1605662670848,12.284954,7.3977623,0.9063971,4.76,0.829,632094692,136545001472.0,JPY,EQUITY
8801.T,4030134222848,8810458513408,14.637164,15.558245,1.2256762,2.42,0.416,2717536083,548765007872.0,JPY,EQUITY
5401.T,2872371052544,8168320008192,167.05167,0.98498154,0.51937395,4.24,0.671,5226293989,1002631987200.0,JPY,EQUITY
6526.T,501549137920,417321156608,57.771496,20.030794,3.7702243,1.9,0.54,175244286,29255999488.0,JPY,EQUITY
8015.T,6987126407168,8143189311488,18.872982,18.80915,2.2128532,1.82,0.798,1055776136,728070029312.0,JPY,EQUITY
9434.T,10329853526016,17047990829056,19.19183,18.645384,3.492356,4.09,0.07,47801264883,1776240033792.0,JPY,EQUITY
8725.T,6236137848832,5082330955776,8.131065,10.451571,1.3075817,3.27,0.283,1450939519,1251490004992.0,JPY,EQUITY
8308.T,4538389495808,-2955481186304,17.702108,22.876448,1.5621245,1.81,0.31,2252861458,,JPY,EQUITY
6787.T,989451780096,1092592336896,50.69567,61.122562,7.2605267,0.41,1.607,25666712,38990999552.0,JPY,EQUITY
8630.T,5269587230720,5016131731456,8.421983,21.636078,1.0196918,3.36,0.177,892243020,943981985792.0,JPY,EQUITY
4901.T,4046720860160,4865400504320,15.055439,14.570135,1.0613794,2.26,0.363,1196900550,522580983808.0,JPY,EQUITY
6361.T,2618309214208,554735501312,34.530552,37.480377,2.0854874,1.16,0.895,456947517,55565000704.0,JPY,EQUITY
7936.T,3369458466816,3449764708352,34.434544,47.031467,12.393871,0.78,1.06,708911962,187011006464.0,JPY,EQUITY
8604.T,3794986336256,-9378134491136,10.912682,14.277076,1.0160519,3.74,0.606,2922592396,,JPY,EQUITY
6902.T,5031233847296,4981536063488,11.47048,9.692978,0.91598785,3.88,0.621,2691938750,930611986432.0,JPY,EQUITY
7269.T,3743755796480,4353779040256,8.520681,11.009929,1.106938,2.63,0.399,1929273897,900691001344.0,JPY,EQUITY
5108.T,4291790110720,4560098689024,28.699741,6.1175923,1.1731261,3.78,0.455,1255276397,879848980480.0,JPY,EQUITY
6971.T,4660982185984,4458867064832,34.43309,39.530727,1.3957417,1.61,0.401,1317405912,276327006208.0,JPY,EQUITY
1801.T,2168836325376,2513333649408,12.973779,27.951681,2.287626,2.71,0.583,163009119,209501995008.0,JPY,EQUITY
4503.T,3894704078848,4376163778560,13.393296,28.692097,2.1293664,3.5,0.084,1791492258,574652022784.0,JPY,EQUITY
7453.T,1951324831744,1040534863872,32.757084,23.341164,5.339352,0.82,1.006,530828292,37640998912.0,JPY,EQUITY
3382.T,4239736176640,7681455685632,15.435112,15.900815,1.1710207,3.23,0.074,2311742771,942895988736.0,JPY,EQUITY
8267.T,3741859971072,6643919618048,50.353683,21.581299,3.066671,1.01,0.226,2766624836,653699973120.0,JPY,EQUITY
6504.T,2296834686976,2332193456128,23.38232,25.616543,2.8662915,1.39,0.874,147611486,197061001216.0,JPY,EQUITY
4661.T,3685630869504,3493577359360,30.227242,25.70612,3.3509276,0.7,0.302,1639515507,234957996032.0,JPY,EQUITY
1812.T,2622327619584,3191635705856,14.817545,21.116615,1.8532178,2.47,0.406,465943062,271081996288.0,JPY,EQUITY
5020.T,3402714054656,5638515064832,13.18395,12.717402,1.0097753,2.6,0.259,2689892692,714799972352.0,JPY,EQUITY
4578.T,6003181486080,5899685462016,16.634321,21.957703,1.9340886,1.2,-0.05,526594889,594500976640.0,JPY,EQUITY
8750.T,5885754605568,6502281117696,13.648129,4.4190006,1.3835129,4.4,0.299,3600951015,489897984000.0,JPY,EQUITY
8830.T,3325942300672,7349829894144,16.819242,8.609477,1.3461481,1.4,0.657,923616325,375496998912.0,JPY,EQUITY
4543.T,3459807182848,3689202319360,25.439262,23.033487,2.18352,1.5,0.182,1475083041,285037002752.0,JPY,EQUITY
3563.T,1203711246336,1402857324544,42.17587,63.69101,10.49754,0.18,0.508,113611253,84926996480.0,JPY,EQUITY
6383.T,2656703610880,2497776713728,35.67725,50.306366,5.7965736,1.12,0.997,367709861,114760998912.0,JPY,EQUITY
5838.T,784943022080,-850431967232,10.753048,15.022878,2.1095235,,0.066,174509336,,JPY,EQUITY
6871.T,562081300480,559288745984,46.622295,66.20702,7.5972314,0.64,1.621,38764228,25488250880.0,JPY,EQUITY
8309.T,3811114221568,-467693010944,12.107793,14.723067,1.0710787,0.87,0.334,696985020,,JPY,EQUITY
8729.T,932474126336,1668627562496,17.91237,,1.4818605,5.71,0.011,6708446548,243685998592.0,JPY,EQUITY
9020.T,3785506684928,8463196880896,15.287844,16.265762,1.2427838,2.46,0.038,1128654291,842988978176.0,JPY,EQUITY
5344.T,945482039296,851396132864,51.984177,39.802185,6.4204073,0.15,0.762,12339886,30253000704.0,JPY,EQUITY
6326.T,3172621877248,5424889724928,17.069515,14.172848,1.180336,1.83,0.801,1137344257,393565995008.0,JPY,EQUITY
6988.T,2046382571520,1655849484288,15.491957,15.930912,1.7914943,2.14,0.521,670285850,254293000192.0,JPY,EQUITY
1803.T,1744188866560,2055894204416,13.759846,31.271309,1.7834722,2.87,0.442,679201277,152181997568.0,JPY,EQUITY
9201.T,1166122549248,1057155055616,8.842318,10.888585,0.9042239,3.5,0.432,429827724,373524987904.0,JPY,EQUITY
6227.T,111929278464,34340669440,37.477955,23.924408,10.177499,0.3,1.687,18811644,6678249984.0,JPY,EQUITY
6965.T,844289081344,827063599104,63.523247,34.503204,2.6482544,1.33,0.712,290133697,38167998464.0,JPY,EQUITY
8473.T,1881560842240,-1703848443904,4.6614037,7.1542673,1.0482572,3.26,0.45,646362398,883399000064.0,JPY,EQUITY
4755.T,1661568811008,2607576252416,,-100.446785,1.8438605,,0.882,2173690151,448979009536.0,JPY,EQUITY
7270.T,1732767514624,249825083392,19.29573,5.4258704,0.6232064,4.75,0.06,715428374,311060004864.0,JPY,EQUITY
9766.T,2688762773504,2293985181696,26.866863,32.96822,4.762775,1.18,0.414,135556483,178857000960.0,JPY,EQUITY
9022.T,3234494414848,7828844576768,5.930986,7.976067,0.6381434,0.92,0.159,955255309,1036102991872.0,JPY,EQUITY
2502.T,2178208890880,3616753844224,12.894008,10.407493,0.7961141,3.41,,1462866952,382908989440.0,JPY,EQUITY
6315.T,216680906752,215199203328,47.11256,14.949788,3.068658,0.8,1.3,75028019,10186999808.0,JPY,EQUITY
7201.T,1312541900800,8485361680384,,-25.589638,0.27350432,,0.364,3496382520,321655013376.0,JPY,EQUITY
1802.T,2177063845888,2204525920256,12.691353,22.955929,1.7299913,2.9,0.475,687421514,228253007872.0,JPY,EQUITY
2768.T,1070053785600,2330354778112,10.392208,9.728922,0.9813685,3.34,0.688,208060241,110366998528.0,JPY,EQUITY
5631.T,552375287808,576512065536,28.694887,26.952085,2.6002817,1.2,0.714,73610779,34366001152.0,JPY,EQUITY
6178.T,5710855274496,-19740376432640,15.770305,16.348007,0.5878693,2.9,0.19,2806316928,,JPY,EQUITY
6740.T,209541251072,390002114560,,-11.320755,-45.075127,,-1.351,3880387955,-14778999808.0,JPY,EQUITY
4186.T,1280537526272,433728651264,38.34141,54.715916,3.1217701,0.73,0.843,119900516,18921750528.0,JPY,EQUITY
6834.T,244936032256,223176163328,39.39215,166.66667,7.237895,0.45,0.826,8939271,8675000320.0,JPY,EQUITY
4452.T,2731113447424,2762556309504,26.052814,23.345188,2.5465782,1.91,0.163,452320883,239823994880.0,JPY,EQUITY
9503.T,2549534162944,6218482450432,6.7068167,6.9658785,0.73788524,3.43,0.201,1114063522,822817980416.0,JPY,EQUITY
9843.T,1430159753216,1494603399168,16.029133,2.8332195,1.4467114,1.22,0.861,565057238,190777999360.0,JPY,EQUITY
9697.T,1283789815808,1118728486912,21.155304,22.58943,4.7956495,1.53,0.488,418308843,80497000448.0,JPY,EQUITY
7733.T,1989141594112,2017556561920,29.498693,14.378383,2.4495614,1.68,0.192,1101102516,206791999488.0,JPY,EQUITY
4911.T,1044835598336,1396652507136,,21.092112,1.7220035,2.13,0.523,399554717,80806002688.0,JPY,EQUITY
7220.T,610185510912,695324639232,492.07187,52.409367,5.000384,0.42,0.947,65540871,38022000640.0,JPY,EQUITY
7832.T,2386522800128,1914718519296,17.118279,21.899828,2.7725124,1.32,0.065,641365963,239076999168.0,JPY,EQUITY
9531.T,2058862723072,3226961969152,9.433386,22.770014,1.1976973,1.88,-0.138,333419056,457899999232.0,JPY,EQUITY
2503.T,2102639460352,3315059916800,14.343362,15.188953,1.5997996,2.8,0.039,804838073,354176991232.0,JPY,EQUITY
7532.T,2461835460608,2873811009536,24.611477,4.6475534,3.5880477,0.97,,2989478375,222790991872.0,JPY,EQUITY
6532.T,911921381376,787079954432,24.255062,24.168797,7.8471465,2.31,0.792,150780654,53455998976.0,JPY,EQUITY
1925.T,2610547916800,5586372526080,7.44108,8.954558,0.9012018,3.02,0.31,619347095,754636029952.0,JPY,EQUITY
4507.T,2438044581888,2526912184320,11.892902,14.98431,1.4467263,2.53,0.033,850975437,151324000256.0,JPY,EQUITY
9202.T,1305071190016,1281505099776,9.075204,5.986899,0.88671684,2.01,0.443,447632027,388449992704.0,JPY,EQUITY
3350.T,377558761472,339471859712,,,0.846468,,0.055,1279860210,45750000.0,JPY,EQUITY
6324.T,736507658240,734785634304,453.37994,102.78768,9.161704,0.26,0.934,94666789,9927999488.0,JPY,EQUITY
3407.T,2398186373120,3135346573312,15.104655,17.634151,1.1483054,2.46,0.63,1356440218,427543986176.0,JPY,EQUITY
6590.T,341322792960,327320010752,30.512852,6.987369,6.139583,2.47,1.073,65639000,18588999680.0,JPY,EQUITY
8303.T,1205433008128,243183992832,9.879326,,0.9839242,3.0,-0.192,887000000,,JPY,EQUITY
6330.T,139300012032,31445661696,,16.943464,2.8545277,1.24,1.03,52357441,-16010999808.0,JPY,EQUITY
5201.T,1488030924800,2281082191872,21.531084,16.973543,0.9954249,3.03,,212393793,323342991360.0,JPY,EQUITY
1928.T,2126218788864,3635874103296,9.159452,8.689663,0.9937397,4.35,0.291,648237426,384164003840.0,JPY,EQUITY
8795.T,2016396181504,1827238313984,14.499155,16.987387,1.2507699,3.91,0.017,479865829,455517995008.0,JPY,EQUITY
7911.T,1302448570368,1439955943424,20.212156,17.185629,0.9681991,1.27,0.553,283634284,154861993984.0,JPY,EQUITY
5334.T,1981267312640,2053541330944,17.755058,20.874138,2.589383,2.07,0.251,195680727,181891006464.0,JPY,EQUITY
5711.T,665017516032,1219297804288,16.377562,15.139976,0.90342516,2.25,0.781,130677441,107662000128.0,JPY,EQUITY
9502.T,2142673829888,4882340249600,9.405776,12.082553,0.6827594,2.39,0.186,755393538,402346999808.0,JPY,EQUITY
5411.T,1037538361344,2933981708288,15.46998,5.1318355,0.39607733,4.7,0.91,636136318,337500012544.0,JPY,EQUITY
6645.T,1194720231424,1368784240640,34.911514,22.414873,1.4292879,1.81,1.134,196629396,93905002496.0,JPY,EQUITY
5332.T,1245762158592,1203005816832,31.229908,31.049461,2.3584318,1.56,0.949,164413650,88120000512.0,JPY,EQUITY
7261.T,706788851712,319834750976,20.156504,4.087924,0.37084278,4.79,0.525,630779930,172634996736.0,JPY,EQUITY
6479.T,1895932493824,2099107725312,19.128849,21.979609,2.1090026,1.32,0.941,401595519,174400995328.0,JPY,EQUITY
4689.T,2902060171264,4470767353856,15.217391,19.771242,0.96859336,2.64,0.577,6852562657,456323006464.0,JPY,EQUITY
1662.T,448766967808,432063578112,8.396399,11.62621,0.7150951,2.52,0.175,255999402,85965996032.0,JPY,EQUITY
4188.T,1482854498304,3480171839488,,11.970827,0.84173006,2.79,0.644,1358547433,303490007040.0,JPY,EQUITY
6366.T,188411641856,74347888640,8.964242,12.418859,1.6548227,,0.68,259163199,85395996672.0,JPY,EQUITY
9735.T,2585315770368,2380638191616,23.140974,26.920485,1.9666821,1.89,0.042,404461149,240804003840.0,JPY,EQUITY
