code_n,code,company_name,sector,intangible_capital_score,innovation_capacity_score,bottleneck_pricing_power_score,ai_infrastructure_exposure_score,data_customer_base_score,trust_safety_infrastructure_score,evidence_level_bonus,theme_hype_penalty,financial_guardrail_penalty,emerging_score,emerging_grade,emerging_evidence_category,emerging_keyword_only_flag
7261,7261,Mazda Motor Corporation,Transportation Equipment,60.56666666666667,17.5,24.2150641025641,0.0,0.0,0.0,0,0,0,17.88571153846154,C,,False
7211,7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,59.96666666666667,17.5,23.56143162393162,0.0,0.0,0.0,0,0,0,17.660057692307692,C,,False
9533,9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,53.56666666666668,17.5,29.181623931623935,0.0,0.0,0.0,0,0,0,17.51969230769231,C,,False
9507,9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,55.2,17.5,59.34893162393162,0.0,0.0,0.0,0,0,0,23.24380769230769,C,,False
7419,7419,"Nojima Co.,Ltd.",Retail Trade,57.3,17.5,43.63482905982906,0.0,0.0,0.0,0,0,0,20.793269230769223,C,,False
8012,8012,"NAGASE & CO.,LTD.",Wholesale Trade,54.733333333333334,17.5,21.92510683760684,0.0,0.0,0.0,0,0,0,16.42351923076923,C,,False
2695,2695,"Kura Sushi,Inc.",Retail Trade,46.06666666666667,17.5,65.18600427350427,0.0,0.0,0.0,0,0,0,22.650480769230768,C,,False
4022,4022,"Rasa Industries,Ltd.",Chemicals,27.800000000000004,35.0,32.0534188034188,35.0,0.0,35.0,2,18,0,12.273615384615386,D,semiconductor,True
1333,1333,Umios Corporation,"Fishery, Agriculture and Forestry",57.63333333333334,17.5,15.85619658119658,0.0,0.0,0.0,0,0,0,15.853115384615386,C,,False
1515,1515,"Nittetsu Mining Co.,Ltd.",Mining,43.53333333333333,17.5,11.061645299145296,0.0,0.0,0.0,0,0,0,12.452096153846153,C,,False
8111,8111,Goldwin Inc.,Textiles and Apparels,37.73333333333333,17.5,58.11794871794871,0.0,0.0,0.0,0,0,0,19.878230769230765,C,,False
9684,9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,50.63333333333333,35.0,65.77457264957265,35.0,35.0,0.0,2,18,0,22.803423076923075,D,business_data,True
6745,6745,HOCHIKI CORPORATION,Electric Appliances,44.21666666666667,35.0,61.14679487179486,35.0,0.0,35.0,2,18,0,20.465423076923074,D,factory_automation,True
9831,9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,59.66666666666667,17.5,40.49155982905982,0.0,0.0,0.0,0,0,0,20.653480769230768,C,,False
8273,8273,"IZUMI CO.,LTD.",Retail Trade,51.7,17.5,40.65908119658119,0.0,0.0,0.0,0,0,0,19.249634615384615,C,,False
5021,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,54.0,17.5,6.575213675213676,0.0,0.0,0.0,0,0,0,13.52853846153846,C,,False
1909,1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,35.06666666666667,35.0,46.02051282051281,35.0,0.0,35.0,2,18,0,16.095692307692303,D,factory_automation,True
6454,6454,"MAX CO.,LTD.",Machinery,44.666666666666664,35.0,63.48536324786323,35.0,0.0,35.0,2,18,0,20.967365384615377,D,factory_automation,True
8060,8060,Canon Marketing Japan Inc.,Wholesale Trade,58.9,17.5,46.42361111111111,0.0,0.0,0.0,0,0,0,21.58325,C,,False
1911,1911,"Sumitomo Forestry Co.,Ltd.",Construction,59.9,35.0,33.295619658119655,35.0,0.0,0.0,2,18,0,13.725211538461537,D,power_grid,True
3028,3028,"Alpen Co.,Ltd.",Retail Trade,47.63333333333334,17.5,55.32467948717949,0.0,0.0,0.0,0,0,0,21.157442307692307,C,,False
2602,2602,"The Nisshin OilliO Group,Ltd.",Foods,47.583333333333336,17.5,13.733760683760684,0.0,0.0,0.0,0,0,0,13.662076923076922,C,,False
2791,2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,41.8,17.5,42.43076923076923,0.0,0.0,0.0,0,0,0,17.786538461538463,C,,False
9682,9682,DTS CORPORATION,Information & Communication,53.666666666666664,35.0,45.5934829059829,35.0,35.0,0.0,2,18,0,19.716826923076923,D,business_data,True
5105,5105,Toyo Tire Corporation,Rubber Products,56.266666666666666,17.5,47.29711538461538,0.0,0.0,0.0,0,0,0,21.266480769230768,C,,False
9997,9997,"BELLUNA CO.,LTD.",Retail Trade,49.16666666666667,17.5,58.604807692307695,0.0,0.0,0.0,0,0,0,22.023865384615384,C,,False
5406,5406,"Kobe Steel,Ltd.",Iron and Steel,60.46666666666667,17.5,10.427457264957264,0.0,0.0,0.0,0,0,0,15.385942307692307,C,,False
8276,8276,"HEIWADO CO.,LTD.",Retail Trade,50.83333333333333,17.5,45.5650641025641,0.0,0.0,0.0,0,0,0,19.976711538461537,C,,False
1414,1414,"SHO-BOND Holdings Co.,Ltd.",Construction,33.5,35.0,40.17297008547008,35.0,0.0,0.0,2,18,0,10.211134615384612,D,power_grid,True
3382,3382,"Seven & i Holdings Co.,Ltd.",Retail Trade,60.3,17.5,27.841452991452982,0.0,0.0,0.0,0,0,0,18.49046153846154,C,,False
3863,3863,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,58.233333333333334,17.5,7.032158119658119,0.0,0.0,0.0,0,0,0,14.37278846153846,C,,False
4204,4204,"Sekisui Chemical Co.,Ltd.",Chemicals,59.766666666666666,35.0,53.48867521367521,35.0,0.0,35.0,2,18,0,21.885961538461537,D,semiconductor,True
8278,8278,"FUJI CO.,LTD.",Retail Trade,55.03333333333333,17.5,47.78023504273504,0.0,0.0,0.0,0,0,0,21.131442307692303,C,,False
1723,1723,"NIHON DENGI CO.,LTD.",Construction,31.966666666666665,35.0,61.718910256410254,35.0,0.0,0.0,2,18,0,13.813403846153845,D,power_grid,True
2121,2121,"MIXI,Inc.",Information & Communication,40.266666666666666,35.0,72.0513888888889,35.0,35.0,0.0,2,18,0,22.06725,D,business_data,True
1662,1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,39.55,17.5,18.864850427350422,0.0,0.0,0.0,0,0,0,13.139673076923076,C,,False
9956,9956,"VALOR HOLDINGS CO.,LTD.",Retail Trade,56.63333333333333,17.5,45.21431623931623,0.0,0.0,0.0,0,0,0,20.95757692307692,C,,False
7516,7516,"KOHNAN SHOJI CO.,LTD.",Retail Trade,52.1,17.5,50.26912393162392,0.0,0.0,0.0,0,0,0,21.051442307692305,C,,False
4922,4922,KOSE Holdings Corporation,Chemicals,55.60000000000001,35.0,74.65096153846153,35.0,0.0,35.0,2,18,0,24.945173076923076,D,semiconductor,True
2212,2212,"YAMAZAKI BAKING CO.,LTD.",Foods,60.2,17.5,49.20715811965811,0.0,0.0,0.0,0,0,0,22.318288461538454,C,,False
3608,3608,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,49.7,17.5,60.31741452991453,0.0,0.0,0.0,0,0,0,22.428134615384614,C,,False
6457,6457,GLORY LTD.,Machinery,57.00000000000001,35.0,61.44743589743589,35.0,0.0,35.0,2,18,0,22.82053846153846,D,factory_automation,True
3405,3405,"KURARAY CO.,LTD.",Chemicals,57.43333333333334,35.0,39.58888888888888,35.0,0.0,35.0,2,18,0,18.964,D,semiconductor,True
2220,2220,"KAMEDA SEIKA CO.,LTD.",Foods,49.6,17.5,30.082799145299145,0.0,0.0,0.0,0,0,0,16.967903846153845,C,,False
2918,2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,42.06666666666666,17.5,30.69455128205128,0.0,0.0,0.0,0,0,0,15.722019230769227,C,,False
3539,3539,"JM HOLDINGS CO.,LTD.",Retail Trade,38.43333333333333,17.5,50.10683760683761,0.0,0.0,0.0,0,0,0,18.56223076923077,C,,False
8016,8016,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,54.06666666666666,17.5,62.386752136752136,0.0,0.0,0.0,0,0,0,23.586615384615385,C,,False
9101,9101,Nippon Yusen Kabushiki Kaisha,Marine Transportation,60.266666666666666,17.5,8.33792735042735,0.0,0.0,0.0,0,0,0,14.973826923076922,C,,False
6196,6196,"Strike Group Co.,Ltd.",Services,25.6,35.0,70.4883547008547,35.0,35.0,35.0,2,18,0,23.695903846153847,D,quality_assurance,True
4118,4118,KANEKA CORPORATION,Chemicals,57.099999999999994,35.0,43.46132478632478,35.0,0.0,35.0,2,18,0,19.601038461538455,D,semiconductor,True
6648,6648,KAWADEN CORPORATION,Electric Appliances,30.833333333333336,35.0,54.34871794871795,35.0,0.0,35.0,2,18,0,16.83276923076923,D,factory_automation,True
2730,2730,EDION Corporation,Retail Trade,56.099999999999994,17.5,47.22681623931624,0.0,0.0,0.0,0,0,0,21.22382692307692,C,,False
1861,1861,"Kumagai Gumi Co.,Ltd.",Construction,50.56666666666667,35.0,12.366666666666664,35.0,0.0,0.0,2,18,0,8.277999999999999,D,power_grid,True
4202,4202,Daicel Corporation,Chemicals,56.89999999999999,35.0,38.77222222222222,35.0,0.0,35.0,2,18,0,18.720999999999997,D,semiconductor,True
5233,5233,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,57.7,17.5,17.89412393162393,0.0,0.0,0.0,0,0,0,16.231942307692307,C,,False
6440,6440,JUKI CORPORATION,Machinery,48.9,35.0,41.87136752136752,35.0,0.0,35.0,2,18,0,17.83884615384615,D,factory_automation,True
1961,1961,"SANKI ENGINEERING CO.,LTD.",Construction,45.4,35.0,33.37638888888888,35.0,0.0,0.0,2,18,0,11.129749999999998,D,power_grid,True
6417,6417,"SANKYO CO.,LTD.",Machinery,31.466666666666665,35.0,64.8576923076923,35.0,0.0,35.0,2,18,0,18.838384615384612,D,factory_automation,True
7917,7917,ZACROS Corporation,Chemicals,45.36666666666667,35.0,35.8892094017094,35.0,0.0,35.0,2,18,0,16.12605769230769,D,semiconductor,True
5393,5393,NICHIAS CORPORATION,Glass and Ceramics Products,53.833333333333336,17.5,32.573183760683754,0.0,0.0,0.0,0,0,0,18.178173076923073,C,,False
7649,7649,"SUGI HOLDINGS Co.,LTD.",Retail Trade,57.96666666666667,17.5,50.17863247863248,0.0,0.0,0.0,0,0,0,22.091153846153844,C,,False
7552,7552,HAPPINET CORPORATION,Wholesale Trade,34.56666666666667,17.5,27.56399572649573,0.0,0.0,0.0,0,0,0,13.808519230769232,C,,False
