code_n,code,company_name,sector,transformation_quant_evidence_level,transformation_reform_disclosure_level,transformation_shareholder_return_evidence_level,emerging_disclosure_level,final_evidence_level,final_evidence_level_v2_buggy,final_evidence_level_changed,curated_evidence_flag,systematic_screening_flag,role_candidate,final_role
7261,7261,Mazda Motor Corporation,Transportation Equipment,2,1,1,0,2,2,False,False,False,Transformation Core,
7211,7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,1,1,1,0,1,1,False,False,False,Transformation Core,
9533,9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,2,1,1,0,2,2,False,False,False,Transformation Core,
9507,9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,3,1,1,0,3,3,False,False,False,Transformation Core,
7419,7419,"Nojima Co.,Ltd.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
8012,8012,"NAGASE & CO.,LTD.",Wholesale Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
2695,2695,"Kura Sushi,Inc.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
4022,4022,"Rasa Industries,Ltd.",Chemicals,2,1,1,1,2,2,False,False,True,Transformation Core,
1333,1333,Umios Corporation,"Fishery, Agriculture and Forestry",2,1,1,0,2,2,False,False,False,Transformation Core,
1515,1515,"Nittetsu Mining Co.,Ltd.",Mining,1,1,1,0,1,1,False,False,False,Transformation Core,
8111,8111,Goldwin Inc.,Textiles and Apparels,1,1,1,0,1,1,False,False,False,Bridge / Diversifier,
9684,9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,1,1,1,1,1,1,False,False,True,Transformation Core,
6745,6745,HOCHIKI CORPORATION,Electric Appliances,3,1,1,1,3,3,False,False,True,Transformation Core,
9831,9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,1,1,1,0,1,1,False,False,False,Bridge / Diversifier,
8273,8273,"IZUMI CO.,LTD.",Retail Trade,1,1,1,0,1,1,False,False,False,Transformation Core,
5021,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,1,1,1,0,1,1,False,False,False,Transformation Core,
1909,1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,3,1,1,1,3,3,False,False,True,Transformation Core,
6454,6454,"MAX CO.,LTD.",Machinery,3,1,1,1,3,3,False,False,True,Transformation Core,
8060,8060,Canon Marketing Japan Inc.,Wholesale Trade,2,1,1,0,2,2,False,False,False,Bridge / Diversifier,
1911,1911,"Sumitomo Forestry Co.,Ltd.",Construction,1,1,1,1,1,1,False,False,True,Bridge / Diversifier,
3028,3028,"Alpen Co.,Ltd.",Retail Trade,2,1,1,0,2,2,False,False,False,Transformation Core,
2602,2602,"The Nisshin OilliO Group,Ltd.",Foods,3,1,1,0,3,3,False,False,False,Transformation Core,
2791,2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
9682,9682,DTS CORPORATION,Information & Communication,3,1,1,1,3,3,False,False,True,Transformation Core,
5105,5105,Toyo Tire Corporation,Rubber Products,2,1,1,0,2,2,False,False,False,Transformation Core,
9997,9997,"BELLUNA CO.,LTD.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
5406,5406,"Kobe Steel,Ltd.",Iron and Steel,3,1,1,0,3,3,False,False,False,Transformation Core,
8276,8276,"HEIWADO CO.,LTD.",Retail Trade,2,1,1,0,2,2,False,False,False,Transformation Core,
1414,1414,"SHO-BOND Holdings Co.,Ltd.",Construction,3,1,1,1,3,3,False,False,True,Bridge / Diversifier,
3382,3382,"Seven & i Holdings Co.,Ltd.",Retail Trade,2,1,1,0,2,2,False,False,False,Transformation Core,
3863,3863,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,3,1,1,0,3,3,False,False,False,Transformation Core,Transformation Core
4204,4204,"Sekisui Chemical Co.,Ltd.",Chemicals,3,1,1,1,3,3,False,False,True,Transformation Core,
8278,8278,"FUJI CO.,LTD.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
1723,1723,"NIHON DENGI CO.,LTD.",Construction,3,1,1,1,3,3,False,False,True,Transformation Core,
2121,2121,"MIXI,Inc.",Information & Communication,3,1,1,1,3,3,False,False,True,Transformation Core,
1662,1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,2,1,1,0,2,2,False,False,False,Transformation Core,
9956,9956,"VALOR HOLDINGS CO.,LTD.",Retail Trade,3,1,1,0,3,3,False,False,False,Transformation Core,
7516,7516,"KOHNAN SHOJI CO.,LTD.",Retail Trade,1,1,1,0,1,1,False,False,False,Bridge / Diversifier,
4922,4922,KOSE Holdings Corporation,Chemicals,3,1,1,1,3,3,False,False,True,Bridge / Diversifier,
2212,2212,"YAMAZAKI BAKING CO.,LTD.",Foods,3,1,1,0,3,3,False,False,False,Transformation Core,
3608,3608,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,2,1,0,0,2,2,False,False,False,Bridge / Diversifier,
6457,6457,GLORY LTD.,Machinery,3,1,1,1,3,3,False,False,True,Transformation Core,
3405,3405,"KURARAY CO.,LTD.",Chemicals,0,1,1,1,1,1,False,False,True,Bridge / Diversifier,
2220,2220,"KAMEDA SEIKA CO.,LTD.",Foods,3,1,1,0,3,3,False,False,False,Transformation Core,
2918,2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,3,1,1,0,3,3,False,False,False,Bridge / Diversifier,
3539,3539,"JM HOLDINGS CO.,LTD.",Retail Trade,3,1,1,0,3,3,False,False,False,Buffett Core,Buffett Core
8016,8016,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,3,1,1,0,3,3,False,False,False,Bridge / Diversifier,
9101,9101,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0,1,1,0,0,0,False,False,False,Bridge / Diversifier,
