code_n,code,company_name,sector,transformation_score,emerging_score,dual_combined_score,bridge_score,transformation_grade,emerging_grade,role_candidate,final_role,ai_keyword_only_flag,low_pbr_only_flag,base_hard_exclusion_flag
7261,7261,Mazda Motor Corporation,Transportation Equipment,70.33205303388695,17.88571153846154,44.10888228617424,78.77353825954691,B,C,Transformation Core,,False,False,False
7211,7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,73.05352257993025,17.660057692307692,45.35679013611897,80.27034650987073,B,C,Transformation Core,,False,False,False
9533,9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,72.01938226199758,17.51969230769231,44.769537284844944,79.70156933500775,B,C,Transformation Core,,False,False,False
9507,9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,78.23322237945044,23.24380769230769,50.73851503587906,79.02827230869775,A,C,Transformation Core,,False,False,False
7419,7419,"Nojima Co.,Ltd.",Retail Trade,75.1795219757029,20.793269230769223,47.98639560323606,81.43964617754568,B,C,Transformation Core,,False,False,False
8012,8012,"NAGASE & CO.,LTD.",Wholesale Trade,71.8458701593539,16.42351923076923,44.13469469506156,79.60613767855372,B,C,Transformation Core,,False,False,False
2695,2695,"Kura Sushi,Inc.",Retail Trade,73.06555130174903,22.650480769230768,47.8580160354899,80.27696230687106,B,C,Transformation Core,,False,False,False
4022,4022,"Rasa Industries,Ltd.",Chemicals,73.40902725117932,12.273615384615386,42.84132131789735,80.46587407905773,B,D,Transformation Core,,True,False,False
1333,1333,Umios Corporation,"Fishery, Agriculture and Forestry",74.32173262911385,15.853115384615386,45.08742400686462,80.9678620369217,B,C,Transformation Core,,False,False,False
1515,1515,"Nittetsu Mining Co.,Ltd.",Mining,68.79552447473928,12.452096153846153,40.62381031429272,77.9284475520157,B,C,Transformation Core,,False,False,False
8111,8111,Goldwin Inc.,Textiles and Apparels,61.51489365320919,19.878230769230765,40.69656221121998,73.92410060017414,C,C,Bridge / Diversifier,,False,False,False
9684,9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,66.67535991523359,22.803423076923075,44.739391496078326,76.76235704428757,B,D,Transformation Core,,True,False,False
6745,6745,HOCHIKI CORPORATION,Electric Appliances,82.05420486206815,20.465423076923074,51.25981396949561,85.22072176504656,A,D,Transformation Core,,True,False,False
9831,9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,64.10900723201092,20.653480769230768,42.381244000620846,75.3508630685151,C,C,Bridge / Diversifier,,False,False,False
