score,weight,mult,spearman_vs_base,selected5_in_variant_top5,selected5_in_variant_top8
transformation,valuation_gap_score,0.8,0.9982,5.0,
transformation,valuation_gap_score,1.2,0.9984,5.0,
transformation,capital_efficiency_improvement_score,0.8,0.9973,5.0,
transformation,capital_efficiency_improvement_score,1.2,0.9979,5.0,
transformation,fcf_proxy_score,0.8,0.9986,5.0,
transformation,fcf_proxy_score,1.2,0.9987,5.0,
transformation,execution_reliability_score,0.8,0.9992,5.0,
transformation,execution_reliability_score,1.2,0.9992,5.0,
transformation,quality_trap_resistance_score,0.8,0.999,5.0,
transformation,quality_trap_resistance_score,1.2,0.9991,5.0,
transformation,conf,0.8,0.9998,5.0,
transformation,conf,1.2,0.9998,5.0,
emerging,intangible_capital_score,0.8,0.9937,,3.0
emerging,intangible_capital_score,1.2,0.9937,,3.0
emerging,innovation_capacity_score,0.8,1.0,,3.0
emerging,innovation_capacity_score,1.2,1.0,,3.0
emerging,bottleneck_pricing_power_score,0.8,0.9947,,3.0
emerging,bottleneck_pricing_power_score,1.2,0.9971,,3.0
emerging,ai_infrastructure_exposure_score,0.8,0.996,,3.0
emerging,ai_infrastructure_exposure_score,1.2,0.9962,,3.0
emerging,data_customer_base_score,0.8,0.9975,,3.0
emerging,data_customer_base_score,1.2,0.9978,,3.0
emerging,trust_safety_infrastructure_score,0.8,0.9978,,3.0
emerging,trust_safety_infrastructure_score,1.2,0.9978,,3.0
