ticker,company,vol_wo,mdd_wo,contribution,vol_delta
3539.T,"JM HOLDINGS CO.,LTD.",0.2256,-0.2561,0.0189,0.0068999999999999895
6430.T,"DAIKOKU DENKI CO.,LTD.",0.2181,-0.2428,-0.0134,-0.0006000000000000172
7803.T,Bushiroad Inc.,0.218,-0.2498,-0.011,-0.0007000000000000062
9470.T,"GAKKEN HOLDINGS CO.,LTD.",0.2271,-0.2587,0.0114,0.00839999999999999
4350.T,"MEDICAL SYSTEM NETWORK Co.,Ltd.",0.2225,-0.246,0.0154,0.003799999999999998
3697.T,SHIFT Inc.,0.2197,-0.248,-0.017,0.0010000000000000009
6841.T,YOKOGAWA ELECTRIC CORPORATION,0.2189,-0.2496,0.0657,0.00020000000000000573
9474.T,"ZENRIN CO.,LTD.",0.2293,-0.2625,0.0093,0.010599999999999998
6368.T,ORGANO CORPORATION,0.2122,-0.2435,0.283,-0.006500000000000006
6315.T,TOWA CORPORATION,0.2101,-0.235,0.1456,-0.008599999999999997
6920.T,Lasertec Corporation,0.2133,-0.2373,0.0461,-0.005400000000000016
6526.T,Socionext Inc.,0.2112,-0.241,0.017,-0.007500000000000007
5803.T,Fujikura Ltd.,0.212,-0.2562,1.2873,-0.0067000000000000115
5902.T,HOKKAN HOLDINGS LIMITED,0.2248,-0.2508,0.0554,0.006099999999999994
9828.T,Genki Global Dining Concepts Corporation,0.2198,-0.2564,0.0435,0.0010999999999999899
5233.T,TAIHEIYO CEMENT CORPORATION,0.2194,-0.2488,0.0354,0.0007000000000000062
8037.T,KAMEI CORPORATION,0.2194,-0.2466,0.0734,0.0007000000000000062
3863.T,"Nippon Paper Industries Co.,Ltd.",0.2231,-0.2533,0.0079,0.004399999999999987
3089.T,"Techno Alpha Co.,Ltd.",0.2229,-0.2527,0.0091,0.0041999999999999815
2112.T,"Ensuiko Sugar Refining Co.,Ltd.",0.2228,-0.2582,0.0872,0.0040999999999999925
