variant,description,selected_count,overlap_with_final20,jaccard_with_final20,role_distribution,sector_distribution,theme_distribution,changed_in,changed_out,interpretation
A1,Transformation Score のみで選定,20,12,0.4286,"{""Transformation Core"": 15, ""Buffett Core"": 5}","{""Retail Trade"": 3, ""Glass and Ceramics Products"": 2, ""Wholesale Trade"": 2, ""Pulp and Paper"": 2, ""Iron and Steel"": 2, ""Real Estate"": 2, ""Machinery"": 1, ""Other Products"": 1, ""Information & Communication"": 1, ""Metal Products"": 1, ""Electric Power and Gas"": 1, ""Foods"": 1, ""Precision Instruments"": 1}","{""non_ai"": 18, ""factory_automation"": 1, ""business_data"": 1}",3236;3489;3865;5214;5406;5603;8050;9507,3697;5803;6315;6368;6526;6841;6920;9474,"重複12/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=non_ai(8), 業種=Real Estate(2)] / 流出傾向[テーマ=semiconductor(3), 業種=Electric Appliances(3)]。"
A2,Emerging Score のみで選定,20,16,0.6667,"{""Emerging Core"": 8, ""Transformation Core"": 7, ""Buffett Core"": 5}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1, ""Iron and Steel"": 1, ""Real Estate"": 1, ""Glass and Ceramics Products"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""quality_assurance"": 2, ""business_data"": 1, ""cybersecurity"": 1, ""optical_communication"": 1}",2326;3489;5214;5603,3863;5233;8037;9474,"重複16/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(3), 業種=Information & Communication(1)] / 流出傾向[テーマ=non_ai(3), 業種=Pulp and Paper(1)]。"
A3,Evidence Level を外して選定,20,13,0.4815,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Machinery"": 5, ""Information & Communication"": 5, ""Electric Appliances"": 4, ""Retail Trade"": 2, ""Services"": 2, ""Other Products"": 1, ""Nonferrous Metals"": 1}","{""quality_assurance"": 4, ""semiconductor"": 4, ""non_ai"": 3, ""factory_automation"": 2, ""business_data"": 2, ""cybersecurity"": 2, ""precision_processing"": 1, ""cooling"": 1, ""optical_communication"": 1}",2326;3692;4751;6146;6367;7735;9612,2112;3089;3863;5233;5902;8037;9828,"重複13/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=cybersecurity(2), 業種=Information & Communication(2)] / 流出傾向[テーマ=non_ai(7), 業種=Wholesale Trade(2)]。"
A4,Value Trap Penalty を外して選定,20,16,0.6667,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 1, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Metal Products"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1, ""Pulp and Paper"": 1, ""Foods"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""business_data"": 2, ""optical_communication"": 1, ""cooling"": 1, ""quality_assurance"": 1}",2613;6367;7735;9507,2112;3089;6315;6920,"重複16/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(2), 業種=Foods(1)] / 流出傾向[テーマ=non_ai(2), 業種=Foods(1)]。"
A5,Theme Hype Penalty を外して選定,20,13,0.4815,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Other Products"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Nonferrous Metals"": 1, ""Precision Instruments"": 1, ""Electric Power and Gas"": 1, ""Textiles and Apparels"": 1, ""Foods"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""optical_communication"": 1}",2267;7453;7747;7832;7936;8016;9507,2112;3089;3863;5233;5902;8037;9828,"重複13/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=non_ai(7), 業種=Other Products(2)] / 流出傾向[テーマ=non_ai(7), 業種=Wholesale Trade(2)]。"
A6,Phase2 Confidence を外して選定,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,"重複15/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(4), 業種=Precision Instruments(2)] / 流出傾向[テーマ=non_ai(4), 業種=Foods(1)]。"
A7,業種制約を外して選定,20,13,0.4815,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Machinery"": 5, ""Retail Trade"": 4, ""Information & Communication"": 4, ""Electric Appliances"": 4, ""Other Products"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1}","{""non_ai"": 7, ""semiconductor"": 4, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""cybersecurity"": 1, ""precision_processing"": 1, ""cooling"": 1}",2326;6146;6367;7550;7735;8050;9507,2112;3089;3863;5233;5803;5902;8037,"重複13/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=non_ai(3), 業種=Machinery(2)] / 流出傾向[テーマ=non_ai(6), 業種=Wholesale Trade(2)]。"
A8,Top100 だけから選定,20,7,0.2121,"{""Transformation Core"": 13, ""Buffett Core"": 5, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Foods"": 3, ""Glass and Ceramics Products"": 2, ""Electric Power and Gas"": 2, ""Machinery"": 1, ""Other Products"": 1, ""Information & Communication"": 1, ""Pulp and Paper"": 1, ""Iron and Steel"": 1, ""Fishery, Agriculture and Forestry"": 1, ""Mining"": 1, ""Transportation Equipment"": 1, ""Rubber Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 18, ""factory_automation"": 1, ""business_data"": 1}",1333;1662;2212;2220;2602;5105;5393;5406;7211;8012;8278;9507;9533,2112;3089;3697;5803;5902;6315;6368;6526;6841;6920;8037;9474;9828,"重複7/20（Jaccard 0.21）：大幅な入替。この要素が選定の主要ドライバーである。 流入傾向[テーマ=non_ai(13), 業種=Foods(3)] / 流出傾向[テーマ=non_ai(5), 業種=Electric Appliances(3)]。"
A9,Top300 だけから選定,20,12,0.4286,"{""Transformation Core"": 8, ""Buffett Core"": 5, ""Dual Moat"": 3, ""Emerging Core"": 2, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Information & Communication"": 3, ""Machinery"": 2, ""Electric Appliances"": 2, ""Pulp and Paper"": 2, ""Other Products"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Iron and Steel"": 1, ""Foods"": 1, ""Fishery, Agriculture and Forestry"": 1}","{""non_ai"": 13, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 1, ""semiconductor"": 1, ""cooling"": 1}",1333;2220;3865;5406;6367;8050;8278;9507,2112;3089;5803;5902;6315;6368;6920;9828,"重複12/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=non_ai(7), 業種=Fishery, Agriculture and Forestry(1)] / 流出傾向[テーマ=non_ai(4), 業種=Machinery(2)]。"
A10,Top1200 全体から選定,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,"重複15/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(4), 業種=Precision Instruments(2)] / 流出傾向[テーマ=non_ai(4), 業種=Foods(1)]。"
A11,Buffett Core 固定を外して選定,20,11,0.3793,"{""Transformation Core"": 10, ""Emerging Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Information & Communication"": 3, ""Electric Appliances"": 3, ""Machinery"": 3, ""Retail Trade"": 3, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1, ""Iron and Steel"": 1, ""Real Estate"": 1}","{""non_ai"": 10, ""quality_assurance"": 2, ""semiconductor"": 2, ""factory_automation"": 1, ""business_data"": 1, ""cybersecurity"": 1, ""precision_processing"": 1, ""cooling"": 1, ""optical_communication"": 1}",2326;3489;5603;6146;6367;7550;8050;8278;9507,3539;3863;4350;5233;6315;6430;7803;8037;9470,"重複11/20：中程度の入替。この要素は選定を有意に形づくるが支配的ではない。 流入傾向[テーマ=non_ai(6), 業種=Machinery(2)] / 流出傾向[テーマ=non_ai(6), 業種=Retail Trade(2)]。"
A12,Dual Moat 枠を外して選定,20,16,0.6667,"{""Transformation Core"": 8, ""Buffett Core"": 5, ""Emerging Core"": 5, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""cooling"": 1, ""optical_communication"": 1}",6367;7832;8050;9507,3863;5233;6315;8037,"重複16/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(3), 業種=Machinery(1)] / 流出傾向[テーマ=non_ai(3), 業種=Pulp and Paper(1)]。"
A13,Bridge 枠を外して選定,20,16,0.6667,"{""Transformation Core"": 7, ""Buffett Core"": 5, ""Emerging Core"": 5, ""Dual Moat"": 3}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Glass and Ceramics Products"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7832;8050;9507,2112;3863;6315;8037,"重複16/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(3), 業種=Machinery(1)] / 流出傾向[テーマ=non_ai(3), 業種=Foods(1)]。"
A14,Emerging Evidence Level>=2 制約を外して選定,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,"重複15/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(4), 業種=Precision Instruments(2)] / 流出傾向[テーマ=non_ai(4), 業種=Foods(1)]。"
A15,Transformation Reform Evidence を外して選定,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,"重複15/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=non_ai(4), 業種=Precision Instruments(2)] / 流出傾向[テーマ=non_ai(4), 業種=Foods(1)]。"
A16,ai_keyword_only ガードを Emerging系役割(Emerging Core/Dual Moat)のみに限定（D4定量化）,20,16,0.6667,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Services"": 2, ""Other Products"": 1, ""Nonferrous Metals"": 1, ""Construction"": 1, ""Metal Products"": 1, ""Chemicals"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 6, ""quality_assurance"": 4, ""semiconductor"": 4, ""factory_automation"": 2, ""business_data"": 2, ""optical_communication"": 1, ""power_grid"": 1}",1961;4113;9612;9616,2112;3863;5233;8037,"重複16/20：構成は頑健。この要素を外しても中核は概ね維持される。 流入傾向[テーマ=quality_assurance(2), 業種=Services(2)] / 流出傾向[テーマ=non_ai(4), 業種=Foods(1)]。 ガードを Transformation/Bridge に効かせない場合の影響を示す。重複が高いほど、当該ガードが最終選定に対して過度に拘束的でないことを意味する。"
