code_n,company_name,sector,theme,final_role,final_evidence_level,price,vol_1y,mdd_1y,avg_trading_value_60d,w_equal,w_role_budget,target_weight_final,w_minvar,qty_L1,amount_L1,actual_w_L1,qty_L100,amount_L100,actual_w_L100
3539,"JM HOLDINGS CO.,LTD.",Retail Trade,non_ai,Buffett Core,3,1248.0,0.24246339936772573,-0.3055091819699499,144716800.0,0.05,0.05,0.05577099924019538,0.08,223,278304.0,0.0556608,200,249600.0,0.04992
6430,"DAIKOKU DENKI CO.,LTD.",Machinery,non_ai,Buffett Core,3,2085.0,0.24918077943202505,-0.29895899824266925,161995896.66666666,0.05,0.05,0.054267532563046075,0.02,130,271050.0,0.05421,100,208500.0,0.0417
7803,Bushiroad Inc.,Other Products,non_ai,Buffett Core,3,258.0,0.465939137971861,-0.3772271394345522,159848943.33333334,0.05,0.05,0.02902187208563979,0.020000000000000007,562,144996.0,0.0289992,500,129000.0,0.0258
9470,"GAKKEN HOLDINGS CO.,LTD.",Information & Communication,non_ai,Buffett Core,3,941.0,0.19648568862312774,-0.1749729064086859,121937936.66666669,0.05,0.05,0.06882142998134336,0.049999999999999906,365,343465.0,0.068693,300,282300.0,0.05646
4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Retail Trade,non_ai,Buffett Core,1,514.0,0.25938003160646067,-0.17477477477477477,30067965.0,0.05,0.05,0.04211816612977538,0.08,409,210226.0,0.0420452,400,205600.0,0.04112
3697,SHIFT Inc.,Information & Communication,quality_assurance,Dual Moat,2,727.2000122070312,0.5130490723450291,-0.6695530726256983,5806373240.805766,0.05,0.049999999999999996,0.02985622503980942,0.049999999999999996,205,149076.0025024414,0.029815200500488283,200,145440.00244140625,0.02908800048828125
6841,YOKOGAWA ELECTRIC CORPORATION,Electric Appliances,factory_automation,Dual Moat,3,5077.0,0.3531014189227385,-0.24050293325127337,7155156395.0,0.05,0.049999999999999996,0.045549502569225894,0.02,44,223388.0,0.0446776,0,0.0,0.0
9474,"ZENRIN CO.,LTD.",Information & Communication,business_data,Dual Moat,3,870.0,0.2047247164191192,-0.2550316729983455,193094326.66666663,0.05,0.049999999999999996,0.07459427239096468,0.08,428,372360.0,0.074472,400,348000.0,0.0696
6368,ORGANO CORPORATION,Machinery,semiconductor,Emerging Core,3,15750.0,0.4833294497484808,-0.23133903536246625,4163357991.6666665,0.05,0.05,0.06910314723120134,0.08,21,330750.0,0.06615,0,0.0,0.0
6315,TOWA CORPORATION,Machinery,semiconductor,Emerging Core,3,2888.0,0.6940353360666267,-0.282795356307494,10875321243.333334,0.05,0.05,0.04349647041339571,0.02,75,216600.0,0.04332,0,0.0,0.0
6920,Lasertec Corporation,Electric Appliances,quality_assurance,Emerging Core,2,38380.0,0.6601368900723142,-0.27065748911799636,170069025650.0,0.05,0.05,0.04818565682856368,0.05070235352072689,6,230280.0,0.046056,0,0.0,0.0
6526,Socionext Inc.,Electric Appliances,semiconductor,Emerging Core,2,2862.0,0.6177999285536345,-0.5035806271795457,17619074970.833332,0.05,0.05,0.04901237952019174,0.07929764647927309,85,243270.0,0.048654,0,0.0,0.0
5803,Fujikura Ltd.,Nonferrous Metals,optical_communication,Emerging Core,2,4677.0,0.7151463121575642,-0.4532145130490134,336964991840.9042,0.05,0.05,0.04020234600664753,0.02,42,196434.0,0.0392868,0,0.0,0.0
5902,HOKKAN HOLDINGS LIMITED,Metal Products,non_ai,Transformation Core,3,2220.0,0.1917786655582346,-0.12288713396817375,66116871.666666664,0.05,0.05,0.0670331923438411,0.08,150,333000.0,0.0666,100,222000.0,0.0444
9828,Genki Global Dining Concepts Corporation,Retail Trade,non_ai,Transformation Core,3,2754.0,0.23361725753490867,-0.37188938815249284,204865356.66666663,0.05,0.05,0.05502819573973192,0.08,99,272646.0,0.0545292,0,0.0,0.0
5233,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,non_ai,Transformation Core,3,4458.0,0.33292049587873324,-0.3091436936559495,2753052776.6666665,0.05,0.05,0.036757969856054756,0.02,41,182778.0,0.0365556,0,0.0,0.0
8037,KAMEI CORPORATION,Wholesale Trade,non_ai,Transformation Core,3,3460.0,0.2527553847725504,-0.11655844712256513,185679500.0,0.05,0.05,0.04841630402052779,0.02,69,238740.0,0.047748,0,0.0,0.0
3863,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,non_ai,Transformation Core,3,1224.0,0.28616090211828765,-0.18940397350993377,1578237018.3333333,0.05,0.05,0.042764338039844405,0.050000000000000024,174,212976.0,0.0425952,100,122400.0,0.02448
3089,"Techno Alpha Co.,Ltd.",Wholesale Trade,non_ai,Bridge / Diversifier,3,1252.0,0.48726662630609435,-0.3078526754690758,48838031.666666664,0.05,0.05,0.03600159086258239,0.024647254246420152,143,179036.0,0.0358072,100,125200.0,0.02504
2112,"Ensuiko Sugar Refining Co.,Ltd.",Foods,non_ai,Bridge / Diversifier,3,427.0,0.322478121082405,-0.24742500597835138,57909498.333333336,0.05,0.05,0.06399840913741763,0.07535274575357986,749,319823.0,0.0639646,700,298900.0,0.05978
