式番号,式名,分類,本文/付録,①問い,②一文の意味,③式ボックス,④変数表,⑤数値例,⑥使用方法,⑦分かること,⑧限界,初学者可読(QA)
1.0,時価総額,基礎（引用式）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.1,B/M,引用式（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.2,E/P,引用式（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.3,Gross Profitability,引用式（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.4,Piotroski 財務健全性スコア,改変式・部分実装（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.5,Sloan アクルーアル,引用式（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.6,流動性フィルタ,実装式（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
1.7,財務危機ガードレール,改変式・原式代替（守・選定使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
2.1,市場パーセンタイル正規化,実装式（破・候補宇宙形成に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
2.2,正規化コンセンサスタグ,実装式（破・頑健性確認に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
2.3,Phase2 信頼度,実装式（破・配分の重みに使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
3.1,Transformation Moat Score,本研究の設計式（選定に未使用・付録）,付録,YES,YES,YES,YES,YES,YES,YES,YES,YES
3.2,Transformation Moat Score,本研究の実装式（選定に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
3.3,Emerging Moat Score,本研究の実装式（選定に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
3.4,Evidence Level,実装式（証拠分離に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
4.1,役割予算制約付き・リスク調整配分,実装式（配分に使用・銘柄は不変）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
4.2,単元株調整と8%上限後の再配分,実装式（配分に使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
5.1,Sharpe Ratio,検証式（銘柄選定に未使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
5.2,最大ドローダウン,検証式（銘柄選定に未使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
5.3,Jensen のアルファ,検証式（銘柄選定に未使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
5.4,インフォメーション・レシオ,検証式（銘柄選定に未使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
5.5,集中度指数 HHI,検証式（銘柄選定に未使用）,本文,YES,YES,YES,YES,YES,YES,YES,YES,YES
