rank,code,company_name,market,sector,market_equity,bm_raw,bm_percentile,ep_raw,ep_percentile,gross_profitability,gross_profitability_percentile,piotroski_available_score,piotroski_available_max,piotroski_available_ratio,sloan_accruals,sloan_accruals_percentile,distress_flags,distress_review_flag,distress_exclusion_flag,liquidity,liquidity_flag,liquidity_exclusion_flag,anomaly_flags,selection_cell,tie_break_reason,final20_type,human_review_required,adoption_rationale,inclusion_note
1,3539,"JM HOLDINGS CO.,LTD.",Prime Market (Domestic),Retail Trade,31797792000.0,1.4261053094504172,0.7601165425704112,0.2040707732159516,0.9476363636363636,0.7348633819666947,0.9181459566074952,6.0,6,1.0,-0.0021099389228206,0.3462540716612378,,False,False,144716800.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
2,4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Standard Market(Domestic),Retail Trade,15322134400.0,1.4402040488562742,0.7649724830042085,0.1742577065503354,0.9221818181818182,0.7187827614541127,0.9122287968441816,6.0,6,1.0,-0.02579017551447,0.5547231270358306,,False,False,30067965.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
3,9990,SAC'S BAR HOLDINGS INC.,Prime Market (Domestic),Retail Trade,20688014400.0,1.4279661367598429,0.7607640012949175,0.1230264031525422,0.8261818181818181,0.6444542100866973,0.8872452333990796,4.0,6,0.6666666666666666,-0.0145722900362938,0.4543973941368078,,False,False,64096080.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
4,8278,"FUJI CO.,LTD.",Prime Market (Domestic),Retail Trade,167319394358.0,1.3580434047819971,0.7348656523146649,0.0976097245789434,0.692,0.6015240407310001,0.8698224852071006,5.0,6,0.8333333333333334,-0.0517714202800415,0.7560260586319218,,False,False,256673550.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
5,9890,"MAKIYA CO.,LTD.",Standard Market(Domestic),Retail Trade,14580516500.0,1.4262413817782107,0.7604402719326643,0.1027303799560187,0.7261818181818182,0.5452643565409993,0.8408941485864563,5.0,6,0.8333333333333334,-0.041234495098717,0.6840390879478828,,False,False,12632175.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
6,8167,"RETAIL PARTNERS CO.,LTD.",Prime Market (Domestic),Retail Trade,54095906340.0,1.6951559961607254,0.840401424409194,0.0949794605105048,0.6730909090909091,0.5440065765812053,0.8399079552925707,4.0,6,0.6666666666666666,-0.0341313521500169,0.6241042345276873,,False,False,116230200.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
7,8276,"HEIWADO CO.,LTD.",Prime Market (Domestic),Retail Trade,123637425000.0,1.6011494901321344,0.8200064745872451,0.0771611023118606,0.532,0.4902917640247307,0.8040762656147271,5.0,6,0.8333333333333334,-0.0244148751862063,0.5429967426710098,,False,False,328742838.3333333,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
8,6430,"DAIKOKU DENKI CO.,LTD.",Prime Market (Domestic),Machinery,30849726720.0,1.4680010753754904,0.7743606345095501,0.2504875349508444,0.9676363636363636,0.4661222776211255,0.7853385930309007,4.0,6,0.6666666666666666,0.0010428298740779,0.3241042345276873,,False,False,161995896.66666666,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
9,8203,MrMax Holdings Ltd.,Prime Market (Domestic),Retail Trade,23527615204.0,1.6310195345882703,0.8255098737455487,0.1153963109503089,0.7963636363636364,0.4229292754625627,0.744904667981591,6.0,6,1.0,-0.0153697688650378,0.460586319218241,,False,False,54556100.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
10,9997,"BELLUNA CO.,LTD.",Prime Market (Domestic),Retail Trade,89587776432.0,1.5811978557981228,0.8141793460666883,0.0985513911789237,0.6996363636363636,0.4136535002656323,0.7347140039447732,5.0,6,0.8333333333333334,-0.0028051726078156,0.3514657980456026,,False,False,389976626.6666667,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
11,7803,Bushiroad Inc.,Growth Market(Domestic),Other Products,17495534700.0,1.4416281315483317,0.765943671090968,0.2051146799188709,0.9490909090909092,0.4013605395783348,0.7215647600262984,6.0,6,1.0,-0.0443112124392795,0.70814332247557,,False,False,159848943.33333334,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
12,9470,"GAKKEN HOLDINGS CO.,LTD.",Prime Market (Domestic),Information & Communication,38972580212.0,1.52597030210713,0.7957267724182583,0.1215213356220572,0.8210909090909091,0.3947943158469474,0.7130177514792899,6.0,6,1.0,-0.0228300013337878,0.5296416938110748,,False,False,121937936.66666669,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
13,7419,"Nojima Co.,Ltd.",Prime Market (Domestic),Retail Trade,144905624144.0,1.4375356459111268,0.7640012949174491,0.2251948479761692,0.9567272727272728,0.394318782962761,0.7126890203813281,5.0,6,0.8333333333333334,-0.0195499046929336,0.5045602605863192,,False,False,1256600990.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
14,2666,"AUTOWAVE Co.,Ltd.",Standard Market(Domestic),Retail Trade,2268775600.0,1.8245078975637783,0.8620912916801554,0.1184550821156574,0.8101818181818182,0.3702966631676676,0.6877054569362262,6.0,6,1.0,-0.0075519310015633,0.3895765472312703,,False,False,11774988.333333334,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
15,9274,"KPP GROUP HOLDINGS CO.,LTD.",Prime Market (Domestic),Wholesale Trade,65361444048.0,1.3190651041412866,0.7196503722887666,0.1222739202966637,0.8247272727272728,0.3667703495391083,0.6844181459566075,5.0,6,0.8333333333333334,-0.0091214863113105,0.403257328990228,,False,False,270670861.6666667,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
16,9507,"Shikoku Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,289821502032.0,1.5210845189509965,0.7934606668824863,0.236369625854869,0.9618181818181818,0.3592865040089916,0.6729125575279421,6.0,6,1.0,-0.0284462935638381,0.5801302931596091,,False,False,1122384626.6666667,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
17,6454,"MAX CO.,LTD.",Prime Market (Domestic),Machinery,75379198640.0,1.4066745456714502,0.7546131434121075,0.148993358945584,0.8898181818181818,0.3522963462294661,0.6650230111768574,6.0,6,1.0,-0.0272563411386444,0.5693811074918567,,False,False,539091076.6666666,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
18,3159,"Maruzen CHI Holdings Co.,Ltd.",Standard Market(Domestic),Retail Trade,32945979060.0,1.658168965035456,0.830042084817093,0.1019851312926804,0.7189090909090909,0.3522480733408817,0.6646942800788954,5.0,6,0.8333333333333334,-0.010711053748127,0.4218241042345276,,False,False,19280395.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",conservative,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",strict_pass_no_human_review_required
