code,ticker,company_name,market,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,anomaly_flags,gross_profitability,gross_profitability_available,available_signal_score,available_signal_max,sloan_accruals,sloan_accruals_winsorized,distress_review_flag,distress_exclusion_flag,distress_reason,avg_daily_value_60d,liquidity_flag,liquidity_exclusion_flag,anomaly_flags_review,microcap_flag,one_time_profit_suspected,bm_percentile,ep_percentile,gross_profitability_percentile,sloan_accruals_percentile,piotroski_available_ratio,phase1_final_candidate,selection_cell,distress_flags,liquidity,human_review_required,tie_break_reason,adoption_rationale,latest_price
9022,9022.T,Central Japan Railway Company,Prime Market (Domestic),Land Transportation,3234494414848.0,raw_market_cap,4658550000000.0,464391000000.0,0.6381434,5.930986,1.440271462091525,book_equity_over_market_equity,0.1435745252390004,net_income_over_market_equity,1.440271462091525,0.1435745252390004,True,True,A_raw_market_cap,,,,False,5.0,6,-0.0155626835302325,-0.0155626835302325,False,False,,11293249795.0,pass,False,,False,False,0.7652962123664616,0.8774545454545455,,0.4631921824104235,0.8333333333333334,False,HighValuexQualityMissingOrLow,,11293249795.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",3386.0
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),Electric Power and Gas,895750242304.0,raw_market_cap,3786130000000.0,161846000000.0,0.26426095,2.6368184,4.226769719047491,book_equity_over_market_equity,0.1806820610884888,net_income_over_market_equity,4.226769719047491,0.1806820610884888,True,True,A_raw_market_cap,,,,False,5.0,6,-0.0093855600671043,-0.0093855600671043,False,False,,35605341998.17322,pass,False,,False,False,0.9867270961476206,0.9290909090909092,,0.406514657980456,0.8333333333333334,False,HighValuexQualityMissingOrLow,,35605341998.17322,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",558.9000244140625
3449,3449.T,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,125215073000.0,close_times_edinet_shares_outstanding,25688017000.0,3123183000.0,,,0.2051511562030555,book_equity_over_market_equity,0.0249425482505608,net_income_over_market_equity,0.2051511562030555,0.0249425482505608,True,True,B_price_times_shares,,,0.2281266765761364,True,6.0,6,-0.0559738581627888,-0.0559738581627888,False,False,,702634568.3333334,pass,False,,False,False,0.0524441566850113,0.0843636363636363,0.4322813938198553,0.7856677524429967,1.0,False,OtherValuexQualityMissingOrLow,,702634568.3333334,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",6830.0
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,5710855274496.0,raw_market_cap,15289540000000.0,599405000000.0,0.5878693,15.770305,2.6772767414158203,book_equity_over_market_equity,0.1049588846484818,net_income_over_market_equity,2.6772767414158203,0.1049588846484818,True,True,A_raw_market_cap,,,,False,4.0,6,-0.0072026890199981,-0.0072026890199981,True,False,liabilities_to_assets_high;equity_ratio_low,10722098913.333334,pass,False,,False,False,0.9407575267076724,0.7363636363636363,,0.3869706840390879,0.6666666666666666,False,HighValuexQualityMissingOrLow,liabilities_to_assets_high;equity_ratio_low,10722098913.333334,True,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2035.0
6777,6777.T,santec Holdings Corporation,Standard Market(Domestic),Electric Appliances,298478436352.0,raw_market_cap,21428211000.0,5067844000.0,12.032057,38.927574,0.0717914877265351,book_equity_over_market_equity,0.0169789284007887,net_income_over_market_equity,0.0974144095975895,0.0169789284007887,True,True,A_raw_market_cap,,,0.4748010261529192,True,6.0,6,-0.0337393987202654,-0.0337393987202654,False,False,,6644598083.333333,pass,False,,False,False,0.0051796697960505,0.0469090909090909,0.7932281393819856,0.6201954397394136,1.0,False,OtherValuexHighQuality,,6644598083.333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",25380.0
6627,6627.T,"Tera Probe,Inc.",Standard Market(Domestic),Electric Appliances,100430880000.0,close_times_edinet_shares_outstanding,59928689000.0,6952842000.0,,,0.5967157611284497,book_equity_over_market_equity,0.0692301212535427,net_income_over_market_equity,0.5967157611284497,0.0692301212535427,True,True,B_price_times_shares,,,0.1170989581924219,True,3.0,6,-0.1499138838245903,-0.1499138838245903,False,False,,1317274283.3333333,pass,False,,False,False,0.3072191647782454,0.4574545454545454,0.1199868507560815,0.9693811074918568,0.5,False,OtherValuexQualityMissingOrLow,,1317274283.3333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",11040.0
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),Electric Appliances,157246992000.0,close_times_edinet_shares_outstanding,23441000000.0,2992000000.0,,,0.1490712140299637,book_equity_over_market_equity,0.0190273909977241,net_income_over_market_equity,0.1490712140299637,0.0190273909977241,True,True,B_price_times_shares,,,0.2687594900949892,True,5.0,6,-0.0123151413083521,-0.0123151413083521,False,False,,1717554650.0,pass,False,,False,False,0.0271932664292651,0.057090909090909,0.5256410256410257,0.4335504885993485,0.8333333333333334,False,OtherValuexHighQuality,,1717554650.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",6070.0
6387,6387.T,SAMCO INC.,Prime Market (Domestic),Machinery,88758915050.0,close_times_edinet_shares_outstanding,13558675000.0,1697328000.0,,,0.1527584580361542,book_equity_over_market_equity,0.0191229016155036,net_income_over_market_equity,0.1527584580361542,0.0191229016155036,True,True,B_price_times_shares,,,0.2626564737791084,True,4.0,6,0.028995065807867,0.028995065807867,False,False,,1829675283.3333333,pass,False,,False,False,0.0288119132405309,0.0574545454545454,0.5098619329388561,0.1716612377850163,0.6666666666666666,False,OtherValuexHighQuality,,1829675283.3333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",11050.0
5076,5076.T,INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,611770695680.0,raw_market_cap,366903000000.0,9963000000.0,0.9985165,9.3764515,0.5997394164036857,book_equity_over_market_equity,0.0162855136252086,net_income_over_market_equity,0.5997394164036857,0.0162855136252086,True,True,A_raw_market_cap,,,0.1553212945906334,True,1.0,6,,,False,False,,4740891821.666667,pass,False,,False,False,0.3107801877630301,0.0436363636363636,0.2172912557527942,,0.1666666666666666,False,OtherValuexQualityMissingOrLow,,4740891821.666667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2421.0
6800,6800.T,"YOKOWO CO.,LTD.",Prime Market (Domestic),Electric Appliances,120516722260.0,close_times_edinet_shares_outstanding,52030000000.0,2240000000.0,,,0.4317243202794022,book_equity_over_market_equity,0.0185866322780292,net_income_over_market_equity,0.4317243202794022,0.0185866322780292,True,True,B_price_times_shares,,,0.2058916070164398,True,6.0,6,-0.065480790642233,-0.065480790642233,False,False,,835476995.0,pass,False,,False,False,0.1932664292651343,0.0541818181818181,0.3675213675213675,0.8319218241042345,1.0,False,OtherValuexQualityMissingOrLow,,835476995.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",5170.0
