code,company_name,sector,bm_raw,ep_raw,anomaly_flags,market_equity_final,gross_profitability,gross_profitability_review_flag,sloan_accruals,accruals_extreme,distress_review_flag,distress_exclusion_flag,distress_reason,avg_daily_value_60d,liquidity_flag,liquidity_exclusion_flag,gross_profitability_extreme,liquidity_review_flag,microcap_flag,one_time_profit_suspected
9022,Central Japan Railway Company,Land Transportation,1.440271462091525,0.1435745252390004,,3234494414848.0,,False,-0.015562683530232567,False,False,False,,11293249795.0,pass,False,False,False,False,False
9501,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,4.226769719047491,0.1806820610884888,,895750242304.0,,False,-0.009385560067104334,False,False,False,,35605341998.17322,pass,False,False,False,False,False
3449,TECHNOFLEX CORPORATION,Metal Products,0.2051511562030555,0.0249425482505608,,125215073000.0,0.2281266765761364,False,-0.05597385816278888,False,False,False,,702634568.3333334,pass,False,False,False,False,False
6178,"JAPAN POST HOLDINGS Co.,Ltd.",Services,2.6772767414158203,0.1049588846484818,,5710855274496.0,,False,-0.007202689019998168,False,True,False,liabilities_to_assets_high;equity_ratio_low,10722098913.333334,pass,False,False,False,False,False
6777,santec Holdings Corporation,Electric Appliances,0.0717914877265351,0.0169789284007887,,298478436352.0,0.4748010261529192,False,-0.03373939872026546,False,False,False,,6644598083.333333,pass,False,False,False,False,False
6627,"Tera Probe,Inc.",Electric Appliances,0.5967157611284497,0.0692301212535427,,100430880000.0,0.11709895819242198,False,-0.1499138838245903,False,False,False,,1317274283.3333333,pass,False,False,False,False,False
6524,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,0.1490712140299637,0.0190273909977241,,157246992000.0,0.26875949009498923,False,-0.012315141308352193,False,False,False,,1717554650.0,pass,False,False,False,False,False
6387,SAMCO INC.,Machinery,0.1527584580361542,0.0191229016155036,,88758915050.0,0.26265647377910845,False,0.028995065807867034,False,False,False,,1829675283.3333333,pass,False,False,False,False,False
5076,INFRONEER Holdings Inc.,Construction,0.5997394164036857,0.0162855136252086,,611770695680.0,0.15532129459063346,False,,False,False,False,,4740891821.666667,pass,False,False,False,False,False
6800,"YOKOWO CO.,LTD.",Electric Appliances,0.4317243202794022,0.0185866322780292,,120516722260.0,0.20589160701643985,False,-0.06548079064223308,False,False,False,,835476995.0,pass,False,False,False,False,False
9513,"Electric Power Development Co.,Ltd.",Electric Power and Gas,2.1029238785306843,0.1473266078664402,,695936745472.0,,False,-0.03893715694871046,False,False,False,,5372123065.0,pass,False,False,False,False,False
8050,SEIKO GROUP CORPORATION,Precision Instruments,0.5157494513490897,0.0440894071969794,,306377446620.0,0.37122057437519634,False,-0.05124359823902948,False,False,False,,1845328000.0,pass,False,False,False,False,False
6617,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,0.5010486279930164,0.0322692928826608,,132633832900.0,0.2240611691831204,False,-0.0065920036130085674,False,False,False,,971058550.0,pass,False,False,False,False,False
6356,"NIPPON GEAR CO.,LTD.",Machinery,0.5913700192449329,0.0729892320740976,,21241489408.0,0.2800242960595509,False,0.017416952634740433,False,False,False,,5332541846.666667,pass,False,False,False,False,False
1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,1.2144395139194808,0.1672963333050793,,25129170000.0,0.29082729560839127,False,-0.09028682563608767,False,False,False,,1098486153.3333333,pass,False,False,False,False,False
4971,MEC COMPANY LTD.,Chemicals,0.1492858484837371,0.0282524895413633,,204118932300.0,0.3103557016798286,False,0.04354838666454326,False,False,False,,2863908933.3333335,pass,False,False,False,False,False
