code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
9022,9022.T,Central Japan Railway Company,Land Transportation,10640544000000.0,S100W2Z6,,1831847000000.0,,unavailable,,NetSales,,,False,False
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,21346787000000.0,S100W4QX,,6810391000000.0,,unavailable,,NetSales,,,False,False
3449,3449.T,TECHNOFLEX CORPORATION,Metal Products,38995023000.0,S100XU8H,8895805000.0,26025002000.0,17129196000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2281266765761364,True,False
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Services,304492161000000.0,S100W03W,,207244000000.0,,unavailable,,OperatingRevenue1,,,False,False
6777,6777.T,santec Holdings Corporation,Electric Appliances,29527373000.0,S100VZX9,14019627000.0,24026716000.0,10007088000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.4748010261529192,True,False
6627,6627.T,"Tera Probe,Inc.",Electric Appliances,100572987000.0,S100XTOJ,11776992000.0,41746379000.0,29969387000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.11709895819242198,True,False
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,28319000000.0,S100XT3K,7611000000.0,17454000000.0,9842000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.26875949009498923,True,False
6387,6387.T,SAMCO INC.,Machinery,17774224000.0,S100WVTP,4668515000.0,9342282000.0,,direct_gross_profit,GrossProfit,NetSales,,0.26265647377910845,True,False
5076,5076.T,INFRONEER Holdings Inc.,Construction,743710000000.0,S100W181,115514000000.0,21720000000.0,732034000000.0,direct_gross_profit,GrossProfitIFRS,OperatingRevenue1,CostOfSalesIFRS,0.15532129459063346,True,False
6800,6800.T,"YOKOWO CO.,LTD.",Electric Appliances,76278000000.0,S100W2TG,15705000000.0,82884000000.0,67178000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.20589160701643985,True,False
9513,9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,3931480000000.0,S100W4NR,,1316674000000.0,,unavailable,,OperatingRevenue1,,,False,False
8050,8050.T,SEIKO GROUP CORPORATION,Precision Instruments,369236000000.0,S100W5ES,137068000000.0,304744000000.0,167676000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.37122057437519634,True,False
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,113652000000.0,S100W7GC,25465000000.0,106624000000.0,81159000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2240611691831204,True,False
6356,6356.T,"NIPPON GEAR CO.,LTD.",Machinery,15233746000.0,S100W2KW,4265819000.0,9555548000.0,,direct_gross_profit,GrossProfit,NetSales,,0.2800242960595509,True,False
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,50939579000.0,S100W5RX,14814620000.0,55727078000.0,40912457000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.29082729560839127,True,False
4971,4971.T,MEC COMPANY LTD.,Chemicals,41814028000.0,S100XRJV,12977222000.0,20947752000.0,7970529000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3103557016798286,True,False
6278,6278.T,UNION TOOL CO.,Machinery,98070000000.0,S100XSU7,16084000000.0,40165000000.0,24080000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.1640053023350668,True,False
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,12563154000000.0,S100W38I,,4337111000000.0,,unavailable,,NetSales,,,False,False
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,53389812000.0,S100W32I,17500132000.0,45298813000.0,27798680000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3277803637892563,True,False
6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,99026000000.0,S100XTD8,33804000000.0,70173000000.0,36368000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.3413648940682245,True,False
6264,6264.T,"Marumae Co.,Ltd.",Machinery,25423446000.0,S100X6CU,3548182000.0,11403403000.0,7855220000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.1395633778363484,True,False
6920,6920.T,Lasertec Corporation,Electric Appliances,329601000000.0,S100WQ7F,148256000000.0,251477000000.0,103220000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.44980446054471923,True,False
5985,5985.T,SUNCALL CORPORATION,Metal Products,63203000000.0,S100W3K3,9676000000.0,63940000000.0,54263000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.15309399870259324,True,False
2153,2153.T,E・J Holdings Inc.,Services,52011000000.0,S100WLJ8,14252000000.0,2226000000.0,,direct_gross_profit,GrossProfit,NetSales,,0.2740189575282152,True,False
