code,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag
1301,S100W543,38819000000.0,302681000000.0,263861000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1332,S100W2X5,139250000000.0,886126000000.0,746875000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1333,S100W172,145598000000.0,1078631000000.0,933033000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1375,S100W4PR,13651000000.0,37102000000.0,39487000000.0,direct_gross_profit,GrossProfitIFRS,RevenueIFRS,CostOfSalesIFRS
1376,S100WL4U,9536545000.0,64508666000.0,54972120000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1377,S100WKSN,58486000000.0,92920000000.0,34434000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1379,S100W0ZY,23760000000.0,83104000000.0,59344000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1380,S100W98M,1908089000.0,7957457000.0,6049367000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1381,S100WPSG,6663000000.0,26426000000.0,19762000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1382,S100WPAF,550075000.0,2412711000.0,1862636000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1383,S100XHX5,1716991000.0,7303461000.0,5586470000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1384,S100W83V,3809000000.0,19397000000.0,15588000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1401,S100WLH6,1490049000.0,4713002000.0,3222952000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1407,S100X68L,16292000000.0,47250000000.0,30958000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1414,S100WQS8,26503000000.0,90712000000.0,64208000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1417,S100VZQA,84851000000.0,578599000000.0,493748000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1418,S100Y600,3641039000.0,16336273000.0,12695233000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1419,S100WL4I,51105000000.0,200817000000.0,149711000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1420,S100W59G,9235699000.0,45518339000.0,36282640000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1429,S100XUQB,7738522000.0,33670846000.0,25932324000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1430,S100WLC9,4197572000.0,43194307000.0,38996735000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1431,S100WQNU,4390806000.0,16004726000.0,11613919000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1433,S100XZ7G,2237610000.0,11140386000.0,8902775000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1434,S100X6GM,3141134000.0,19067640000.0,15926506000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1435,S100XSYD,5646708000.0,24068206000.0,18421497000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1436,S100WEBB,2802874000.0,11616630000.0,8813755000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1438,S100XCY4,1800159000.0,6271357000.0,4471198000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1443,S100W3WQ,1297563000.0,4906441000.0,3608878000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1444,S100WX6F,1313925000.0,5279959000.0,3966033000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1446,S100XBZH,5013437000.0,13860556000.0,8847118000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1447,S100W8I9,7163256000.0,28855658000.0,21692401000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1450,S100W14I,3310153000.0,12286088000.0,8975934000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
1491,S100W768,3925129000.0,162345165000.0,158420035000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales
