code,ticker,company_name,market,sector,is_financial_excluded,is_common_stock,has_price,has_fundamentals,universe_inclusion_status,exclusion_reason
9022,9022.T,Central Japan Railway Company,Prime Market (Domestic),Land Transportation,False,True,True,True,included,
7181,7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Prime Market (Domestic),Insurance,True,True,True,True,excluded,financial_sector_excluded;missing_value_metrics
7267,7267.T,"HONDA MOTOR CO.,LTD.",Prime Market (Domestic),Transportation Equipment,False,True,True,False,excluded,missing_basic_fundamentals;missing_value_metrics
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),Electric Power and Gas,False,True,True,True,included,
3449,3449.T,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,False,True,True,True,included,
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,False,True,True,True,included,
6777,6777.T,santec Holdings Corporation,Standard Market(Domestic),Electric Appliances,False,True,True,True,included,
6627,6627.T,"Tera Probe,Inc.",Standard Market(Domestic),Electric Appliances,False,True,True,True,included,
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),Electric Appliances,False,True,True,True,included,
6387,6387.T,SAMCO INC.,Prime Market (Domestic),Machinery,False,True,True,True,included,
5076,5076.T,INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,False,True,True,True,included,
8473,8473.T,"SBI Holdings,Inc.",Prime Market (Domestic),Securities and Commodities Futures,True,True,True,False,excluded,financial_sector_excluded;missing_basic_fundamentals;missing_value_metrics
6800,6800.T,"YOKOWO CO.,LTD.",Prime Market (Domestic),Electric Appliances,False,True,True,True,included,
9513,9513.T,"Electric Power Development Co.,Ltd.",Prime Market (Domestic),Electric Power and Gas,False,True,True,True,included,
8309,8309.T,"Sumitomo Mitsui Trust Group,Inc.",Prime Market (Domestic),Banks,True,True,True,True,excluded,financial_sector_excluded;missing_value_metrics
8050,8050.T,SEIKO GROUP CORPORATION,Prime Market (Domestic),Precision Instruments,False,True,True,True,included,
5411,5411.T,"JFE Holdings,Inc.",Prime Market (Domestic),Iron and Steel,False,True,True,False,excluded,missing_basic_fundamentals;missing_value_metrics
9984,9984.T,SoftBank Group Corp.,Prime Market (Domestic),Information & Communication,False,True,True,False,excluded,missing_basic_fundamentals;missing_value_metrics
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Prime Market (Domestic),Electric Appliances,False,True,True,True,included,
6356,6356.T,"NIPPON GEAR CO.,LTD.",Standard Market(Domestic),Machinery,False,True,True,True,included,
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),Machinery,False,True,True,True,included,
4971,4971.T,MEC COMPANY LTD.,Prime Market (Domestic),Chemicals,False,True,True,True,included,
6278,6278.T,UNION TOOL CO.,Prime Market (Domestic),Machinery,False,True,True,True,included,
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,False,True,True,True,included,
