code,F_ROA,F_CFO,F_DROA,F_ACCRUAL,F_DMARGIN,F_DTURN,F_DLEVER,F_DLIQUID,EQ_OFFER,available_signal_score,available_signal_count,available_signal_max,implemented_signals,missing_signals,reason_for_missing,score_label
1301,1,1,1,0,,1,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1332,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1333,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1376,1,1,1,0,,1,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1377,1,1,0,0,,1,1,,,4.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1379,1,1,1,1,,1,0,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1380,1,1,0,1,,1,0,,,4.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1381,1,1,1,1,,0,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1382,1,1,1,0,,1,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1383,1,1,1,1,,0,0,,,4.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1384,1,1,1,1,,0,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1401,1,1,1,1,,0,0,,,4.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1407,1,1,0,0,,0,0,,,2.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1414,1,1,1,0,,1,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1417,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1418,1,1,1,1,,0,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1419,1,1,0,1,,0,0,,,3.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1420,1,0,0,0,,0,0,,,1.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1429,1,1,0,0,,1,1,,,4.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1430,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1431,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1433,1,1,1,1,,1,1,,,6.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
1434,1,1,1,0,,1,1,,,5.0,6,6,F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DTURN;F_DLEVER,F_DMARGIN;F_DLIQUID;EQ_OFFER,"gross margin, current ratio, and equity issuance inputs unavailable",Piotroski available signal score
