code,company_name,price,target_amount,shares,investment_amount,weight,role,allocation_note
7544,"Three F Co.,Ltd.",553.0,250000.0,400,221200.0,0.04424,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
3317,"FLYING GARDEN CO.,LTD.",1365.0,250000.0,200,273000.0,0.0546,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
3539,"JM HOLDINGS CO.,LTD.",1248.0,250000.0,200,249600.0,0.04992,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",514.0,250000.0,400,205600.0,0.04112,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
3352,"BUFFALO CO.,LTD.",1700.0,250000.0,200,340000.0,0.068,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
4925,"HABA LABORATORIES,INC.",1705.0,250000.0,200,341000.0,0.0682,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
9990,SAC'S BAR HOLDINGS INC.,712.0,250000.0,300,213600.0,0.04272,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
7120,SHINKO Inc.,1004.0,250000.0,300,301200.0,0.06024,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
8278,"FUJI CO.,LTD.",1927.0,250000.0,200,385400.0,0.07708,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
7614,"OM2Network Co.,Ltd.",1541.0,250000.0,200,308200.0,0.06164,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
9993,"YAMAZAWA CO.,LTD.",1156.0,250000.0,200,231200.0,0.04624,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
9890,"MAKIYA CO.,LTD.",1459.0,250000.0,200,291800.0,0.05836,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
8167,"RETAIL PARTNERS CO.,LTD.",1260.0,250000.0,100,126000.0,0.0252,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
7791,"DREAMBED CO.,LTD.",784.0,250000.0,300,235200.0,0.04704,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
7034,"Prored Partners CO.,LTD.",380.0,250000.0,600,228000.0,0.0456,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
2907,"AHJIKAN CO.,LTD.",1362.0,250000.0,100,136200.0,0.02724,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
8276,"HEIWADO CO.,LTD.",2500.0,250000.0,100,250000.0,0.05,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
3172,"Tea Life Co.,Ltd.",1148.0,250000.0,200,229600.0,0.04592,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
6430,"DAIKOKU DENKI CO.,LTD.",2085.0,250000.0,100,208500.0,0.0417,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
2499,"NIHONWASOU HOLDINGS,INC.",279.0,250000.0,800,223200.0,0.04464,Phase1 Buffett Proxy,Equal amount target with 100-share lot greedy cash minimization and 8% cap.
