sector,count
Information & Communication,499
Services,448
Retail Trade,296
Wholesale Trade,264
Electric Appliances,190
Machinery,188
Chemicals,185
Construction,134
Real Estate,123
Foods,107
Other Products,98
Metal Products,82
Transportation Equipment,66
Land Transportation,54
Pharmaceutical,47
Glass and Ceramics Products,44
Textiles and Apparels,41
Precision Instruments,38
Iron and Steel,35
Warehousing and Harbor Transportation Service,31
Nonferrous Metals,29
Electric Power and Gas,26
Pulp and Paper,24
Rubber Products,12
Marine Transportation,11
"Fishery, Agriculture and Forestry",11
Oil and Coal Products,8
Mining,4
Air Transportation,4
