code,ticker,company_name,sector_33,market,close,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,F_ROA,F_CFO,F_DROA,F_ACCRUAL,F_DTURN,F_DLEVER,piotroski_available_signal_score,available_signal_count,sloan_accruals,sloan_accruals_winsorized,value_pass,quality_pass,earnings_quality_pass,distress_pass,phase1_revised_candidate,bm_rank,ep_rank,market_cap_sort,rank,final_weight,investment_amount_yen,round_lot,shares_to_buy,actual_investment_yen
1972,1972.T,"SANKO METAL INDUSTRIAL CO.,LTD.",Construction,Standard Market(Domestic),1197.0,Construction,4615153200.0,close_times_edinet_shares_outstanding,27103000000.0,2941000000.0,,,5.872611119388193,book_equity_over_market_equity,0.6372486183123889,net_income_over_market_equity,4.561669803968577,0.4713793788347592,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.015246779669326273,-0.015246779669326273,True,True,True,True,True,6.5,4.0,4615153200.0,1,0.05,250000,100,200,239400.0
6772,6772.T,"Tokyo Cosmos Electric Co.,Ltd.",Electric Appliances,Standard Market(Domestic),1208.0,Electric Appliances,1632914000.0,close_times_edinet_shares_outstanding,7575524000.0,841521000.0,,,4.639266979155057,book_equity_over_market_equity,0.5153492468066291,net_income_over_market_equity,4.561669803968577,0.4713793788347592,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.029306989635818133,-0.029306989635818133,True,True,True,True,True,6.5,4.0,1632914000.0,2,0.05,250000,100,200,241600.0
4914,4914.T,TAKASAGO INTERNATIONAL CORPORATION,Chemicals,Prime Market (Domestic),1093.0,Chemicals,21303113221.0,close_times_edinet_shares_outstanding,146394000000.0,13651000000.0,,,6.871953337584902,book_equity_over_market_equity,0.6407983593000498,net_income_over_market_equity,4.561669803968577,0.4713793788347592,True,True,B_price_times_shares,,1,1,1,1,1,0,5,6,-0.01949067620185108,-0.01949067620185108,True,True,True,True,True,6.5,4.0,21303113221.0,3,0.05,250000,100,200,218600.0
8046,8046.T,"MARUFUJI SHEET PILING CO.,LTD.",Wholesale Trade,Standard Market(Domestic),828.0,Wholesale Trade,2963412000.0,close_times_edinet_shares_outstanding,30926000000.0,1534000000.0,,,10.435943432772763,book_equity_over_market_equity,0.5176465506652467,net_income_over_market_equity,4.561669803968577,0.4713793788347592,True,True,B_price_times_shares,,1,1,1,0,1,1,5,6,0.001992807568087592,0.001992807568087592,True,True,True,True,True,6.5,4.0,2963412000.0,4,0.05,250000,100,300,248400.0
1798,1798.T,MORIYA CORPORATION,Construction,Standard Market(Domestic),986.0,Construction,2146029000.0,close_times_edinet_shares_outstanding,15940610000.0,1651794000.0,,,7.427956472163237,book_equity_over_market_equity,0.7696978931785171,net_income_over_market_equity,4.561669803968577,0.4713793788347592,True,True,B_price_times_shares,,1,1,0,1,1,0,4,6,-0.043995563723370996,-0.043995563723370996,True,True,True,True,True,6.5,4.0,2146029000.0,5,0.05,250000,100,200,197200.0
4635,4635.T,"TOKYO PRINTING INK MFG.CO.,LTD.",Chemicals,Standard Market(Domestic),1225.0,Chemicals,3188868550.0,close_times_edinet_shares_outstanding,29831000000.0,1460000000.0,,,9.354728654462726,book_equity_over_market_equity,0.457842641397056,net_income_over_market_equity,4.561669803968577,0.457842641397056,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.015876396445236113,-0.015876396445236113,True,True,True,True,True,6.5,9.0,3188868550.0,6,0.05,250000,100,200,245000.0
4976,4976.T,"TOYO DRILUBE CO.,LTD.",Chemicals,Standard Market(Domestic),1316.0,Chemicals,1742515600.0,close_times_edinet_shares_outstanding,10372294000.0,707292000.0,,,5.952482720958137,book_equity_over_market_equity,0.4059028223334127,net_income_over_market_equity,4.561669803968577,0.4059028223334127,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.018911854717108104,-0.018911854717108104,True,True,True,True,True,6.5,11.0,1742515600.0,7,0.05,250000,100,100,131600.0
8219,8219.T,"AOYAMA TRADING Co.,Ltd.",Retail Trade,Prime Market (Domestic),676.0,Retail Trade,33078583616.0,close_times_edinet_shares_outstanding,190317000000.0,9397000000.0,,,5.753480929211984,book_equity_over_market_equity,0.2840810873006879,net_income_over_market_equity,4.561669803968577,0.2840810873006879,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.013415881627092313,-0.013415881627092313,True,True,True,True,True,6.5,23.0,33078583616.0,8,0.05,250000,100,300,202800.0
7214,7214.T,GMB CORPORATION,Transportation Equipment,Standard Market(Domestic),940.0,Transportation Equipment,4989981540.0,close_times_edinet_shares_outstanding,33980439000.0,1256646000.0,,,6.809732406344733,book_equity_over_market_equity,0.2518337973651101,net_income_over_market_equity,4.561669803968577,0.2518337973651101,True,True,B_price_times_shares,,1,1,1,1,1,0,5,6,-0.04815947419782177,-0.04815947419782177,True,True,True,True,True,6.5,29.0,4989981540.0,9,0.05,250000,100,200,188000.0
7898,7898.T,"WOOD ONE CO.,LTD.",Other Products,Standard Market(Domestic),866.0,Other Products,8061567154.0,close_times_edinet_shares_outstanding,45614000000.0,1864000000.0,,,5.658205052272892,book_equity_over_market_equity,0.2312205510903817,net_income_over_market_equity,4.561669803968577,0.2312205510903817,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.020778965957029334,-0.020778965957029334,True,True,True,True,True,6.5,40.0,8061567154.0,10,0.05,250000,100,200,173200.0
7215,7215.T,"FALTEC Co.,Ltd.",Transportation Equipment,Standard Market(Domestic),453.0,Transportation Equipment,4248188700.0,close_times_edinet_shares_outstanding,21435000000.0,556000000.0,,,5.045679821143538,book_equity_over_market_equity,0.1308793086333476,net_income_over_market_equity,4.561669803968577,0.1308793086333476,True,True,B_price_times_shares,,1,1,1,1,0,1,5,6,-0.0535960436660112,-0.0535960436660112,True,True,True,True,True,6.5,131.0,4248188700.0,11,0.05,250000,100,500,226500.0
5491,5491.T,"NIPPON KINZOKU CO.,LTD.",Iron and Steel,Standard Market(Domestic),905.0,Iron and Steel,6058160500.0,close_times_edinet_shares_outstanding,27856000000.0,703000000.0,,,4.598095411965398,book_equity_over_market_equity,0.1160418249070819,net_income_over_market_equity,4.561669803968577,0.1160418249070819,True,True,B_price_times_shares,,1,1,0,1,1,1,5,6,-0.006980176849539943,-0.006980176849539943,True,True,True,True,True,6.5,179.0,6058160500.0,12,0.05,250000,100,200,181000.0
5603,5603.T,KOGI CORPORATION,Iron and Steel,Standard Market(Domestic),1210.0,Iron and Steel,3956534230.0,close_times_edinet_shares_outstanding,18048000000.0,873000000.0,,,4.561568016561808,book_equity_over_market_equity,0.2206476550564305,net_income_over_market_equity,4.561568016561808,0.2206476550564305,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.11409016429099662,-0.11409016429099662,True,True,True,True,True,13.0,45.0,3956534230.0,13,0.05,250000,100,200,242000.0
6463,6463.T,"TPR CO.,LTD.",Machinery,Prime Market (Domestic),1377.0,Machinery,45855613323.0,close_times_edinet_shares_outstanding,198635000000.0,11516000000.0,,,4.331748843938584,book_equity_over_market_equity,0.2511361023324023,net_income_over_market_equity,4.331748843938584,0.2511361023324023,True,True,B_price_times_shares,,1,1,1,1,0,1,5,6,-0.034919393801781995,-0.034919393801781995,True,True,True,True,True,14.0,30.0,45855613323.0,14,0.05,250000,100,100,137700.0
1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",Prime Market (Domestic),1258.5,"Fishery, Agriculture and Forestry",63594946114.5,close_times_edinet_shares_outstanding,275396000000.0,29825000000.0,,,4.33046990092831,book_equity_over_market_equity,0.4689838080262125,net_income_over_market_equity,4.33046990092831,0.4689838080262125,True,True,B_price_times_shares,,1,1,1,1,1,1,6,6,-0.013826928364271714,-0.013826928364271714,True,True,True,True,True,15.0,8.0,63594946114.5,15,0.05,250000,100,100,125850.0
3708,3708.T,"Tokushu Tokai Paper Co.,Ltd.",Pulp and Paper,Prime Market (Domestic),1743.0,Pulp and Paper,20247385200.0,close_times_edinet_shares_outstanding,85834000000.0,3927000000.0,,,4.239263448200709,book_equity_over_market_equity,0.1939509700245145,net_income_over_market_equity,4.239263448200709,0.1939509700245145,True,True,B_price_times_shares,,1,1,0,1,1,0,4,6,-0.03416477489037097,-0.03416477489037097,True,True,True,True,True,16.0,64.0,20247385200.0,16,0.05,250000,100,100,174300.0
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,Prime Market (Domestic),558.9000244140625,Electric Power and Gas,895750242304.0,raw_market_cap,3786130000000.0,161846000000.0,0.26426095,2.6368184,4.226769719047491,book_equity_over_market_equity,0.1806820610884888,net_income_over_market_equity,4.226769719047491,0.1806820610884888,True,True,A_raw_market_cap,,1,1,0,1,1,1,5,6,-0.009385560067104334,-0.009385560067104334,True,True,True,True,True,17.0,71.0,895750242304.0,17,0.05,250000,100,400,223560.009765625
3944,3944.T,"Furubayashi Shiko Co.,Ltd.",Pulp and Paper,Standard Market(Domestic),2341.0,Pulp and Paper,2597152220.0,close_times_edinet_shares_outstanding,10825431000.0,407776000.0,,,4.168192729188588,book_equity_over_market_equity,0.1570088949195284,net_income_over_market_equity,4.168192729188588,0.1570088949195284,True,True,B_price_times_shares,,1,1,1,1,0,1,5,6,-0.03176987939369097,-0.03176987939369097,True,True,True,True,True,18.0,94.0,2597152220.0,18,0.05,250000,100,100,234100.0
9083,9083.T,"Shinki Bus Co.,Ltd.",Land Transportation,Standard Market(Domestic),1980.0,Land Transportation,11941578000.0,close_times_edinet_shares_outstanding,49463000000.0,2471000000.0,,,4.1420823948057786,book_equity_over_market_equity,0.2069240765332688,net_income_over_market_equity,4.1420823948057786,0.2069240765332688,True,True,B_price_times_shares,,1,1,1,1,1,0,5,6,-0.03330449826989619,-0.03330449826989619,True,True,True,True,True,19.0,53.0,11941578000.0,19,0.05,250000,100,100,198000.0
1515,1515.T,"Nittetsu Mining Co.,Ltd.",Mining,Prime Market (Domestic),2412.0,Mining,37996810056.0,close_times_edinet_shares_outstanding,151971000000.0,9592000000.0,,,3.9995725898048793,book_equity_over_market_equity,0.2524422441216311,net_income_over_market_equity,3.9995725898048793,0.2524422441216311,True,True,B_price_times_shares,,1,1,1,1,1,0,5,6,-0.034575396588867414,-0.034575396588867414,True,True,True,True,True,20.0,28.0,37996810056.0,20,0.05,250000,100,100,241200.0
