original_code,normalized_code,ticker_yfinance,company_name,sector,market,source_file,mapping_status
9022,9022,9022.T,Central Japan Railway Company,Land Transportation,Prime Market (Domestic),data/processed/scores.csv,ok
7181,7181,7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,Prime Market (Domestic),data/processed/scores.csv,ok
7267,7267,7267.T,"HONDA MOTOR CO.,LTD.",Transportation Equipment,Prime Market (Domestic),data/processed/scores.csv,ok
9501,9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,Prime Market (Domestic),data/processed/scores.csv,ok
3449,3449,3449.T,TECHNOFLEX CORPORATION,Metal Products,Standard Market(Domestic),data/processed/scores.csv,ok
6178,6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Services,Prime Market (Domestic),data/processed/scores.csv,ok
6777,6777,6777.T,santec Holdings Corporation,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6627,6627,6627.T,"Tera Probe,Inc.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6524,6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6387,6387,6387.T,SAMCO INC.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
5076,5076,5076.T,INFRONEER Holdings Inc.,Construction,Prime Market (Domestic),data/processed/scores.csv,ok
8473,8473,8473.T,"SBI Holdings,Inc.",Securities and Commodities Futures,Prime Market (Domestic),data/processed/scores.csv,ok
6800,6800,6800.T,"YOKOWO CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
9513,9513,9513.T,"Electric Power Development Co.,Ltd.",Electric Power and Gas,Prime Market (Domestic),data/processed/scores.csv,ok
8309,8309,8309.T,"Sumitomo Mitsui Trust Group,Inc.",Banks,Prime Market (Domestic),data/processed/scores.csv,ok
8050,8050,8050.T,SEIKO GROUP CORPORATION,Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
5411,5411,5411.T,"JFE Holdings,Inc.",Iron and Steel,Prime Market (Domestic),data/processed/scores.csv,ok
9984,9984,9984.T,SoftBank Group Corp.,Information & Communication,Prime Market (Domestic),data/processed/scores.csv,ok
6617,6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6356,6356,6356.T,"NIPPON GEAR CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
1909,1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
4971,4971,4971.T,MEC COMPANY LTD.,Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6278,6278,6278.T,UNION TOOL CO.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
9503,9503,9503.T,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,Prime Market (Domestic),data/processed/scores.csv,ok
6941,6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
5857,5857,5857.T,"ARE Holdings,Inc.",Nonferrous Metals,Prime Market (Domestic),data/processed/scores.csv,ok
6871,6871,6871.T,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6264,6264,6264.T,"Marumae Co.,Ltd.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6920,6920,6920.T,Lasertec Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
5985,5985,5985.T,SUNCALL CORPORATION,Metal Products,Standard Market(Domestic),data/processed/scores.csv,ok
2153,2153,2153.T,E・J Holdings Inc.,Services,Prime Market (Domestic),data/processed/scores.csv,ok
6648,6648,6648.T,KAWADEN CORPORATION,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6327,6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
4368,4368,4368.T,"FUSO CHEMICAL CO.,LTD.",Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6745,6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
9502,9502,9502.T,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,Prime Market (Domestic),data/processed/scores.csv,ok
6695,6695,6695.T,"Castrico Co.,Ltd.",Electric Appliances,PRO Market,data/processed/scores.csv,ok
6527,6527,6527.T,"WAKA MANUFACTURING CO.,LTD.",Electric Appliances,PRO Market,data/processed/scores.csv,ok
1662,1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,Prime Market (Domestic),data/processed/scores.csv,ok
6817,6817,6817.T,SUMIDA CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6994,6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
9432,9432,9432.T,"NTT,Inc.",Information & Communication,Prime Market (Domestic),data/processed/scores.csv,ok
6834,6834,6834.T,"SEIKOH GIKEN Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6981,6981,6981.T,"Murata Manufacturing Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
7762,7762,7762.T,"Citizen Watch Co.,Ltd.",Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
6101,6101,6101.T,TSUGAMI CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6492,6492,6492.T,OKANO VALVE MFG.CO.LTD.,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6914,6914,6914.T,"OPTEX GROUP Company,Limited",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
7999,7999,7999.T,"MUTOH HOLDINGS CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6741,6741,6741.T,"Nippon Signal Company,Limited",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
