code,company_name,sector,bm_raw,ep_raw,market_equity_final,anomaly_flags
6675,"SAXA,Inc.",Electric Appliances,2.7866595192696706,0.6279132683518839,11039741234.0,extreme_high_ep_top1pct
4976,"TOYO DRILUBE CO.,LTD.",Chemicals,5.952482720958137,0.4059028223334127,1742515600.0,extreme_high_bm_top1pct
6217,TSUDAKOMA Corp.,Machinery,,,8808300445.0,book_equity_market_equity_scale_check
6513,"Origin Company,Limited",Electric Appliances,4.562416244951553,0.0852951776008086,5675092234.0,extreme_high_bm_top1pct
6772,"Tokyo Cosmos Electric Co.,Ltd.",Electric Appliances,4.639266979155057,0.5153492468066291,1632914000.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct
4119,Nippon Pigment Holdings Company Limited,Chemicals,2.4998928214959824,0.5822166854545188,8632794500.0,extreme_high_ep_top1pct
4635,"TOKYO PRINTING INK MFG.CO.,LTD.",Chemicals,9.354728654462726,0.457842641397056,3188868550.0,extreme_high_bm_top1pct
4008,"Sumitomo Seika Chemicals Company,Limited.",Chemicals,5.6570385109242745,0.3575537213039655,16671620640.0,extreme_high_bm_top1pct
4116,"Dainichiseika Color & Chemicals Mfg.Co.,Ltd.",Chemicals,7.553085315367375,0.762965973372359,17277310470.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct
7034,"Prored Partners CO.,LTD.",Services,2.86284908454678,1.1281499698604336,4154008000.0,extreme_high_ep_top1pct
7771,"Nihon Seimitsu Co.,Ltd.",Precision Instruments,,,7511752259.0,book_equity_market_equity_scale_check
5729,"NIHON SEIKO CO.,LTD",Nonferrous Metals,3.157979799669256,0.6499922511622728,3778631200.0,extreme_high_ep_top1pct
7256,"KASAI KOGYO CO.,LTD.",Transportation Equipment,,,14296221504.0,book_equity_market_equity_scale_check
6059,"UCHIYAMA HOLDINGS Co.,Ltd.",Services,2.1093866531046976,0.5130007946447758,6751821900.0,extreme_high_ep_top1pct
3443,"KAWADA TECHNOLOGIES,INC.",Metal Products,4.521292353321165,0.5508857668643782,20252837650.0,extreme_high_ep_top1pct
6664,"OPTOELECTRONICS CO.,LTD.",Electric Appliances,1.4051182322243967,0.5748374646662318,3679200000.0,extreme_high_ep_top1pct
4914,TAKASAGO INTERNATIONAL CORPORATION,Chemicals,6.871953337584902,0.6407983593000498,21303113221.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct
8046,"MARUFUJI SHEET PILING CO.,LTD.",Wholesale Trade,10.435943432772763,0.5176465506652467,2963412000.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct;book_equity_market_equity_scale_check
3798,"ULS Group,Inc.",Information & Communication,3.635223515424532,0.5880049488161639,2882628800.0,extreme_high_ep_top1pct
8006,"YUASA FUNASHOKU Co.,Ltd.",Wholesale Trade,5.807256622068278,0.3041755630841665,6769117082.0,extreme_high_bm_top1pct
6740,Japan Display Inc.,Electric Appliances,,,209541251072.0,book_equity_market_equity_scale_check
1798,MORIYA CORPORATION,Construction,7.427956472163237,0.7696978931785171,2146029000.0,extreme_high_bm_top1pct;extreme_high_ep_top1pct
7777,"3-D Matrix,Ltd.",Precision Instruments,,,43563505488.0,book_equity_market_equity_scale_check
7887,"NANKAI PLYWOOD CO.,LTD.",Other Products,16.160700938157447,,1513920720.0,extreme_high_bm_top1pct;book_equity_market_equity_scale_check
5445,"TOKYO TEKKO CO.,LTD.",Iron and Steel,3.8043713735119606,0.7048341316825955,15695891420.0,extreme_high_ep_top1pct
6753,Sharp Corporation,Electric Appliances,,,408928967066.3778,book_equity_market_equity_scale_check
4404,"Miyoshi Oil & Fat Co.,Ltd.",Foods,2.210393923453058,0.5019902397868293,19305156220.0,extreme_high_ep_top1pct
5451,"YODOKO,Ltd.",Iron and Steel,6.088685152290662,0.4253475291401267,35331109200.0,extreme_high_bm_top1pct
