variable,found_direct_or_named_column,best_source_file,best_source_column,best_non_null_count,all_matches,derivation_or_note
total_assets,True,data/processed/fundamentals_raw.csv,total_assets,10712,data/processed/candidates_top80.csv:total_assets(80); data/processed/fundamentals_clean.csv:total_assets(3579); data/processed/fundamentals_raw.csv:total_assets(10712); data/processed/portfolio.csv:total_assets(20); data/processed/portfolio_before_v12.csv:total_assets(20); data/processed/portfolio_candidates.csv:total_assets(20); data/processed/scores.csv:total_assets(3579); outputs/phase1_final/gross_profitability_metrics.csv:total_assets(3099); outputs/phase1_final/sloan_accruals_final.csv:average_total_assets(3097),
total_liabilities,True,outputs/phase1_final/simple_distress_guardrail.csv,liabilities_to_assets_high,3099,outputs/phase1_final/simple_distress_guardrail.csv:current_liabilities_gt_current_assets(0); outputs/phase1_final/simple_distress_guardrail.csv:liabilities_to_assets_high(3099),
current_assets,True,,,0,outputs/phase1_final/simple_distress_guardrail.csv:current_liabilities_gt_current_assets(0),
current_liabilities,True,,,0,outputs/phase1_final/simple_distress_guardrail.csv:current_liabilities_gt_current_assets(0),
working_capital,False,,,0,,requires_current_assets_minus_current_liabilities
net_income,True,data/processed/fundamentals_raw.csv,net_income,10712,data/processed/candidates_top80.csv:net_income(80); data/processed/candidates_top80.csv:net_income_years_available(80); data/processed/financial_sector_exclusion_check.csv:net_income(150); data/processed/fundamentals_clean.csv:net_income(3579); data/processed/fundamentals_raw.csv:net_income(10712); data/processed/portfolio.csv:net_income(20); data/processed/portfolio.csv:net_income_years_available(20); data/processed/portfolio_before_v12.csv:net_income(20); data/processed/portfolio_before_v12.csv:net_income_years_available(20); data/processed/portfolio_candidates.csv:net_income(20); data/processed/portfolio_candidates.csv:net_income_years_available(20); data/processed/scores.csv:net_income(3579),
prior_year_net_income,True,data/processed/fundamentals_raw.csv,net_income,10712,data/processed/candidates_top80.csv:net_income(80); data/processed/candidates_top80.csv:net_income_years_available(80); data/processed/financial_sector_exclusion_check.csv:net_income(150); data/processed/fundamentals_clean.csv:net_income(3579); data/processed/fundamentals_raw.csv:net_income(10712); data/processed/portfolio.csv:net_income(20); data/processed/portfolio.csv:net_income_years_available(20); data/processed/portfolio_before_v12.csv:net_income(20); data/processed/portfolio_before_v12.csv:net_income_years_available(20); data/processed/portfolio_candidates.csv:net_income(20); data/processed/portfolio_candidates.csv:net_income_years_available(20); data/processed/scores.csv:net_income(3579),
two_years_ago_net_income,True,data/processed/fundamentals_raw.csv,net_income,10712,data/processed/candidates_top80.csv:net_income(80); data/processed/candidates_top80.csv:net_income_years_available(80); data/processed/financial_sector_exclusion_check.csv:net_income(150); data/processed/fundamentals_clean.csv:net_income(3579); data/processed/fundamentals_raw.csv:net_income(10712); data/processed/portfolio.csv:net_income(20); data/processed/portfolio.csv:net_income_years_available(20); data/processed/portfolio_before_v12.csv:net_income(20); data/processed/portfolio_before_v12.csv:net_income_years_available(20); data/processed/portfolio_candidates.csv:net_income(20); data/processed/portfolio_candidates.csv:net_income_years_available(20); data/processed/scores.csv:net_income(3579),
operating_cash_flow,True,data/processed/fundamentals_raw.csv,operating_cf,9908,data/processed/candidates_top80.csv:operating_cf(79); data/processed/candidates_top80.csv:operating_cf_years_available(80); data/processed/financial_sector_exclusion_check.csv:repeated_negative_operating_cf(151); data/processed/fundamentals_clean.csv:operating_cf(3325); data/processed/fundamentals_raw.csv:operating_cf(9908); data/processed/investment_eligibility_exclusions.csv:repeated_negative_operating_cf(597); data/processed/portfolio.csv:operating_cf(19); data/processed/portfolio.csv:operating_cf_years_available(20); data/processed/portfolio_before_v12.csv:operating_cf(19); data/processed/portfolio_before_v12.csv:operating_cf_years_available(20); data/processed/portfolio_candidates.csv:operating_cf(19); data/processed/portfolio_candidates.csv:operating_cf_years_available(20),
funds_from_operations,False,,,0,,
filing_date,True,data/processed/edinet_documents.csv,submit_date,10712,data/processed/edinet_documents.csv:submit_date(10712); data/processed/fundamentals_raw.csv:submit_date(10712),
fiscal_year_end,True,data/processed/edinet_documents.csv,period_end,10712,data/processed/edinet_documents.csv:period_end(10712); data/processed/fundamentals_raw.csv:period_end(10712),
retained_earnings,False,,,0,,
EBIT,True,data/processed/fundamentals_raw.csv,operating_income,10556,data/processed/candidates_top80.csv:operating_income(79); data/processed/candidates_top80.csv:operating_income_growth(78); data/processed/candidates_top80.csv:ebitda(22); data/processed/candidates_top80.csv:operating_income_years_available(80); data/processed/fundamentals_clean.csv:operating_income(3527); data/processed/fundamentals_clean.csv:operating_income_growth(3159); data/processed/fundamentals_clean.csv:ebitda(283); data/processed/fundamentals_raw.csv:operating_income(10556); data/processed/portfolio.csv:operating_income(19); data/processed/portfolio.csv:operating_income_growth(19); data/processed/portfolio.csv:ebitda(11); data/processed/portfolio.csv:operating_income_years_available(20),
market_value_of_equity,True,outputs/phase1_final/final20_anomaly_review.csv,market_equity_final,3099,data/processed/candidates_top80.csv:market_cap(23); data/processed/fundamentals_clean.csv:market_cap(300); data/processed/portfolio.csv:market_cap(12); data/processed/portfolio_before_v12.csv:market_cap(10); data/processed/portfolio_candidates.csv:market_cap(12); data/processed/scores.csv:market_cap(300); data/processed/yfinance_metrics.csv:market_cap(300); outputs/phase1_final/final20_anomaly_review.csv:market_equity_final(3099); outputs/phase1_final/phase1_final_candidates.csv:market_equity_final(3099); outputs/phase1_final/value_metrics_final.csv:market_equity_final(3099); outputs/phase1_buffett_complete/anomaly_review_complete.csv:market_equity_final(3099); outputs/phase1_buffett_complete/screening_candidates_complete.csv:market_equity_final(3099),
sales,True,data/processed/fundamentals_raw.csv,revenue,10377,data/processed/candidates_top80.csv:revenue(79); data/processed/candidates_top80.csv:revenue_growth(79); data/processed/fundamentals_clean.csv:revenue(3468); data/processed/fundamentals_clean.csv:revenue_growth(3463); data/processed/fundamentals_raw.csv:revenue(10377); data/processed/portfolio.csv:revenue(19); data/processed/portfolio.csv:revenue_growth(19); data/processed/portfolio_before_v12.csv:revenue(19); data/processed/portfolio_before_v12.csv:revenue_growth(19); data/processed/portfolio_candidates.csv:revenue(19); data/processed/portfolio_candidates.csv:revenue_growth(19); data/processed/scores.csv:revenue(3468),
