code,company_name,total_assets,total_liabilities_proxy,equity,net_income,prior_year_net_income,two_years_ago_net_income,operating_cf,oeneg,intwo,chin,ffo_to_tl_proxy_ocf,submit_date,period_end,original_formula_status,reason,ohlson_o_score_original
9022,Central Japan Railway Company,10640544000000.0,5981994000000.0,4658550000000.0,464391000000.0,388761000000.0,222098000000.0,624550000000.0,False,False,0.08864774389557781,0.10440498602974192,2025-06-24 12:54,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
9501,"Tokyo Electric Power Company Holdings,Incorporated",21346787000000.0,17560657000000.0,3786130000000.0,161846000000.0,269607000000.0,193797000000.0,361249000000.0,False,False,-0.24976301010770582,0.020571496840921157,2025-06-25 14:44,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
3449,TECHNOFLEX CORPORATION,38995023000.0,13307006000.0,25688017000.0,3123183000.0,1313086000.0,1341435000.0,5219019000.0,False,False,0.4080223719526476,0.3922008451788479,2026-03-26 15:10,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6178,"JAPAN POST HOLDINGS Co.,Ltd.",304492161000000.0,289202621000000.0,15289540000000.0,599405000000.0,447460000000.0,520687000000.0,2794869000000.0,False,False,0.1451428789767544,0.009664051419506325,2025-06-19 15:30,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6777,santec Holdings Corporation,29527373000.0,8099162000.0,21428211000.0,5067844000.0,3851491000.0,3001874000.0,6001678000.0,False,False,0.1363726107383566,0.741024565257492,2025-06-19 15:00,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6627,"Tera Probe,Inc.",100572987000.0,40644298000.0,59928689000.0,6952842000.0,6157652000.0,6646508000.0,20140044000.0,False,False,0.06065293954598507,0.49551954372542,2026-03-25 16:29,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6524,"KOHOKU KOGYO CO.,LTD.",28319000000.0,4878000000.0,23441000000.0,2992000000.0,3252000000.0,2217000000.0,3343000000.0,False,False,-0.04163997437540039,0.6853218532185322,2026-03-26 09:27,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6387,SAMCO INC.,17774224000.0,4215549000.0,13558675000.0,1697328000.0,1471991000.0,1366127000.0,1206003000.0,False,False,0.07109950118621698,0.28608444594049315,2025-10-20 11:22,2025-07-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
5076,INFRONEER Holdings Inc.,743710000000.0,376807000000.0,366903000000.0,9963000000.0,29561000000.0,36821000000.0,,False,False,-0.495850622406639,,2025-06-23 10:00,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6800,"YOKOWO CO.,LTD.",76278000000.0,24248000000.0,52030000000.0,2240000000.0,1513000000.0,3153000000.0,7239000000.0,False,False,0.19371169730881962,0.2985400857802705,2025-06-24 15:13,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
9513,"Electric Power Development Co.,Ltd.",3931480000000.0,2467978000000.0,1463502000000.0,102530000000.0,84695000000.0,118993000000.0,250335000000.0,False,False,0.09525971424756309,0.10143323805965855,2025-06-25 17:10,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
8050,SEIKO GROUP CORPORATION,369236000000.0,211222000000.0,158014000000.0,13508000000.0,10338000000.0,5295000000.0,32609000000.0,False,False,0.13293634152478404,0.154382592722349,2025-06-26 12:20,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6617,"TAKAOKA TOKO CO.,LTD.",113652000000.0,47196000000.0,66456000000.0,4280000000.0,5584000000.0,3476000000.0,5039000000.0,False,False,-0.1321978913219789,0.10676752267141283,2025-06-26 15:11,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6356,"NIPPON GEAR CO.,LTD.",15233746000.0,2672166000.0,12561580000.0,1550400000.0,1539465000.0,685130000.0,1289921000.0,False,False,0.0035389895675053767,0.48272487562524186,2025-06-24 13:02,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
1909,"Nippon Dry-Chemical CO.,LTD.",50939579000.0,20421722000.0,30517857000.0,4204018000.0,3575518000.0,2846950000.0,8942669000.0,False,False,0.08078887995376588,0.4378998499734743,2025-06-25 15:49,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
4971,MEC COMPANY LTD.,41814028000.0,11341960000.0,30472068000.0,5766868000.0,3497858000.0,2304947000.0,3979322000.0,False,False,0.24490848407173618,0.3508495886072601,2026-03-23 16:00,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6278,UNION TOOL CO.,98070000000.0,18072000000.0,79998000000.0,6114000000.0,5283000000.0,3723000000.0,7507000000.0,False,False,0.0729139247170308,0.4153939796370075,2026-03-24 16:00,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
9503,"The Kansai Electric Power Company,Incorporated",12563154000000.0,9455702000000.0,3107452000000.0,451137000000.0,448440000000.0,33564000000.0,575299000000.0,False,False,0.002998075762274936,0.06084149014002345,2025-06-25 09:02,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6941,"YAMAICHI ELECTRONICS CO.,LTD.",53389812000.0,13713311000.0,39676501000.0,5240971000.0,3421796000.0,7212455000.0,9005984000.0,False,False,0.20999929930009661,0.656733009263773,2025-06-25 14:47,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6871,"MICRONICS JAPAN CO.,LTD.",99026000000.0,32974000000.0,66052000000.0,12063000000.0,8811000000.0,4127000000.0,12903000000.0,False,False,0.15579189422247772,0.3913083035118578,2026-03-25 11:42,2025-12-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6264,"Marumae Co.,Ltd.",25423446000.0,17271927000.0,8151519000.0,1355987000.0,19593000.0,706580000.0,3058988000.0,False,False,0.9715131071984181,0.1771075109337829,2025-11-25 09:00,2025-08-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6920,Lasertec Corporation,329601000000.0,119701000000.0,209900000000.0,84652000000.0,59076000000.0,46164000000.0,77874000000.0,False,False,0.17794723366358678,0.6505710060901747,2025-09-25 15:48,2025-06-30,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
5985,SUNCALL CORPORATION,63203000000.0,36611000000.0,26592000000.0,-2285000000.0,-11816000000.0,979000000.0,654000000.0,False,True,0.6759095099638324,0.01786348365245418,2025-06-25 15:07,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
2153,E・J Holdings Inc.,52011000000.0,17958000000.0,34053000000.0,3203000000.0,3032000000.0,3059000000.0,4135000000.0,False,False,0.027425821972734563,0.23025949437576568,2025-08-27 10:49,2025-05-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6648,KAWADEN CORPORATION,25429497000.0,7685196000.0,17744301000.0,1963138000.0,744398000.0,320394000.0,1537818000.0,False,False,0.4501288256185698,0.20010133768872,2025-06-25 14:33,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
6327,"KITAGAWA SEIKI CO.,LTD.",8591249000.0,3513639000.0,5077610000.0,394688000.0,632985000.0,702947000.0,323369000.0,False,False,-0.23188017978481482,0.09203250533136728,2025-09-26 09:09,2025-06-30,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
4368,"FUSO CHEMICAL CO.,LTD.",141502071000.0,37453094000.0,104048977000.0,11622785000.0,8343299000.0,14129459000.0,22701537000.0,False,False,0.16425283996601436,0.6061324866778697,2025-06-19 11:00,2025-03-31,not_implemented_original,"Missing GNP price-level index, current assets, current liabilities, and funds from operations; OCF/TL is only a proxy and not used for Top5 primary selection.",
