rank,code,ticker,company_name,sector,final_exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,gp_missing_review_flag,phase1_top5_flag,phase2_selected_topn_flag,phase3_priority_flag,phase3_handoff_note,market,distress_review_flag,microcap_flag,one_time_profit_suspected,market_equity_final,liquidity_flag,in_market_percentile_top1200,in_sector_percentile_top1200,in_robust_zscore_top1200,in_winsorized_zscore_top1200,market_percentile_rank,market_percentile_score,sector_percentile_rank,sector_percentile_score,robust_zscore_rank,robust_zscore_score,winsorized_zscore_rank,winsorized_zscore_score,normalization_top1200_count,normalization_core_flag,normalization_robust_flag,normalization_fragile_flag,sector_adjusted_candidate_flag,outlier_sensitive_flag,normalization_review_note
1201,4671,4671.T,"FALCO HOLDINGS Co.,Ltd.",Services,0.8579963225348797,0.550663645192619,0.5734545454545454,0.688034188034188,0.707647628267183,0.4348534201954397,1.0,0.4036786060019361,0.0,0.0,0.0,0.0,0.9549575085672244,0.081984234687908,0.37083206085677,0.8333333333333334,-0.0124509966318811,38752770.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,26444108532.0,pass,False,True,False,False,1249,0.7988271129680309,619,0.8393005794955053,1855,0.6383690704467084,1250,0.6885092556838358,1,False,False,False,True,False,Sector-adjusted candidate; review sector context.
1202,9262,9262.T,"SILVER LIFE CO.,LTD.",Retail Trade,0.8578747072319244,0.5008093234056329,0.618909090909091,0.7984878369493754,0.707647628267183,0.8768729641693811,1.0,0.3462407228138109,0.0,0.0,0.0,0.0,0.8780507875028009,0.0884812250240591,0.4822830212542134,0.8333333333333334,-0.080366602072268,25535793.333333332,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,7940441600.0,pass,False,False,False,True,1250,0.798654823756656,1548,0.7685437060540287,1747,0.6437580137204433,883,0.7003349309587223,1,False,False,False,False,False,Reference only.
1203,5161,5161.T,"NISHIKAWA RUBBER CO.,LTD.",Rubber Products,0.857831987179048,0.4438329556490774,0.2116363636363636,0.1525312294543064,0.4406260083898031,0.555700325732899,1.0,0.7644401419812843,0.0,0.0,0.0,0.0,0.7877525337459607,0.0436299524801242,0.1312483538829986,0.6666666666666666,-0.0259114603594491,386114608.3333333,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,116433773388.0,pass,False,False,True,False,1252,0.7985943033777142,1354,0.7840262653932965,742,0.7577413423662103,2346,0.6588187319212137,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1204,4625,4625.T,"ATOMIX CO.,LTD.",Chemicals,0.8576626037380848,0.9320168339268372,0.3189090909090909,0.4079552925706772,0.707647628267183,0.7615635179153094,1.0,0.3375282349144885,0.0,0.0,0.0,0.0,2.5108564778431703,0.0555051043079544,0.2193827960796476,0.8333333333333334,-0.0524225317711661,23745646.666666668,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,4122792000.0,pass,False,False,False,True,1253,0.7983543422975349,1506,0.7713070750967317,1302,0.6700365080822801,436,0.7255045543375017,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1205,7711,7711.T,"SUKEGAWA ELECTRIC CO.,LTD.",Precision Instruments,0.8575906362682266,0.0349627711233408,0.0978181818181818,0.5111768573307035,0.9209422394320748,0.3667752442996742,1.0,0.8489835430784124,0.0,0.0,0.0,0.0,0.1679424460016583,0.0272833870995215,0.2632579170650729,1.0,-0.0044456172906416,822185566.6666666,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,29118672000.0,pass,False,False,True,False,1254,0.7982523878697185,1616,0.7631971526031996,481,0.8281283618628771,2352,0.6586154673330983,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1206,6070,6070.T,"CAREERLINK CO.,LTD.",Services,0.8575813286186316,0.298154742635157,0.4938181818181818,0.7333990795529257,0.4406260083898031,0.6905537459283387,1.0,0.5282349144885446,0.0,0.0,0.0,0.0,0.5867222053009017,0.0726193693111431,0.4124817452520048,0.6666666666666666,-0.0421009504984577,82121398.33333333,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,25417309700.0,pass,False,True,False,False,1255,0.798239201966551,663,0.8356905725647769,1678,0.6468830349963901,1640,0.6792643484775881,1,False,False,False,True,False,Sector-adjusted candidate; review sector context.
1207,4369,4369.T,Tri Chemical Laboratories Inc.,Chemicals,0.8575456759559189,0.0861120103593395,0.1865454545454545,0.3261012491781722,0.0745401742497579,0.1325732899022801,1.0,0.9270732494353016,0.0,0.0,0.0,0.0,0.2661248891456441,0.0406019602736316,0.1907777192431554,0.3333333333333333,0.0408473789928569,2472853603.3333335,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,135836791200.0,pass,False,False,True,False,1256,0.7981886937739723,1239,0.7929548605434421,535,0.8201508546059506,1859,0.6742344511704839,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1208,1945,1945.T,TOKYO ENERGY & SYSTEMS INC.,Construction,0.8574719085047661,0.4833279378439624,0.156,0.0476660092044707,0.0203291384317521,0.0140065146579804,1.0,0.8431752178121975,0.0,0.0,0.0,0.0,0.853109608352713,0.0361555798766987,0.0833171417732996,0.1666666666666666,0.1682099910926365,751726303.3333334,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,80208919616.0,pass,False,False,True,False,1257,0.7980841893598452,1517,0.7707041900392884,508,0.8245554156341593,2487,0.648755576965961,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1209,1433,1433.T,"BESTERRA CO.,LTD",Construction,0.85733514200999,0.3059242473292327,0.5632727272727273,0.5239973701512163,0.9209422394320748,0.909771986970684,1.0,0.5759922555663117,0.0,0.0,0.0,0.0,0.5948633123953974,0.0807418525933002,0.2684948456923485,1.0,-0.0940853998268561,115547265.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,9073571840.0,pass,False,False,False,False,1260,0.7978904358522284,1439,0.7770779756148765,1556,0.653733783122255,1965,0.6715743205566467,0,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1210,4440,4440.T,WITZ Corporation,Information & Communication,0.8572982446572476,0.3431531239883457,0.688,0.7659434582511505,0.9209422394320748,0.6488599348534202,1.0,0.4417554049693449,0.0,0.0,0.0,0.0,0.6445225269815382,0.0971220449678372,0.4437088987549203,1.0,-0.0376534960059771,48412008.333333336,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,4402862400.0,pass,False,True,False,False,1261,0.7978381643399158,683,0.8340296638184425,1764,0.643035975201507,1212,0.6895493740875788,1,False,False,False,True,False,Sector-adjusted candidate; review sector context.
1211,5956,5956.T,"TOSO CO.,LTD.",Metal Products,0.8572427075014806,0.9575914535448364,0.712,0.7373438527284681,0.707647628267183,0.3143322475570033,1.0,0.1339141658599548,0.0,0.0,0.0,0.0,2.9548365909277368,0.1010072962630141,0.4164307936627455,0.8333333333333334,0.0021883312240595,4871816.666666667,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,5002341600.0,review,False,True,True,True,1262,0.7977594863073282,810,0.8237254352524875,993,0.70166410907008,134,0.7632054765061659,3,True,True,False,True,True,Core across normalization methods.
1212,5819,5819.T,"Canare Electric Co.,Ltd.",Nonferrous Metals,0.8572355443958154,0.8174166396892198,0.7069090909090909,0.4740302432610125,0.4406260083898031,0.5514657980456026,1.0,0.3236527912229751,0.0,0.0,0.0,0.0,1.5865772851137907,0.1000254384475773,0.2446470576948567,0.6666666666666666,-0.0254232879842051,21169063.333333332,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,12006235800.0,pass,False,True,False,True,1263,0.7977493385233234,1014,0.8092401746296292,1767,0.6429150158106042,958,0.6979440751197634,2,False,True,False,True,False,Robust across at least two normalization methods.
1213,3901,3901.T,"MarkLines Co.,Ltd.",Information & Communication,0.8572136346372574,0.1731952088054386,0.652,0.7416173570019724,0.4406260083898031,0.6084690553745928,1.0,0.5701839303000968,0.0,0.0,0.0,0.0,0.4069789106586856,0.0921333705410999,0.4201757274763108,0.6666666666666666,-0.0323040331899004,111262800.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,16557833400.0,pass,False,True,False,False,1264,0.7977182995427705,767,0.8267728028788018,1494,0.6568795706406203,1784,0.6759276121244104,1,False,False,False,True,False,Sector-adjusted candidate; review sector context.
1214,6328,6328.T,"EBARA JITSUGYO CO.,LTD.",Machinery,0.8568682279047763,0.2327614114600194,0.5265454545454545,0.5650887573964497,0.4406260083898031,0.078501628664495,1.0,0.6686027750887383,0.0,0.0,0.0,0.0,0.4883668912577575,0.076625763260943,0.287837139609383,0.6666666666666666,0.065024458038323,202292231.66666663,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,57213133200.0,pass,False,False,True,False,1265,0.7972289708802043,1421,0.7786892159217119,1144,0.6820151778085355,2294,0.6612963392114414,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1215,6264,6264.T,"Marumae Co.,Ltd.",Machinery,0.8568610149420277,0.0958238912269342,0.2429090909090909,0.1765285996055227,0.707647628267183,0.9055374592833876,1.0,0.9080348499515972,0.0,0.0,0.0,0.0,0.28777957195989,0.0478714897730319,0.1395633778363484,0.8333333333333334,-0.0923344529760236,1848958473.3333333,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,28325565100.0,pass,False,False,True,False,1266,0.7972187524649766,1496,0.7721801819324304,500,0.8253712068215068,1994,0.6706251055921455,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1216,6235,6235.T,"OPTORUN CO.,LTD.",Machinery,0.8568566501616449,0.1621884104888313,0.0603636363636363,0.1581196581196581,0.2102291061632784,0.8351791530944626,1.0,0.9299774120684092,0.0,0.0,0.0,0.0,0.3911050324801383,0.0200938425431466,0.1328019425722245,0.5,-0.0664650533399706,2544277095.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,147291937500.0,pass,False,False,True,False,1267,0.7972125689950373,1486,0.7728965419692495,532,0.8207596246644474,1700,0.6775414412863764,1,False,False,False,False,False,Reference only.
1217,9790,9790.T,"Fukui Computer Holdings,Inc.",Information & Communication,0.8568006732060597,0.1861443832955649,0.4083636363636364,0.666009204470743,0.4406260083898031,0.7244299674267101,1.0,0.6295579219102937,0.0,0.0,0.0,0.0,0.4214938406098227,0.0651478746334051,0.3525299600532623,0.6666666666666666,-0.046587163851163,156148008.33333334,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,64299872000.0,pass,False,True,False,False,1268,0.7971332679095771,846,0.8208829639076074,1339,0.667255071741814,2095,0.6680322186987737,1,False,False,False,True,True,Sector-adjusted candidate; review sector context.
1218,9259,9259.T,"TAKAYOSHI Holdings,INC.",Services,0.8567665547313145,0.3739074134023956,0.6003636363636363,0.9891518737672584,0.707647628267183,0.6986970684039088,1.0,0.3407550822846079,0.0,0.0,0.0,0.0,0.6883943101059874,0.0855026130471782,1.2425276047224152,0.8333333333333334,-0.0430997735678997,24362885.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Growth Market(Domestic),False,False,False,4701599000.0,pass,False,True,True,True,1269,0.797084933160871,491,0.8507890485717169,1047,0.6936563563521296,123,0.7694915275030171,3,True,True,False,True,True,Core across normalization methods.
1219,6787,6787.T,"Meiko Electronics Co.,Ltd.",Electric Appliances,0.8567024782085279,0.0158627387504046,0.0414545454545454,0.2169625246548323,0.707647628267183,0.565472312703583,1.0,0.98999677315263,0.0,0.0,0.0,0.0,0.1168374268716597,0.015256933489508,0.1551492787655149,0.8333333333333334,-0.0269736760938136,17151093200.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,989451780096.0,pass,False,False,True,True,1270,0.7969941576308982,1320,0.7866864378606302,570,0.813526371958174,30,0.906911233062591,2,False,True,False,False,True,Robust across at least two normalization methods.
1220,6194,6194.T,"Atrae,Inc.",Services,0.8565579378076014,0.1204273227581741,0.5054545454545455,0.9714003944773176,0.4406260083898031,0.9149837133550488,1.0,0.500161342368506,0.0,0.0,0.0,0.0,0.3294811592868431,0.0742767906323903,1.0225430668656887,0.6666666666666666,-0.0964769451188389,70807621.66666667,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,15773554431.0,pass,False,True,True,True,1272,0.7967893910342426,560,0.8443454046012574,1048,0.6935608004465658,315,0.7346839903229798,3,True,True,False,True,True,Core across normalization methods.
1221,6915,6915.T,"CHIYODA INTEGRE CO.,LTD.",Electric Appliances,0.8565365489287902,0.7620589187439301,0.9625454545454546,0.2935568704799474,0.2102291061632784,0.121172638436482,1.0,0.4207808970635689,0.0,0.0,0.0,0.0,1.429604761968747,0.2391901523103305,0.1801179241228748,0.5,0.0442293347799552,43607491.666666664,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,28178417610.0,pass,False,False,False,True,1273,0.7967590899703714,1843,0.7452815881789235,1462,0.6588992083789866,1010,0.6962770317190273,1,False,False,False,False,False,Reference only.
1222,5727,5727.T,"TOHO TITANIUM COMPANY,LIMITED",Nonferrous Metals,0.8565314378202483,0.0980899967627063,0.0818181818181818,0.1452991452991453,0.707647628267183,0.9394136807817588,1.0,0.9448209099709584,0.0,0.0,0.0,0.0,0.2920353787704643,0.0245070595644334,0.1286424106427312,0.8333333333333334,-0.1146812769656514,3485777938.3333335,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,200064801210.0,pass,False,False,True,True,1274,0.7967518491968952,1369,0.7828125001605016,526,0.8216302316489228,1061,0.6944971907551809,2,False,True,False,False,False,Robust across at least two normalization methods.
1223,7236,7236.T,"T.RAD Co., Ltd.",Transportation Equipment,0.8565209315590341,0.2405309161540951,0.3458181818181818,0.2314266929651545,0.707647628267183,0.4592833876221498,1.0,0.8109067441110035,0.0,0.0,0.0,0.0,0.5007424818115536,0.0582987359322289,0.1602353334554052,0.8333333333333334,-0.0151784960586558,558537033.3333334,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,97343448520.0,pass,False,False,True,False,1275,0.7967369652520699,1340,0.7855221636899365,455,0.8304346564184567,2377,0.6573577678202369,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1224,6379,6379.T,RAIZNEXT Corporation,Construction,0.8565047127200517,0.4046617028164455,0.4589090909090909,0.2455621301775148,0.0745401742497579,0.0687296416938111,1.0,0.7363665698612456,0.0,0.0,0.0,0.0,0.7305016297365265,0.0695585879483866,0.1642938990937185,0.3333333333333333,0.0731426649317081,316485883.3333333,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,117253674069.0,pass,False,False,True,False,1276,0.7967139884480839,1412,0.7796919592225147,851,0.7259069434278761,2418,0.6545812777822663,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1225,5310,5310.T,"TOYO TANSO CO.,LTD.",Glass and Ceramics Products,0.8564974408967425,0.3298802201359663,0.148,0.1111111111111111,0.4406260083898031,0.3664495114006515,1.0,0.8625363020329139,0.0,0.0,0.0,0.0,0.6268765258435925,0.0351317153774632,0.1141852201029806,0.6666666666666666,-0.0044121281878179,987986616.6666666,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,155614376960.0,pass,False,False,True,False,1278,0.7967036866466433,1858,0.7437055199434035,471,0.8288759594597055,2338,0.6594880919315752,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1226,3297,3297.T,"Toubujyuhan Co.,Ltd.",Real Estate,0.8562842357983,0.7520233085140823,0.7618181818181818,0.6778435239973701,0.9209422394320748,0.9381107491856676,1.0,0.2165214585350112,0.0,0.0,0.0,0.0,1.4022793254336774,0.108665949379816,0.3641642765153711,1.0,-0.113933087427639,8887350.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,3157732500.0,review,False,True,False,True,1279,0.7964016445731615,1114,0.8016542719389561,1641,0.6491907341914358,646,0.7112109868687218,2,False,True,False,True,True,Robust across at least two normalization methods.
1227,7927,7927.T,MUTO SEIKO CO.,Chemicals,0.8562787881137613,0.6788604726448689,0.8287272727272728,0.2902695595003287,0.2102291061632784,0.4133550488599349,1.0,0.4724104549854792,0.0,0.0,0.0,0.0,1.212428886207311,0.1236257528888161,0.1788867003789937,0.5,-0.0100730001152046,59250261.666666664,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,15926463168.0,pass,False,False,False,False,1280,0.7963939269812943,1864,0.7430332459702645,1784,0.6420456733838414,1647,0.6790937978161148,0,False,False,False,False,False,Reference only.
1228,1429,1429.T,"Nippon Aqua Co.,Ltd.",Construction,0.8562340573267974,0.2570411136290061,0.5981818181818181,0.5864562787639711,0.4406260083898031,0.2328990228013029,1.0,0.6202000645369474,0.0,0.0,0.0,0.0,0.521175630562709,0.0849327749514951,0.2998220522337851,0.6666666666666666,0.0154538017390724,148338330.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,22322430900.0,pass,False,False,False,False,1281,0.7963305580480853,1515,0.7707476761286519,1402,0.6631979962138672,2163,0.6655879568617463,0,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1229,4098,4098.T,"Titan Kogyo ,Ltd.",Chemicals,0.8561968482943619,0.8274522499190676,0.4352727272727272,0.0489809335963182,0.9209422394320748,0.6758957654723128,1.0,0.5272668602775089,0.0,0.0,0.0,0.0,1.640662711321472,0.0676352462381286,0.0841194968553459,1.0,-0.0404516173720302,81534236.66666667,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,3444949386.0,pass,False,False,False,False,1282,0.7962778449873229,1980,0.7325859808111971,1544,0.6543658383051473,1405,0.6849594807345832,0,False,False,False,False,False,Reference only.
1230,8023,8023.T,"DAIKO XTECH,LTD.",Information & Communication,0.8561725882895723,0.5794755584331499,0.8592727272727273,0.7113740959894806,0.4406260083898031,0.2420195439739413,1.0,0.3381736043885124,0.0,0.0,0.0,0.0,1.009288906479623,0.1340962774100771,0.3932902100024176,0.6666666666666666,0.01355434416672,23829770.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,12603362544.0,pass,False,True,False,True,1283,0.7962434764745486,818,0.823163194491194,1792,0.6416993568437311,1034,0.6951505730171537,2,False,True,False,True,False,Robust across at least two normalization methods.
1231,5955,5955.T,"WISE HOLDINGS CO.,LTD.",Metal Products,0.8561584260545086,0.6277112334088701,0.08,0.1423405654174885,0.4406260083898031,0.7250814332247557,1.0,0.6698935140367861,0.0,0.0,0.0,0.0,1.0922989137039332,0.0243562901318984,0.1276411109440588,0.6666666666666666,-0.0466406764776577,204753826.66666663,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,11290143060.0,pass,False,False,True,False,1284,0.7962234132074176,1443,0.7768979790529073,1112,0.6850153259732423,2186,0.6648923970243416,1,False,False,False,False,True,Outlier-sensitive rank movement; review raw metrics.
1232,3935,3935.T,"Edia Co.,Ltd.",Information & Communication,0.8559877809563037,0.1929426999028811,0.8414545454545455,0.9684418145956608,0.707647628267183,0.0667752442996743,1.0,0.4446595676024524,0.0,0.0,0.0,0.0,0.4314208375810847,0.1271791178121851,0.9981712486549076,0.8333333333333334,0.075577057708105,49075575.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,3744726400.0,pass,False,True,True,True,1285,0.7959816647704999,618,0.8393674334776589,1081,0.6887305295903742,305,0.7357257861384877,3,True,True,False,True,True,Core across normalization methods.
1233,8927,8927.T,"MEIHO ENTERPRISE CO.,LTD.",Real Estate,0.8558586215739439,0.43282615733247,0.8934545454545455,0.3392504930966469,0.707647628267183,0.6309446254071661,1.0,0.5463052597612132,0.0,0.0,0.0,0.0,0.7690823006357645,0.1529300613805984,0.1957872303881299,0.8333333333333334,-0.0349523806194015,95280250.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,12386976000.0,pass,False,True,False,False,1286,0.7957986880596116,1007,0.8094961023778425,1591,0.6517584820539821,1890,0.6733469417225509,1,False,False,False,True,True,Sector-adjusted candidate; review sector context.
1234,2483,2483.T,HONYAKU Center Inc.,Services,0.8557492539335804,0.5490449983813532,0.7174545454545455,0.8694937541091388,0.2102291061632784,0.1846905537459283,1.0,0.3175217812197483,0.0,0.0,0.0,0.0,0.9518929030426796,0.1018970424745129,0.6014490933066434,0.5,0.0257031729145741,20210875.0,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,7102424000.0,pass,False,True,False,True,1287,0.7956437497907406,565,0.8438630952772074,1596,0.6514871264146825,686,0.7088833325897274,2,False,True,False,True,True,Robust across at least two normalization methods.
1235,2927,2927.T,"AFC-HD AMS Life Science Co.,Ltd.",Foods,0.8557070895254517,0.7089673033344124,0.8312727272727273,0.440499671268902,0.9209422394320748,0.3837133550488599,1.0,0.3659244917715392,0.0,0.0,0.0,0.0,1.284185391517209,0.1240892749202297,0.2311117882637055,1.0,-0.0066424181467293,29200446.666666668,False,none,False,False,True,reference,Use as candidate universe sensitivity reference.,Standard Market(Domestic),False,False,False,11836607160.0,pass,False,False,False,True,1288,0.7955840165791459,1516,0.7707170028731442,1821,0.6399486235513963,1157,0.6912656166512771,1,False,False,False,False,False,Reference only.
