code,rank_selected,rank_strong_gp_penalty,rank_change_positive_means_lower
7261,1,1,0
7211,2,2,0
9533,3,3,0
9507,4,4,0
7419,5,5,0
8012,6,6,0
2695,7,7,0
4022,8,8,0
1333,9,9,0
1515,10,10,0
8111,11,11,0
9684,12,12,0
6745,13,13,0
9831,14,14,0
8273,15,15,0
5021,16,16,0
1909,17,17,0
6454,18,18,0
8060,19,19,0
1911,20,20,0
3028,21,21,0
2602,22,22,0
2791,23,23,0
9682,24,24,0
5105,25,25,0
9997,26,26,0
5406,27,27,0
8276,28,28,0
1414,29,29,0
3382,30,30,0
3863,31,31,0
4204,32,32,0
8278,33,33,0
1723,34,34,0
2121,35,35,0
1662,36,36,0
9956,37,37,0
7516,38,38,0
4922,39,39,0
2212,40,40,0
3608,41,41,0
6457,42,42,0
3405,43,43,0
2220,44,44,0
2918,45,45,0
3539,46,46,0
8016,47,47,0
9101,48,48,0
6196,49,49,0
4118,50,50,0
6648,51,51,0
2730,52,52,0
1861,53,53,0
4202,54,54,0
5233,55,55,0
6440,56,56,0
1961,57,57,0
6417,58,58,0
7917,59,59,0
5393,60,60,0
7649,61,61,0
7552,62,62,0
4318,63,63,0
2664,64,64,0
8194,65,65,0
6369,66,66,0
8218,67,67,0
9104,68,68,0
5410,69,69,0
6770,70,70,0
2267,71,71,0
6430,72,72,0
6676,73,73,0
3391,74,74,0
7803,75,75,0
4569,76,76,0
5463,77,77,0
6104,78,78,0
9274,79,79,0
8242,80,80,0
4849,81,81,0
6310,82,82,0
4633,83,83,0
2681,84,84,0
3333,85,85,0
3861,86,86,0
4042,87,87,0
8227,88,88,0
3134,89,89,0
4521,90,90,0
9948,91,91,0
7280,92,92,0
8088,93,93,0
9842,94,94,0
2734,95,95,0
1925,96,96,0
7595,97,97,0
8281,98,98,0
2491,99,99,0
5947,100,100,0
4828,101,101,0
8167,102,102,0
9115,103,103,0
1928,104,104,0
3104,105,105,0
8061,106,106,0
9989,107,107,0
8173,108,108,0
4540,109,109,0
2733,110,110,0
8282,111,111,0
2433,112,112,0
8037,113,113,0
7912,114,114,0
3087,115,115,0
2001,116,116,0
9934,117,117,0
2593,118,118,0
9832,119,119,0
3048,120,120,0
2792,121,121,0
8011,122,122,0
6302,123,123,0
6419,124,124,0
7581,125,125,0
2288,126,126,0
6794,127,127,0
1980,128,128,0
3349,129,129,0
5423,130,130,0
8214,131,131,0
2678,132,132,0
2659,133,133,0
9202,134,134,0
3941,135,135,0
9470,136,136,0
6814,137,137,0
4651,138,138,0
2685,139,139,0
6460,140,140,0
6588,141,141,0
4613,142,142,0
4751,143,143,0
7911,144,144,0
3148,145,145,0
3407,146,146,0
2929,147,147,0
2726,148,148,0
2002,149,149,0
7240,150,150,0
7988,151,151,0
2296,152,152,0
5019,153,153,0
2379,154,154,0
5210,155,155,0
3002,156,156,0
6039,157,157,0
9699,158,158,0
4043,159,159,0
2269,160,160,0
9107,161,161,0
5331,162,162,0
5440,163,163,0
3865,164,164,0
9534,165,165,0
6526,166,166,0
5262,167,167,0
7130,168,168,0
7459,169,169,0
7245,170,170,0
6463,171,171,0
2613,172,172,0
2670,173,173,0
8255,174,174,0
5408,175,175,0
7606,176,176,0
6849,177,177,0
9543,178,178,0
4206,179,179,0
4631,180,180,0
6995,181,181,0
7832,182,182,0
4534,183,183,0
8217,184,184,0
1766,185,185,0
7994,186,186,0
9603,187,187,0
6580,188,188,0
6418,189,189,0
3092,190,190,0
9247,191,191,0
3479,192,192,0
9980,193,193,0
9974,194,194,0
6209,195,195,0
6923,196,196,0
5929,197,197,0
4927,198,198,0
3050,199,199,0
4112,200,200,0
6287,201,201,0
7453,202,202,0
2201,203,203,0
9404,204,204,0
7610,205,205,0
7984,206,206,0
7600,207,207,0
5970,208,208,0
7599,209,209,0
5851,210,210,0
2206,211,211,0
3697,212,212,0
1301,213,213,0
9409,214,214,0
9706,215,215,0
9936,216,216,0
6395,217,217,0
8835,218,218,0
7550,219,219,0
6436,220,220,0
8291,221,221,0
4996,222,222,0
9990,223,223,0
4401,224,224,0
5480,225,225,0
7942,226,226,0
7981,227,227,0
6809,228,228,0
6058,229,229,0
7864,230,230,0
9861,231,231,0
2767,232,232,0
2810,233,233,0
6474,234,234,0
7231,235,235,0
3660,236,236,0
4544,237,237,0
4776,238,238,0
2004,239,239,0
1377,240,240,0
4665,241,241,0
2229,242,242,0
6356,243,243,0
3923,244,244,0
6810,245,245,0
2429,246,246,0
7867,247,247,0
7936,248,248,0
2270,249,249,0
5703,250,250,0
4208,251,251,0
3626,252,252,0
4559,253,253,0
3930,254,254,0
2742,255,255,0
8103,256,256,0
1663,257,257,0
3765,258,258,0
6349,259,259,0
7990,260,260,0
4933,261,261,0
5817,262,262,0
9531,263,263,0
6367,264,264,0
3046,265,265,0
7955,266,266,0
7532,267,267,0
4620,268,268,0
8050,269,269,0
7545,270,270,0
9987,271,271,0
3167,272,272,0
3101,273,273,0
7004,274,274,0
9962,275,275,0
9830,276,276,0
6850,277,277,0
9994,278,278,0
2809,279,279,0
4611,280,280,0
8022,281,281,0
8086,282,282,0
7279,283,283,0
3088,284,284,0
2292,285,285,0
4194,286,286,0
6841,287,287,0
1878,288,288,0
7520,289,289,0
3558,290,290,0
2782,291,291,0
6952,292,292,0
5032,293,293,0
8142,294,294,0
8267,295,295,0
7859,296,296,0
7943,297,297,0
6658,298,298,0
4527,299,299,0
9474,300,300,0
5214,301,301,0
6250,302,302,0
9715,303,303,0
7701,304,304,0
8803,305,305,0
3864,306,306,0
4205,307,307,0
5273,308,308,0
8203,309,309,0
7956,310,310,0
7458,311,311,0
9413,312,312,0
6378,313,313,0
7947,314,314,0
6282,315,315,0
1847,316,316,0
9887,317,317,0
4547,318,318,0
2784,319,319,0
6584,320,320,0
4028,321,321,0
4768,322,322,0
6371,323,323,0
9418,324,324,0
1332,325,325,0
2871,326,326,0
1969,327,327,0
8043,328,328,0
9005,329,329,0
7972,330,330,0
7685,331,331,0
8185,332,332,0
6103,333,333,0
8897,334,334,0
8136,335,335,0
5332,336,336,0
6932,337,337,0
6718,338,338,0
4530,339,339,0
4634,340,340,0
6432,341,341,0
7846,342,342,0
9882,343,343,0
7745,344,344,0
6351,345,345,0
4617,346,346,0
3191,347,347,0
5715,348,348,0
6951,349,349,0
5711,350,350,0
9678,351,351,0
4368,352,352,0
4553,353,353,0
9536,354,354,0
4350,355,355,0
7283,356,356,0
9532,357,357,0
7373,358,358,0
6465,359,359,0
5975,360,360,0
7226,361,361,0
9076,362,362,0
6670,363,363,0
4979,364,364,0
8179,365,365,0
2003,366,366,0
2915,367,367,0
4526,368,368,0
8005,369,369,0
4681,370,370,0
9746,371,371,0
3034,372,372,0
7575,373,373,0
7762,374,374,0
2585,375,375,0
3907,376,376,0
3089,377,377,0
4064,378,378,0
8007,379,379,0
5943,380,380,0
4443,381,381,0
3097,382,382,0
7309,383,383,0
9039,384,384,0
6413,385,385,0
2331,386,386,0
6835,387,387,0
4685,388,388,0
7906,389,389,0
4045,390,390,0
1873,391,391,0
7483,392,392,0
6703,393,393,0
3415,394,394,0
4985,395,395,0
3636,396,396,0
7241,397,397,0
8153,398,398,0
6637,399,399,0
3099,400,400,0
7246,401,401,0
4031,402,402,0
3399,403,403,0
3355,404,404,0
6644,405,405,0
8130,406,406,0
5253,407,407,0
2875,408,408,0
6140,409,409,0
3696,410,410,0
3911,411,411,0
6272,412,412,0
6961,413,413,0
6257,414,414,0
5632,415,415,0
9405,416,416,0
3946,417,417,0
8035,418,418,0
6238,419,419,0
9332,420,420,0
5142,421,421,0
9602,422,422,0
4044,423,423,0
9823,424,424,0
7965,425,425,0
9304,426,426,0
6592,427,427,0
5301,428,428,0
3395,429,429,0
7482,430,430,0
4021,431,431,0
6777,432,432,0
6958,433,433,0
7780,434,434,0
3064,435,435,0
7014,436,436,0
9856,437,437,0
6535,438,438,0
7276,439,439,0
8032,440,440,0
2222,441,441,0
9064,442,442,0
5988,443,443,0
2060,444,444,0
5232,445,445,0
5981,446,446,0
6445,447,447,0
6088,448,448,0
8051,449,449,0
7735,450,450,0
3176,451,451,0
3231,452,452,0
8150,453,453,0
9743,454,454,0
3320,455,455,0
3105,456,456,0
6845,457,457,0
6750,458,458,0
4886,459,459,0
7991,460,460,0
7537,461,461,0
9278,462,462,0
9627,463,463,0
3186,464,464,0
8801,465,465,0
9828,466,466,0
3289,467,467,0
6920,468,468,0
6638,469,469,0
9416,470,470,0
2910,471,471,0
7747,472,472,0
4216,473,473,0
6674,474,474,0
6146,475,475,0
3635,476,476,0
5901,477,477,0
8097,478,478,0
3569,479,479,0
6890,480,480,0
7980,481,481,0
9616,482,482,0
4694,483,483,0
2301,484,484,0
7305,485,485,0
5959,486,486,0
3003,487,487,0
7050,488,488,0
4919,489,489,0
6136,490,490,0
3964,491,491,0
3182,492,492,0
7611,493,493,0
4246,494,494,0
5290,495,495,0
4716,496,496,0
4825,497,497,0
8850,498,498,0
7059,499,499,0
8125,500,500,0
3549,501,501,0
6332,502,502,0
8804,503,503,0
5121,504,504,0
7475,505,505,0
7466,506,506,0
9755,507,507,0
4078,508,508,0
6807,509,509,0
3489,510,510,0
4839,511,511,0
3232,512,512,0
8098,513,513,0
7971,514,514,0
4934,515,515,0
5204,516,516,0
6908,517,517,0
2418,518,518,0
4704,519,519,0
6083,520,520,0
9726,521,521,0
5603,522,522,0
2294,523,523,0
3431,524,524,0
6768,525,525,0
8129,526,526,0
7966,527,527,0
9605,528,528,0
3856,529,529,0
5244,530,530,0
4478,531,531,0
4041,532,532,0
2492,533,533,0
5930,534,534,0
9697,535,535,0
7239,536,536,0
3288,537,537,0
7743,538,538,0
2264,539,539,0
7719,540,540,0
6023,541,541,0
3708,542,542,0
5013,543,543,0
3201,544,544,0
2127,545,545,0
8029,546,546,0
5185,547,547,0
6737,548,548,0
4272,549,549,0
4471,550,550,0
9535,551,551,0
6728,552,552,0
6504,553,553,0
2281,554,554,0
6960,555,555,0
7806,556,556,0
4626,557,557,0
2153,558,558,0
4666,559,559,0
9729,560,560,0
9279,561,561,0
6941,562,562,0
7740,563,563,0
8008,564,564,0
9735,565,565,0
7888,566,566,0
7522,567,567,0
5018,568,568,0
2175,569,569,0
4221,570,570,0
9788,571,571,0
5933,572,572,0
6143,573,573,0
6486,574,574,0
7940,575,575,0
8198,576,576,0
5304,577,577,0
8174,578,578,0
3038,579,579,0
2531,580,580,0
3661,581,581,0
3498,582,582,0
6412,583,583,0
6339,584,584,0
