topn,candidate_count,bm_median,ep_median,gross_profitability_median,piotroski_available_ratio_median,sloan_accruals_median,adv60_median,distress_flag_rate,review_flag_rate,anomaly_flag_rate,gp_missing_rate,missingness_rate,sector_hhi,max_sector_share,phase1_top5_count,phase1_top5_rank_coverage,stability_jaccard,quality_vs_market_margin,value_vs_market_margin,safety_margin,liquidity_margin,negative_equity_count,feasible,topn_utility,count_breadth_score,quality_margin_score,value_margin_score,safety_score,liquidity_score,sector_diversity_score,phase1_top5_coverage_score,anomaly_review_penalty,gp_missing_penalty,topn_utility_rank
20,20,1.5263265632015184,0.17131950203731228,0.3119407987178116,0.8333333333333334,-0.03151084507635275,1242090956.25,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.2,0,0.0,0.75,0.012367257585855503,0.09786073080026658,1.0,16.541769191136744,0,False,0.26353419825791835,0.01,0.5123672575858556,0.5978607308002666,1.0,1,0.4999999999999999,0.0,0.0,0.0,14
50,50,1.431820477680772,0.12811307118437432,0.3487394575114786,0.8333333333333334,-0.027851317351241252,1110435390.0,0.0,0.0,0.0,0.0,0.0,0.108,0.26,1,0.2,0.75,0.008707729860744001,0.05465429994732862,1.0,14.682427454313828,0,False,0.2655043044712109,0.025,0.508707729860744,0.5546542999473286,1.0,1,0.39999999999999997,0.2,0.0,0.0,13
100,100,1.378655368783815,0.12118354212451955,0.3333299390778765,0.8333333333333334,-0.026908919386686353,781894584.1666667,0.0,0.0,0.0,0.0,0.0,0.11400000000000002,0.28,3,0.6,0.75,0.007765331896189102,0.04772477088747386,1.0,10.042520081348117,0,False,0.2963235154175494,0.05,0.5077653318961891,0.5477247708874738,1.0,1,0.3499999999999999,0.6,0.0,0.0,12
200,200,1.1563724015893653,0.10298511324916404,0.3074160938308668,0.8333333333333334,-0.02887151260743935,694924422.5,0.0,0.0,0.0,0.0,0.0,0.10155,0.255,4,0.8,0.75,0.0097279251169421,0.029526342012118345,1.0,8.814260190398993,0,False,0.32861314006935904,0.1,0.5097279251169421,0.5295263420121183,1.0,1,0.43724999999999997,0.8,0.0,0.0,11
300,300,1.0986242383523859,0.09335596626262341,0.308078322464552,0.8333333333333334,-0.0282996419540035,700498380.9251912,0.0,0.0,0.0,0.0,0.0,0.09068888888888889,0.22666666666666666,4,0.8,0.75,0.009156054463506251,0.019897195025577713,1.0,8.892979942510301,0,False,0.3453468763122516,0.15,0.5091560544635062,0.5198971950255777,1.0,1,0.519888888888889,0.8,0.0,0.0,10
500,500,1.0013646519519117,0.08453958099261355,0.29672645796108565,0.8333333333333334,-0.026582955045301,587543242.9166666,0.0,0.0,0.0,0.0,0.0,0.078256,0.18,5,1.0,0.75,0.00743936755480375,0.011080809755567855,1.0,7.297740117336238,0,True,0.6386500265965557,0.25,0.5074393675548038,0.5110808097555679,1.0,1,0.6087199999999999,1.0,0.0,0.0,7
800,800,0.9376367562643316,0.07892189215640905,0.269647596073437,0.8333333333333334,-0.0261731251285348,467202655.8333334,0.0,0.0,0.0,0.0,0.0,0.07210312499999998,0.14125,5,1.0,0.75,0.007029537638037549,0.005463120919363351,1.0,5.598197267982427,0,True,0.6708223362836102,0.4,0.5070295376380376,0.5054631209193634,1.0,1,0.6394843750000001,1.0,0.0,0.0,6
1000,1000,0.9134570244853721,0.0763055071156095,0.26376402301201296,0.8333333333333334,-0.02445549900172805,403915315.8333334,0.0,0.0,0.0,0.0,0.0,0.071408,0.127,5,1.0,0.75,0.0053119115112308,0.002846735878563808,1.0,4.704404502311934,0,True,0.6905197971084692,0.5,0.5053119115112308,0.5028467358785638,1.0,1,0.64296,1.0,0.0,0.0,5
1100,1100,0.9045357199503644,0.0755058109581445,0.2607304495217986,0.8333333333333334,-0.0236079123193318,375806127.5,0.0,0.0,0.0,0.0,0.0,0.07131404958677685,0.12181818181818181,5,1.0,0.75,0.0038376096760843748,0.002047039721098806,1.0,4.30742480335156,0,True,0.700225672616189,0.55,0.5038376096760844,0.5020470397210988,1.0,1,0.6434297520661157,1.0,0.0,0.0,4
1200,1200,0.9045357199503644,0.0755058109581445,0.2568928398457142,0.8333333333333334,-0.02318917273655115,346844199.1666667,0.0,0.0,0.0,0.0,0.0,0.07067777777777777,0.11583333333333333,5,1.0,0.75,0.0,0.002047039721098806,1.0,3.8984020505513852,0,True,0.7099681670692758,0.6,0.5,0.5020470397210988,1.0,1,0.6466111111111111,1.0,0.0,0.0,3
