rank,code,ticker,company_name,sector,final_exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,gp_missing_review_flag,phase1_top5_flag,phase2_selected_topn_flag,phase3_priority_flag,phase3_handoff_note,market,distress_review_flag,microcap_flag,one_time_profit_suspected,market_equity_final,liquidity_flag,sector_percentile_score,sector_percentile_rank
6,8012,8012.T,"NAGASE & CO.,LTD.",Wholesale Trade,0.9858411683359852,0.9695817490494296,0.9482071713147411,0.48484848484848486,0.7329545454545454,0.5909090909090908,1.0,0.9621212121212122,0.0,0.0,0.0,0.0,3.2318551329825733,0.2088792088339837,0.2243303474756324,0.8333333333333334,-0.0125599898530377,1227580922.5,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,125766466402.5,pass,1.0,1
36,1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,0.9595032580197608,0.75,0.5,0.75,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,1.2417513764926127,0.1846125181732306,0.1454772461186799,1.0,-0.0713848372396512,7950185018.333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,448766967808.0,pass,0.992839400600908,2
1,7261,7261.T,Mazda Motor Corporation,Transportation Equipment,1.0,0.7272727272727273,0.8448275862068966,0.803030303030303,0.22727272727272727,0.5238095238095238,1.0,0.9545454545454546,0.0,0.0,0.0,0.0,2.5609190009374183,0.1628279785698918,0.2279626242047051,0.5,-0.0415734057274953,8166730167.29655,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,706788851712.0,pass,0.9896495207239666,3
20,1911,1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,0.967053585110056,0.7985074626865671,0.9172932330827067,0.753731343283582,0.10820895522388059,0.5263157894736843,1.0,0.9253731343283582,0.0,0.0,0.0,0.0,1.4410784809889408,0.1753426707695453,0.2039807436299393,0.3333333333333333,0.0180598200763061,5753079290.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,788843921408.0,pass,0.9890634412837851,4
63,4318,4318.T,"QUICK CO.,LTD.",Services,0.948122795853516,0.8769574944071589,0.989769820971867,0.9027149321266968,0.21316964285714285,0.47835990888382685,1.0,0.7834821428571429,0.0,0.0,0.0,0.0,1.2985904460495588,0.2608370162332741,0.850938253822331,0.5,-0.0243737245929763,132203401.66666669,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,13739591304.0,pass,0.9839438484895214,5
81,4849,4849.T,en Inc.,Services,0.9443378163125328,0.727069351230425,0.9232736572890026,0.9343891402714932,0.4419642857142857,0.32801822323462415,1.0,0.8616071428571429,0.0,0.0,0.0,0.0,0.9300906506250386,0.1469283682134656,0.9208844086965684,0.6666666666666666,-0.0081385248687639,236035853.33333337,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,51936873000.0,pass,0.9824293178199216,6
12,9684,9684.T,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,0.9776603468283108,0.8951612903225806,0.6650366748166259,0.5234215885947047,0.4909819639278557,0.6321138211382114,1.0,0.969939879759519,0.0,0.0,0.0,0.0,1.1419701429032374,0.0812038123146788,0.3908712995001922,0.6666666666666666,-0.0443535710658302,3615485590.8333335,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,300971091176.0,pass,0.9809828695559047,7
35,2121,2121.T,"MIXI,Inc.",Information & Communication,0.9596757617725497,0.8286290322580645,0.784841075794621,0.6639511201629328,0.4909819639278557,0.6402439024390244,1.0,0.9158316633266533,0.0,0.0,0.0,0.0,0.9856274396574592,0.0959086110788211,0.4701654666051857,0.6666666666666666,-0.0454207343272824,757822020.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,183977223750.0,pass,0.9789955858207209,8
9,1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",0.9818830469903836,1.0,1.0,0.36363636363636365,0.9545454545454546,0.36363636363636365,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,4.33046990092831,0.4689838080262125,0.2137340706477141,1.0,-0.0138269283642717,835708894.1666666,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,63594946114.5,pass,0.9760186669771304,9
29,1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction,0.9623996869718898,0.8507462686567164,0.9699248120300752,0.7611940298507462,0.7686567164179104,0.33834586466165417,1.0,0.7985074626865671,0.0,0.0,0.0,0.0,1.667313357860232,0.2360272058306353,0.2052030505981185,0.8333333333333334,0.0431013204985807,1236836335.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,63810440610.0,pass,0.9681595458874792,10
25,5105,5105.T,Toyo Tire Corporation,Rubber Products,0.9648001739384976,0.3333333333333333,0.7272727272727273,1.0,0.8333333333333334,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.9225291248042264,0.1122830903998516,0.3117353116105187,0.8333333333333334,-0.0399020539137104,3965561160.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,566550134784.0,pass,0.9679281866949256,11
8,4022,4022.T,"Rasa Industries,Ltd.",Chemicals,0.9826186177217648,0.7891891891891892,0.9470588235294117,0.5405405405405406,0.8810810810810811,0.6830601092896175,1.0,0.9081081081081082,0.0,0.0,0.0,0.0,1.7852927535571048,0.2005148190762024,0.2101531480431083,1.0,-0.0423021040139306,2427613683.3333335,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,15614806000.0,pass,0.9675331921400427,12
24,9682,9682.T,DTS CORPORATION,Information & Communication,0.9651273563958188,0.9475806451612904,0.980440097799511,0.45010183299389,0.4909819639278557,0.22764227642276424,1.0,0.8857715430861723,0.0,0.0,0.0,0.0,1.4552379798967203,0.2616260111808794,0.3529177603343824,0.6666666666666666,0.0180070067586782,481370001.6666667,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,40779584384.0,pass,0.9652758092749165,13
101,4828,4828.T,Business Engineering Corporation,Information & Communication,0.9405551878148,0.8649193548387096,0.9828850855745721,0.6985743380855397,0.7615230460921844,0.43089430894308944,1.0,0.7975951903807615,0.0,0.0,0.0,0.0,1.0653254599770232,0.2651103561054257,0.4927276515082538,0.8333333333333334,-0.0112488618257899,208574455.0,False,,False,False,True,candidate_top300,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,12563790600.0,pass,0.9646136270743593,14
16,5021,5021.T,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,0.9721323301961704,1.0,1.0,0.375,0.4375,0.375,1.0,0.875,0.0,0.0,0.0,0.0,2.317108126436069,0.2652364451583565,0.1422708377287449,0.6666666666666666,-0.0256991626735388,3314935555.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,305327572731.0,pass,0.9641986773669625,15
49,6196,6196.T,"Strike Group Co.,Ltd.",Services,0.9530167069791876,0.697986577181208,0.979539641943734,0.6515837104072398,0.4419642857142857,0.10250569476082005,1.0,0.9330357142857143,0.0,0.0,0.0,0.0,0.8967935860863916,0.1971107645037531,0.4813003805533472,0.6666666666666666,0.0367764413569139,648150802.1563721,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,23945891600.0,pass,0.9620882166261531,16
7,2695,2695.T,"Kura Sushi,Inc.",Retail Trade,0.9828227566197852,0.7619047619047619,0.42857142857142855,0.7567567567567568,0.4814189189189189,0.7932203389830509,1.0,0.8885135135135135,0.0,0.0,0.0,0.0,1.3266371658947702,0.0561211599892185,0.8835641033443901,0.6666666666666666,-0.0719613640590827,922079620.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,65020038800.0,pass,0.9585028856116576,17
48,9101,9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0.9539927668401804,0.5454545454545454,0.7272727272727273,0.8888888888888888,0.8636363636363636,0.36363636363636365,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,1.395165378282858,0.2286358618174065,0.0978776267942344,1.0,-0.0050799515583391,23408384221.666668,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,2128760537088.0,pass,0.957136302702684,18
2,7211,7211.T,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,0.9931305702633936,0.6515151515151515,0.5862068965517241,0.8181818181818182,0.6818181818181818,0.6666666666666667,1.0,0.8787878787878788,0.0,0.0,0.0,0.0,2.08613505000056,0.1085296350500257,0.2371500267107117,0.8333333333333334,-0.0523004660404182,5211658271.408691,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,466683592704.0,pass,0.9534697060404678,19
57,1961,1961.T,"SANKI ENGINEERING CO.,LTD.",Construction,0.9498103758146608,0.5447761194029851,0.8947368421052632,0.8432835820895522,0.9514925373134329,0.9097744360902256,1.0,0.8432835820895522,0.0,0.0,0.0,0.0,0.9293605209957886,0.1502894251051941,0.2364829540079367,1.0,-0.0621439205955334,1726008034.3977864,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,114465804816.0,pass,0.9515007584329889,20
19,8060,8060.T,Canon Marketing Japan Inc.,Wholesale Trade,0.9691231173106468,0.4448669201520912,0.6892430278884463,0.8295454545454546,0.45075757575757575,0.5416666666666667,1.0,0.9772727272727273,0.0,0.0,0.0,0.0,1.075431531498073,0.1079657226303506,0.3856927214550711,0.6666666666666666,-0.0080219133401957,1918739823.3333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,384788792108.0,pass,0.9511130015659088,21
188,6580,6580.T,"Writeup Co.,Ltd.",Services,0.9253843622066849,0.6286353467561522,0.8670076726342711,0.8823529411764706,0.4419642857142857,0.1617312072892938,1.0,0.84375,0.0,0.0,0.0,0.0,0.816131000667601,0.1275824820856857,0.7720833507528204,0.6666666666666666,0.0202462854708622,205702778.33333337,False,,False,False,True,candidate_top300,Use as candidate universe sensitivity reference.,Growth Market(Domestic),False,False,False,3857543700.0,pass,0.9510049921890545,22
96,1925,1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction,0.9419656872449944,0.6194029850746269,0.8345864661654135,0.5223880597014925,0.48880597014925375,0.6992481203007519,1.0,0.9701492537313433,0.0,0.0,0.0,0.0,1.040679997680401,0.1263631277852053,0.1561944317206063,0.6666666666666666,-0.0133525298158498,9620377458.333334,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,2610547916800.0,pass,0.9483039861728867,23
17,1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,0.9706087518853452,0.6170212765957447,0.9022988505747126,0.8191489361702128,0.9202127659574468,0.9468085106382979,1.0,0.7978723404255319,0.0,0.0,0.0,0.0,1.2144395139194808,0.1672963333050793,0.2908272956083912,1.0,-0.0902868256360876,1098486153.3333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Standard Market(Domestic),False,False,False,25129170000.0,pass,0.9479535316184589,24
104,1928,1928.T,"Sekisui House,Ltd.",Construction,0.9400639665584382,0.6044776119402985,0.7819548872180451,0.6044776119402985,0.48880597014925375,0.5864661654135339,1.0,0.9552238805970149,0.0,0.0,0.0,0.0,1.0291683111168135,0.1112674769121007,0.1677411404102194,0.6666666666666666,0.0041269483881845,8520466928.333333,False,,False,False,True,candidate_top300,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,2126218788864.0,pass,0.9475410272984183,25
99,2491,2491.T,"ValueCommerce Co.,Ltd.",Services,0.9408974052646728,0.9753914988814317,0.24296675191815856,0.6153846153846154,0.4419642857142857,0.8382687927107062,1.0,0.8191964285714286,0.0,0.0,0.0,0.0,1.9673513104445504,0.0469036122869974,0.4552100111510345,0.6666666666666666,-0.0803716348575586,170931293.33333334,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,10382995600.0,pass,0.9467068807243023,26
