sector,count,share
Retail Trade,139,0.11583333333333333
Wholesale Trade,117,0.0975
Information & Communication,114,0.095
Chemicals,108,0.09
Electric Appliances,105,0.0875
Services,100,0.08333333333333333
Machinery,99,0.0825
Construction,58,0.04833333333333333
Foods,52,0.043333333333333335
Other Products,42,0.035
Real Estate,37,0.030833333333333334
Transportation Equipment,30,0.025
Metal Products,26,0.021666666666666667
Glass and Ceramics Products,24,0.02
Precision Instruments,22,0.018333333333333333
Iron and Steel,16,0.013333333333333334
Nonferrous Metals,15,0.0125
Pharmaceutical,15,0.0125
Textiles and Apparels,13,0.010833333333333334
Electric Power and Gas,12,0.01
Land Transportation,11,0.009166666666666667
Pulp and Paper,10,0.008333333333333333
"Fishery, Agriculture and Forestry",7,0.005833333333333334
Rubber Products,6,0.005
Marine Transportation,6,0.005
Oil and Coal Products,6,0.005
Warehousing and Harbor Transportation Service,6,0.005
Mining,3,0.0025
Air Transportation,1,0.0008333333333333334
