column,exists,non_null_count,coverage_rate
code,True,3099,1.0
ticker,True,3099,1.0
company_name,True,3099,1.0
market,True,3099,1.0
sector,True,3099,1.0
market_equity_final,True,3099,1.0
book_equity,True,3099,1.0
net_income,True,3099,1.0
bm_raw,True,3089,0.9967731526298806
ep_raw,True,2750,0.8873830267828332
gross_profitability,True,3042,0.9816069699903195
available_signal_score,True,3099,1.0
available_signal_max,True,3099,1.0
piotroski_available_ratio,True,3099,1.0
sloan_accruals,True,3070,0.9906421426266537
distress_exclusion_flag,True,3099,1.0
distress_review_flag,True,3099,1.0
avg_daily_value_60d,True,3099,1.0
liquidity_flag,True,3099,1.0
anomaly_flags,True,59,0.01903839948370442
microcap_flag,True,3099,1.0
one_time_profit_suspected,True,3099,1.0
bm_percentile,True,3089,0.9967731526298806
ep_percentile,True,2750,0.8873830267828332
gross_profitability_percentile,True,3042,0.9816069699903195
sloan_accruals_percentile,True,3070,0.9906421426266537
