code,ticker,company_name,sector,transformation_evidence_level,transformation_evidence_basis,emerging_evidence_level,evidence_level,evidence_level_label,evidence_snippet,evidence_source
7261,7261.T,Mazda Motor Corporation,Transportation Equipment,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7211,7211.T,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
9533,9533.T,"TOHO GAS CO.,LTD.",Electric Power and Gas,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
9507,9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7419,7419.T,"Nojima Co.,Ltd.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8012,8012.T,"NAGASE & CO.,LTD.",Wholesale Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2695,2695.T,"Kura Sushi,Inc.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4022,4022.T,"Rasa Industries,Ltd.",Chemicals,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1515,1515.T,"Nittetsu Mining Co.,Ltd.",Mining,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
8111,8111.T,Goldwin Inc.,Textiles and Apparels,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
9684,9684.T,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9831,9831.T,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
8273,8273.T,"IZUMI CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
5021,5021.T,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6454,6454.T,"MAX CO.,LTD.",Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8060,8060.T,Canon Marketing Japan Inc.,Wholesale Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1911,1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
3028,3028.T,"Alpen Co.,Ltd.",Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
2602,2602.T,"The Nisshin OilliO Group,Ltd.",Foods,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2791,2791.T,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9682,9682.T,DTS CORPORATION,Information & Communication,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5105,5105.T,Toyo Tire Corporation,Rubber Products,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9997,9997.T,"BELLUNA CO.,LTD.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5406,5406.T,"Kobe Steel,Ltd.",Iron and Steel,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8276,8276.T,"HEIWADO CO.,LTD.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3382,3382.T,"Seven & i Holdings Co.,Ltd.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3863,3863.T,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4204,4204.T,"Sekisui Chemical Co.,Ltd.",Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8278,8278.T,"FUJI CO.,LTD.",Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1723,1723.T,"NIHON DENGI CO.,LTD.",Construction,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2121,2121.T,"MIXI,Inc.",Information & Communication,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
9956,9956.T,"VALOR HOLDINGS CO.,LTD.",Retail Trade,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7516,7516.T,"KOHNAN SHOJI CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
4922,4922.T,KOSE Holdings Corporation,Chemicals,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2212,2212.T,"YAMAZAKI BAKING CO.,LTD.",Foods,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3608,3608.T,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6457,6457.T,GLORY LTD.,Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3405,3405.T,"KURARAY CO.,LTD.",Chemicals,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
2220,2220.T,"KAMEDA SEIKA CO.,LTD.",Foods,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2918,2918.T,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3539,3539.T,"JM HOLDINGS CO.,LTD.",Retail Trade,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8016,8016.T,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9101,9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
6196,6196.T,"Strike Group Co.,Ltd.",Services,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
4118,4118.T,KANEKA CORPORATION,Chemicals,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6648,6648.T,KAWADEN CORPORATION,Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2730,2730.T,EDION Corporation,Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1861,1861.T,"Kumagai Gumi Co.,Ltd.",Construction,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4202,4202.T,Daicel Corporation,Chemicals,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5233,5233.T,TAIHEIYO CEMENT CORPORATION,Glass and Ceramics Products,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6440,6440.T,JUKI CORPORATION,Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
1961,1961.T,"SANKI ENGINEERING CO.,LTD.",Construction,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6417,6417.T,"SANKYO CO.,LTD.",Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7917,7917.T,ZACROS Corporation,Chemicals,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5393,5393.T,NICHIAS CORPORATION,Glass and Ceramics Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7649,7649.T,"SUGI HOLDINGS Co.,LTD.",Retail Trade,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
7552,7552.T,HAPPINET CORPORATION,Wholesale Trade,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4318,4318.T,"QUICK CO.,LTD.",Services,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
2664,2664.T,CAWACHI LIMITED,Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8194,8194.T,LIFE CORPORATION,Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
6369,6369.T,TOYO KANETSU K.K.,Machinery,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
8218,8218.T,"KOMERI CO.,LTD.",Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
9104,9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5410,5410.T,"Godo Steel,Ltd.",Iron and Steel,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6770,6770.T,"ALPS ALPINE CO.,LTD.",Electric Appliances,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2267,2267.T,"YAKULT HONSHA CO.,LTD.",Foods,0,0 positive three-year financial improvement indicators,0,0,Level 0,no verified company disclosure,
6430,6430.T,"DAIKOKU DENKI CO.,LTD.",Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6676,6676.T,BUFFALO INC.,Electric Appliances,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
3391,3391.T,TSURUHA HOLDINGS INC.,Retail Trade,1,1 positive three-year financial improvement indicators,0,1,Level 1,no verified company disclosure,
7803,7803.T,Bushiroad Inc.,Other Products,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4569,4569.T,"KYORIN Pharmaceutical Co.,Ltd.",Pharmaceutical,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
5463,5463.T,Maruichi Steel Tube Ltd.,Iron and Steel,3,3 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6104,6104.T,"SHIBAURA MACHINE CO.,LTD.",Machinery,3,6 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
9274,9274.T,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
8242,8242.T,H2O RETAILING CORPORATION,Retail Trade,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4849,4849.T,en Inc.,Services,3,4 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
6310,6310.T,"ISEKI & CO.,LTD.",Machinery,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
4633,4633.T,SAKATA INX CORPORATION,Chemicals,3,5 positive three-year financial improvement indicators,0,3,Level 3,no verified company disclosure,
2681,2681.T,GEO HOLDINGS CORPORATION,Retail Trade,2,2 positive three-year financial improvement indicators,0,2,Level 2,no verified company disclosure,
