variant,description,selected_count,overlap_with_final20,jaccard_with_final20,role_distribution,sector_distribution,theme_distribution,top_changed_in,top_changed_out,interpretation
A1,Transformation Score only,20,12,0.42857142857142855,"{""Transformation Core"": 15, ""Buffett Core"": 5}","{""Retail Trade"": 3, ""Glass and Ceramics Products"": 2, ""Wholesale Trade"": 2, ""Pulp and Paper"": 2, ""Iron and Steel"": 2, ""Real Estate"": 2, ""Machinery"": 1, ""Other Products"": 1, ""Information & Communication"": 1, ""Metal Products"": 1, ""Electric Power and Gas"": 1, ""Foods"": 1, ""Precision Instruments"": 1}","{""non_ai"": 18, ""factory_automation"": 1, ""business_data"": 1}",3236;3489;3865;5214;5406;5603;8050;9507,3697;5803;6315;6368;6526;6841;6920;9474,Constraint materially changes composition.
A2,Emerging Score only,20,16,0.6666666666666666,"{""Emerging Core"": 8, ""Transformation Core"": 7, ""Buffett Core"": 5}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1, ""Iron and Steel"": 1, ""Real Estate"": 1, ""Glass and Ceramics Products"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""quality_assurance"": 2, ""business_data"": 1, ""cybersecurity"": 1, ""optical_communication"": 1}",2326;3489;5214;5603,3863;5233;8037;9474,Constraint materially changes composition.
A3,Evidence Level disabled,20,13,0.48148148148148145,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Machinery"": 5, ""Information & Communication"": 5, ""Electric Appliances"": 4, ""Retail Trade"": 2, ""Services"": 2, ""Other Products"": 1, ""Nonferrous Metals"": 1}","{""quality_assurance"": 4, ""semiconductor"": 4, ""non_ai"": 3, ""factory_automation"": 2, ""business_data"": 2, ""cybersecurity"": 2, ""precision_processing"": 1, ""cooling"": 1, ""optical_communication"": 1}",2326;3692;4751;6146;6367;7735;9612,2112;3089;3863;5233;5902;8037;9828,Constraint materially changes composition.
A4,Value Trap Penalty disabled,20,16,0.6666666666666666,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 1, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Metal Products"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1, ""Pulp and Paper"": 1, ""Foods"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""business_data"": 2, ""optical_communication"": 1, ""cooling"": 1, ""quality_assurance"": 1}",2613;6367;7735;9507,2112;3089;6315;6920,Constraint materially changes composition.
A5,Theme Hype Penalty disabled,20,13,0.48148148148148145,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Other Products"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Nonferrous Metals"": 1, ""Precision Instruments"": 1, ""Electric Power and Gas"": 1, ""Textiles and Apparels"": 1, ""Foods"": 1}","{""non_ai"": 10, ""semiconductor"": 3, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""optical_communication"": 1}",2267;7453;7747;7832;7936;8016;9507,2112;3089;3863;5233;5902;8037;9828,Constraint materially changes composition.
A6,Phase2 Confidence disabled,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,Constraint materially changes composition.
A7,sector cap removed,20,13,0.48148148148148145,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Machinery"": 5, ""Retail Trade"": 4, ""Information & Communication"": 4, ""Electric Appliances"": 4, ""Other Products"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1}","{""non_ai"": 7, ""semiconductor"": 4, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""cybersecurity"": 1, ""precision_processing"": 1, ""cooling"": 1}",2326;6146;6367;7550;7735;8050;9507,2112;3089;3863;5233;5803;5902;8037,Constraint materially changes composition.
A8,Top100 only,20,7,0.21212121212121213,"{""Transformation Core"": 13, ""Buffett Core"": 5, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Foods"": 3, ""Glass and Ceramics Products"": 2, ""Electric Power and Gas"": 2, ""Machinery"": 1, ""Other Products"": 1, ""Information & Communication"": 1, ""Pulp and Paper"": 1, ""Iron and Steel"": 1, ""Fishery, Agriculture and Forestry"": 1, ""Mining"": 1, ""Transportation Equipment"": 1, ""Rubber Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 18, ""factory_automation"": 1, ""business_data"": 1}",1333;1662;2212;2220;2602;5105;5393;5406,2112;3089;3697;5803;5902;6315;6368;6526,Constraint materially changes composition.
A9,Top300 only,20,12,0.42857142857142855,"{""Transformation Core"": 8, ""Buffett Core"": 5, ""Dual Moat"": 3, ""Emerging Core"": 2, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Information & Communication"": 3, ""Machinery"": 2, ""Electric Appliances"": 2, ""Pulp and Paper"": 2, ""Other Products"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Iron and Steel"": 1, ""Foods"": 1, ""Fishery, Agriculture and Forestry"": 1}","{""non_ai"": 13, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 1, ""semiconductor"": 1, ""cooling"": 1}",1333;2220;3865;5406;6367;8050;8278;9507,2112;3089;5803;5902;6315;6368;6920;9828,Constraint materially changes composition.
A10,Top1200 all,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,Constraint materially changes composition.
A11,Buffett Core not fixed,20,11,0.3793103448275862,"{""Transformation Core"": 10, ""Emerging Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Information & Communication"": 3, ""Electric Appliances"": 3, ""Machinery"": 3, ""Retail Trade"": 3, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1, ""Iron and Steel"": 1, ""Real Estate"": 1}","{""non_ai"": 10, ""quality_assurance"": 2, ""semiconductor"": 2, ""factory_automation"": 1, ""business_data"": 1, ""cybersecurity"": 1, ""precision_processing"": 1, ""cooling"": 1, ""optical_communication"": 1}",2326;3489;5603;6146;6367;7550;8050;8278,3539;3863;4350;5233;6315;6430;7803;8037,Constraint materially changes composition.
A12,Dual Moat slots zero,20,16,0.6666666666666666,"{""Transformation Core"": 8, ""Buffett Core"": 5, ""Emerging Core"": 5, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Nonferrous Metals"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1, ""Foods"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""cooling"": 1, ""optical_communication"": 1}",6367;7832;8050;9507,3863;5233;6315;8037,Constraint materially changes composition.
A13,Bridge slots zero,20,16,0.6666666666666666,"{""Transformation Core"": 7, ""Buffett Core"": 5, ""Emerging Core"": 5, ""Dual Moat"": 3}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Precision Instruments"": 1, ""Glass and Ceramics Products"": 1, ""Metal Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7832;8050;9507,2112;3863;6315;8037,Constraint materially changes composition.
A14,Emerging Evidence Level >=2 disabled,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,Constraint materially changes composition.
A15,Transformation Reform Evidence disabled,20,15,0.6,"{""Buffett Core"": 5, ""Emerging Core"": 5, ""Transformation Core"": 5, ""Dual Moat"": 3, ""Bridge / Diversifier"": 2}","{""Retail Trade"": 3, ""Machinery"": 3, ""Information & Communication"": 3, ""Electric Appliances"": 3, ""Other Products"": 2, ""Precision Instruments"": 2, ""Nonferrous Metals"": 1, ""Electric Power and Gas"": 1, ""Glass and Ceramics Products"": 1, ""Wholesale Trade"": 1}","{""non_ai"": 10, ""factory_automation"": 2, ""business_data"": 2, ""quality_assurance"": 2, ""semiconductor"": 2, ""precision_processing"": 1, ""optical_communication"": 1}",6146;7747;7832;8050;9507,2112;3089;3863;5902;6315,Constraint materially changes composition.
