code,company_name,role,target_weight,target_yen,latest_price,lot_size,purchasable_shares,actual_yen,actual_weight,weight_diff,sector,theme,allocation_status,allocation_note,lot_size_assumption_flag,lot_size_assumption,needs_human_verification,cash_remaining_after_plan
3539,"JM HOLDINGS CO.,LTD.",Buffett Core,0.05,250000,1248.0,100,100,124800,0.02496,-0.025040000000000003,Retail Trade,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
6430,"DAIKOKU DENKI CO.,LTD.",Buffett Core,0.05,250000,2085.0,100,100,208500,0.0417,-0.008300000000000002,Machinery,factory_automation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
7803,Bushiroad Inc.,Buffett Core,0.05,250000,258.0,100,100,25800,0.00516,-0.044840000000000005,Other Products,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
9470,"GAKKEN HOLDINGS CO.,LTD.",Buffett Core,0.05,250000,941.0,100,100,94100,0.01882,-0.031180000000000003,Information & Communication,business_data,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
4350,"MEDICAL SYSTEM NETWORK Co.,Ltd.",Buffett Core,0.05,250000,514.0,100,100,51400,0.01028,-0.039720000000000005,Retail Trade,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
3697,SHIFT Inc.,Dual Moat,0.049999999999999996,250000,727.2000122070312,100,100,72720,0.014544,-0.035455999999999994,Information & Communication,quality_assurance,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
6841,YOKOGAWA ELECTRIC CORPORATION,Dual Moat,0.049999999999999996,250000,5077.0,100,0,0,0.0,-0.049999999999999996,Electric Appliances,factory_automation,not_purchasable_under_8pct_cap,"one 100-share lot costs 507,700 yen, above 8% cap",True,100,True,2626980
9474,"ZENRIN CO.,LTD.",Dual Moat,0.049999999999999996,250000,870.0,100,100,87000,0.0174,-0.0326,Information & Communication,business_data,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
6368,ORGANO CORPORATION,Emerging Core,0.05,250000,15750.0,100,0,0,0.0,-0.05,Machinery,semiconductor,not_purchasable_under_8pct_cap,"one 100-share lot costs 1,575,000 yen, above 8% cap",True,100,True,2626980
6315,TOWA CORPORATION,Emerging Core,0.05,250000,2888.0,100,100,288800,0.05776,0.007759999999999996,Machinery,semiconductor,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
6920,Lasertec Corporation,Emerging Core,0.05,250000,38380.0,100,0,0,0.0,-0.05,Electric Appliances,quality_assurance,not_purchasable_under_8pct_cap,"one 100-share lot costs 3,838,000 yen, above 8% cap",True,100,True,2626980
6526,Socionext Inc.,Emerging Core,0.05,250000,2862.0,100,100,286200,0.05724,0.0072399999999999964,Electric Appliances,semiconductor,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
5803,Fujikura Ltd.,Emerging Core,0.05,250000,4677.0,100,0,0,0.0,-0.05,Nonferrous Metals,optical_communication,not_purchasable_under_8pct_cap,"one 100-share lot costs 467,700 yen, above 8% cap",True,100,True,2626980
5902,HOKKAN HOLDINGS LIMITED,Transformation Core,0.05,250000,2220.0,100,100,222000,0.0444,-0.005600000000000001,Metal Products,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
9828,Genki Global Dining Concepts Corporation,Transformation Core,0.05,250000,2754.0,100,100,275400,0.05508,0.005079999999999994,Retail Trade,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
5233,TAIHEIYO CEMENT CORPORATION,Transformation Core,0.05,250000,4458.0,100,0,0,0.0,-0.05,Glass and Ceramics Products,non_ai_or_transformation,not_purchasable_under_8pct_cap,"one 100-share lot costs 445,800 yen, above 8% cap",True,100,True,2626980
8037,KAMEI CORPORATION,Transformation Core,0.05,250000,3460.0,100,100,346000,0.0692,0.019199999999999995,Wholesale Trade,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
3863,"Nippon Paper Industries Co.,Ltd.",Transformation Core,0.05,250000,1224.0,100,100,122400,0.02448,-0.025520000000000004,Pulp and Paper,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
3089,"Techno Alpha Co.,Ltd.",Bridge / Diversifier,0.05,250000,1252.0,100,100,125200,0.02504,-0.024960000000000003,Wholesale Trade,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
2112,"Ensuiko Sugar Refining Co.,Ltd.",Bridge / Diversifier,0.05,250000,427.0,100,100,42700,0.00854,-0.041460000000000004,Foods,non_ai_or_transformation,one_lot_executable_under_assumption,100-share lot assumed; verify exchange unit,True,100,True,2626980
