code,curated_evidence_flag,systematic_screening_flag,emerging_disclosure_level,emerging_evidence_source,emerging_evidence_snippet,emerging_evidence_category,emerging_keyword_hits,emerging_quantitative_evidence_flag,emerging_product_customer_evidence_flag,emerging_keyword_only_flag,theme_hype_penalty_reason
7261,False,False,0,,no verified company disclosure,,{},False,False,False,none
7211,False,False,0,,no verified company disclosure,,{},False,False,False,none
9533,False,False,0,,no verified company disclosure,,{},False,False,False,none
9507,False,False,0,,no verified company disclosure,,{},False,False,False,none
7419,False,False,0,,no verified company disclosure,,{},False,False,False,none
8012,False,False,0,,no verified company disclosure,,{},False,False,False,none
2695,False,False,0,,no verified company disclosure,,{},False,False,False,none
4022,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
1333,False,False,0,,no verified company disclosure,,{},False,False,False,none
1515,False,False,0,,no verified company disclosure,,{},False,False,False,none
8111,False,False,0,,no verified company disclosure,,{},False,False,False,none
9684,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
6745,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""sensor"", ""control""]}",False,False,True,keyword-only systematic hit
9831,False,False,0,,no verified company disclosure,,{},False,False,False,none
8273,False,False,0,,no verified company disclosure,,{},False,False,False,none
5021,False,False,0,,no verified company disclosure,,{},False,False,False,none
1909,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
6454,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,factory_automation,"{""factory_automation"": [""automation"", ""inspection""]}",False,False,True,keyword-only systematic hit
8060,False,False,0,,no verified company disclosure,,{},False,False,False,none
1911,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
3028,False,False,0,,no verified company disclosure,,{},False,False,False,none
2602,False,False,0,,no verified company disclosure,,{},False,False,False,none
2791,False,False,0,,no verified company disclosure,,{},False,False,False,none
9682,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,business_data,"{""business_data"": [""business data"", ""software""]}",False,False,True,keyword-only systematic hit
5105,False,False,0,,no verified company disclosure,,{},False,False,False,none
9997,False,False,0,,no verified company disclosure,,{},False,False,False,none
5406,False,False,0,,no verified company disclosure,,{},False,False,False,none
8276,False,False,0,,no verified company disclosure,,{},False,False,False,none
1414,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
3382,False,False,0,,no verified company disclosure,,{},False,False,False,none
3863,False,False,0,,no verified company disclosure,,{},False,False,False,none
4204,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,semiconductor,"{""semiconductor"": [""materials""]}",False,False,True,keyword-only systematic hit
8278,False,False,0,,no verified company disclosure,,{},False,False,False,none
1723,False,True,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: power_grid,power_grid,"{""power_grid"": [""infrastructure""]}",False,False,True,keyword-only systematic hit
