code,ticker,company_name,sector,transformation_quant_evidence_level,transformation_reform_disclosure_level,transformation_shareholder_return_evidence_level,emerging_disclosure_level,final_evidence_level,emerging_evidence_source,emerging_evidence_snippet,curated_evidence_flag,systematic_screening_flag
7261,7261.T,Mazda Motor Corporation,Transportation Equipment,2,1,1,0,2,,no verified company disclosure,False,False
7211,7211.T,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,1,1,1,0,1,,no verified company disclosure,False,False
9533,9533.T,"TOHO GAS CO.,LTD.",Electric Power and Gas,2,1,1,0,2,,no verified company disclosure,False,False
9507,9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,3,1,1,0,3,,no verified company disclosure,False,False
7419,7419.T,"Nojima Co.,Ltd.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
8012,8012.T,"NAGASE & CO.,LTD.",Wholesale Trade,3,1,1,0,3,,no verified company disclosure,False,False
2695,2695.T,"Kura Sushi,Inc.",Retail Trade,3,1,1,0,3,,no verified company disclosure,False,False
4022,4022.T,"Rasa Industries,Ltd.",Chemicals,2,1,1,1,2,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: semiconductor,False,True
1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",2,1,1,0,2,,no verified company disclosure,False,False
1515,1515.T,"Nittetsu Mining Co.,Ltd.",Mining,1,1,1,0,1,,no verified company disclosure,False,False
8111,8111.T,Goldwin Inc.,Textiles and Apparels,1,1,1,0,1,,no verified company disclosure,False,False
9684,9684.T,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,1,1,1,1,1,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: business_data,False,True
6745,6745.T,HOCHIKI CORPORATION,Electric Appliances,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
9831,9831.T,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
8273,8273.T,"IZUMI CO.,LTD.",Retail Trade,1,1,1,0,1,,no verified company disclosure,False,False
5021,5021.T,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,1,1,1,0,1,,no verified company disclosure,False,False
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
6454,6454.T,"MAX CO.,LTD.",Machinery,3,1,1,1,3,systematic_keyword_screen_from_phase2_fields,Systematic keyword/sector screen: factory_automation,False,True
