code,company_name,transformation_score_type,shareholder_return_data_available,reform_disclosure_data_available,fcf_proxy_available,transformation_fullness_score,transformation_fullness_note
7261,Mazda Motor Corporation,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7211,MITSUBISHI MOTORS CORPORATION,lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
9533,"TOHO GAS CO.,LTD.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9507,"Shikoku Electric Power Company,Incorporated",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7419,"Nojima Co.,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8012,"NAGASE & CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2695,"Kura Sushi,Inc.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4022,"Rasa Industries,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1333,Umios Corporation,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1515,"Nittetsu Mining Co.,Ltd.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
8111,Goldwin Inc.,lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
9684,"SQUARE ENIX HOLDINGS CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
6745,HOCHIKI CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9831,"YAMADA HOLDINGS CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
8273,"IZUMI CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
1909,"Nippon Dry-Chemical CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6454,"MAX CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8060,Canon Marketing Japan Inc.,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1911,"Sumitomo Forestry Co.,Ltd.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
3028,"Alpen Co.,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2602,"The Nisshin OilliO Group,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2791,"DAIKOKUTENBUSSAN CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9682,DTS CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5105,Toyo Tire Corporation,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9997,"BELLUNA CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5406,"Kobe Steel,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8276,"HEIWADO CO.,LTD.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1414,"SHO-BOND Holdings Co.,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3382,"Seven & i Holdings Co.,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3863,"Nippon Paper Industries Co.,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4204,"Sekisui Chemical Co.,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8278,"FUJI CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1723,"NIHON DENGI CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2121,"MIXI,Inc.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1662,"Japan Petroleum Exploration Co.,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9956,"VALOR HOLDINGS CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7516,"KOHNAN SHOJI CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
4922,KOSE Holdings Corporation,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2212,"YAMAZAKI BAKING CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3608,"TSI HOLDINGS CO.,LTD.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6457,GLORY LTD.,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3405,"KURARAY CO.,LTD.",lite,False,True,True,0.35,lite: payout/reform data absent and financial proxy insufficient
2220,"KAMEDA SEIKA CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3539,"JM HOLDINGS CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8016,"ONWARD HOLDINGS CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9101,Nippon Yusen Kabushiki Kaisha,lite,False,True,True,0.35,lite: payout/reform data absent and financial proxy insufficient
6196,"Strike Group Co.,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4118,KANEKA CORPORATION,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6648,KAWADEN CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2730,EDION Corporation,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1861,"Kumagai Gumi Co.,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4202,Daicel Corporation,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5233,TAIHEIYO CEMENT CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6440,JUKI CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
1961,"SANKI ENGINEERING CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6417,"SANKYO CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7917,ZACROS Corporation,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5393,NICHIAS CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7649,"SUGI HOLDINGS Co.,LTD.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
7552,HAPPINET CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4318,"QUICK CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
2664,CAWACHI LIMITED,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8194,LIFE CORPORATION,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6369,TOYO KANETSU K.K.,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8218,"KOMERI CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
9104,"Mitsui O.S.K.Lines,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5410,"Godo Steel,Ltd.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6770,"ALPS ALPINE CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2267,"YAKULT HONSHA CO.,LTD.",lite,False,True,True,0.35,lite: payout/reform data absent and financial proxy insufficient
6430,"DAIKOKU DENKI CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6676,BUFFALO INC.,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3391,TSURUHA HOLDINGS INC.,lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
7803,Bushiroad Inc.,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4569,"KYORIN Pharmaceutical Co.,Ltd.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
5463,Maruichi Steel Tube Ltd.,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6104,"SHIBAURA MACHINE CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
9274,"KPP GROUP HOLDINGS CO.,LTD.",partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
8242,H2O RETAILING CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4849,en Inc.,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
6310,"ISEKI & CO.,LTD.",partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
4633,SAKATA INX CORPORATION,partial,False,True,True,0.8,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
2681,GEO HOLDINGS CORPORATION,partial,False,True,True,0.6499999999999999,quantitative improvement plus FCF proxy available; formal payout/reform fields still missing
3333,"ASAHI CO.,LTD.",lite,False,True,True,0.5,lite: payout/reform data absent and financial proxy insufficient
3861,Oji Holdings Corporation,lite,False,True,True,0.35,lite: payout/reform data absent and financial proxy insufficient
