code,社名,役割,自己申告,主題水準(実測),変革水準(実測),URL+引用,確認すべき軸,水準2/3の条件,ai_infrastructure_category,emerging_evidence_level,evidence_snippet,evidence_source,source_type,確認日,担当
3092,株式会社ＺＯＺＯ,守 完成した堀,3,0,1,未,価格支配力・堀の源泉,水準2=製品/サービスの独占的地位や乗り換え負担を示す記述。水準3=シェア・単価・継続率などの数字,,,,,,,
4716,日本オラクル株式会社,守 完成した堀,3,1,3,未,価格支配力・堀の源泉,水準2=製品/サービスの独占的地位や乗り換え負担を示す記述。水準3=シェア・単価・継続率などの数字,,,,,,,
7014,株式会社名村造船所,守 完成した堀,2,0,3,未,価格支配力・堀の源泉,水準2=製品/サービスの独占的地位や乗り換え負担を示す記述。水準3=シェア・単価・継続率などの数字,,,,,,,
8136,株式会社サンリオ,守 完成した堀,3,0,3,未,価格支配力・堀の源泉,水準2=製品/サービスの独占的地位や乗り換え負担を示す記述。水準3=シェア・単価・継続率などの数字,,,,,,,
6920,レーザーテック株式会社,守 完成した堀,3,2,3,済,価格支配力・堀の源泉,水準2=製品/サービスの独占的地位や乗り換え負担を示す記述。水準3=シェア・単価・継続率などの数字,,,,,,,
9022,東海旅客鉄道株式会社,破 変わる堀,3,未採点,未採点,未,変革の実行,水準2=中期経営計画/改革開示で具体的な施策。水準3=ROE・還元・設備投資の数値目標と進捗,,,,,,,
9513,電源開発株式会社,破 変わる堀,2,未採点,未採点,未,変革の実行,水準2=中期経営計画/改革開示で具体的な施策。水準3=ROE・還元・設備投資の数値目標と進捗,,,,,,,
9503,関西電力株式会社,破 変わる堀,2,未採点,未採点,未,変革の実行,水準2=中期経営計画/改革開示で具体的な施策。水準3=ROE・還元・設備投資の数値目標と進捗,,,,,,,
1662,石油資源開発株式会社,破 変わる堀,2,0,2,未,変革の実行,水準2=中期経営計画/改革開示で具体的な施策。水準3=ROE・還元・設備投資の数値目標と進捗,,,,,,,
5214,日本電気硝子株式会社,破 変わる堀,2,0,3,未,変革の実行,水準2=中期経営計画/改革開示で具体的な施策。水準3=ROE・還元・設備投資の数値目標と進捗,,,,,,,
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ株,離 生まれる堀,3,1,3,未,ＡＩ実需への接続,水準2=製品名/顧客名/投資計画の特定。水準3=売上・受注・投資額の数字,,,,,,,
6871,株式会社日本マイクロニクス,離 生まれる堀,3,1,3,未,ＡＩ実需への接続,水準2=製品名/顧客名/投資計画の特定。水準3=売上・受注・投資額の数字,,,,,,,
6590,芝浦メカトロニクス株式会社,離 生まれる堀,2,1,1,未,ＡＩ実需への接続,水準2=製品名/顧客名/投資計画の特定。水準3=売上・受注・投資額の数字,,,,,,,
6387,サムコ　株式会社,離 生まれる堀,2,1,3,未,ＡＩ実需への接続,水準2=製品名/顧客名/投資計画の特定。水準3=売上・受注・投資額の数字,,,,,,,
6627,株式会社テラプローブ,離 生まれる堀,2,1,2,未,ＡＩ実需への接続,水準2=製品名/顧客名/投資計画の特定。水準3=売上・受注・投資額の数字,,,,,,,
6861,株式会社キーエンス,両立型,3,1,2,未,現在+未来の両方,式(12)はminで判定 → 変革とＡＩ実需の両方が水準2以上必要,,,,,,,
7725,株式会社インターアクション,両立型,2,未採点,未採点,未,現在+未来の両方,式(12)はminで判定 → 変革とＡＩ実需の両方が水準2以上必要,,,,,,,
6929,日本セラミック株式会社,両立型,3,1,3,未,現在+未来の両方,式(12)はminで判定 → 変革とＡＩ実需の両方が水準2以上必要,,,,,,,
3449,株式会社テクノフレックス,分散役,2,未採点,未採点,未,支え役としての安定,水準2=ニッチでの地位を示す記述。水準3=シェア/取引継続の数字,,,,,,,
4971,メック株式会社,分散役,2,1,3,未,支え役としての安定,水準2=ニッチでの地位を示す記述。水準3=シェア/取引継続の数字,,,,,,,
