code,company_name,sector,rejection_reason_category,reason_source
7261,Mazda Motor Corporation,Transportation Equipment,already_represented_by_better_candidate,audited
7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,already_represented_by_better_candidate,audited
9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,already_represented_by_better_candidate,audited
9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,already_represented_by_better_candidate,audited
7419,"Nojima Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
8012,"NAGASE & CO.,LTD.",Wholesale Trade,already_represented_by_better_candidate,audited
2695,"Kura Sushi,Inc.",Retail Trade,already_represented_by_better_candidate,audited
4022,"Rasa Industries,Ltd.",Chemicals,ai_keyword_only,audited
1333,Umios Corporation,"Fishery, Agriculture and Forestry",already_represented_by_better_candidate,audited
1515,"Nittetsu Mining Co.,Ltd.",Mining,already_represented_by_better_candidate,audited
8111,Goldwin Inc.,Textiles and Apparels,already_represented_by_better_candidate,audited
9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,ai_keyword_only,audited
6745,HOCHIKI CORPORATION,Electric Appliances,ai_keyword_only,audited
9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
8273,"IZUMI CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,already_represented_by_better_candidate,audited
1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,ai_keyword_only,audited
6454,"MAX CO.,LTD.",Machinery,ai_keyword_only,audited
8060,Canon Marketing Japan Inc.,Wholesale Trade,already_represented_by_better_candidate,audited
1911,"Sumitomo Forestry Co.,Ltd.",Construction,ai_keyword_only,audited
3028,"Alpen Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
2602,"The Nisshin OilliO Group,Ltd.",Foods,already_represented_by_better_candidate,audited
2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
9682,DTS CORPORATION,Information & Communication,ai_keyword_only,audited
5105,Toyo Tire Corporation,Rubber Products,already_represented_by_better_candidate,audited
9997,"BELLUNA CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
5406,"Kobe Steel,Ltd.",Iron and Steel,already_represented_by_better_candidate,audited
8276,"HEIWADO CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
1414,"SHO-BOND Holdings Co.,Ltd.",Construction,ai_keyword_only,audited
3382,"Seven & i Holdings Co.,Ltd.",Retail Trade,already_represented_by_better_candidate,audited
4204,"Sekisui Chemical Co.,Ltd.",Chemicals,ai_keyword_only,audited
8278,"FUJI CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
1723,"NIHON DENGI CO.,LTD.",Construction,ai_keyword_only,audited
2121,"MIXI,Inc.",Information & Communication,ai_keyword_only,audited
1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,already_represented_by_better_candidate,audited
9956,"VALOR HOLDINGS CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
7516,"KOHNAN SHOJI CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
4922,KOSE Holdings Corporation,Chemicals,ai_keyword_only,audited
2212,"YAMAZAKI BAKING CO.,LTD.",Foods,already_represented_by_better_candidate,audited
3608,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,value_trap_risk,audited
6457,GLORY LTD.,Machinery,ai_keyword_only,audited
3405,"KURARAY CO.,LTD.",Chemicals,low_pbr_only,audited
2220,"KAMEDA SEIKA CO.,LTD.",Foods,already_represented_by_better_candidate,audited
2918,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods,already_represented_by_better_candidate,audited
8016,"ONWARD HOLDINGS CO.,LTD.",Textiles and Apparels,already_represented_by_better_candidate,audited
9101,Nippon Yusen Kabushiki Kaisha,Marine Transportation,low_pbr_only,audited
6196,"Strike Group Co.,Ltd.",Services,ai_keyword_only,audited
4118,KANEKA CORPORATION,Chemicals,ai_keyword_only,audited
6648,KAWADEN CORPORATION,Electric Appliances,ai_keyword_only,audited
2730,EDION Corporation,Retail Trade,already_represented_by_better_candidate,audited
1861,"Kumagai Gumi Co.,Ltd.",Construction,ai_keyword_only,audited
4202,Daicel Corporation,Chemicals,ai_keyword_only,audited
6440,JUKI CORPORATION,Machinery,ai_keyword_only,audited
1961,"SANKI ENGINEERING CO.,LTD.",Construction,ai_keyword_only,audited
6417,"SANKYO CO.,LTD.",Machinery,ai_keyword_only,audited
7917,ZACROS Corporation,Chemicals,ai_keyword_only,audited
5393,NICHIAS CORPORATION,Glass and Ceramics Products,already_represented_by_better_candidate,audited
7649,"SUGI HOLDINGS Co.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
7552,HAPPINET CORPORATION,Wholesale Trade,already_represented_by_better_candidate,audited
4318,"QUICK CO.,LTD.",Services,ai_keyword_only,audited
2664,CAWACHI LIMITED,Retail Trade,already_represented_by_better_candidate,audited
8194,LIFE CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
6369,TOYO KANETSU K.K.,Machinery,ai_keyword_only,audited
8218,"KOMERI CO.,LTD.",Retail Trade,already_represented_by_better_candidate,audited
9104,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,already_represented_by_better_candidate,audited
5410,"Godo Steel,Ltd.",Iron and Steel,already_represented_by_better_candidate,audited
6770,"ALPS ALPINE CO.,LTD.",Electric Appliances,ai_keyword_only,audited
2267,"YAKULT HONSHA CO.,LTD.",Foods,already_represented_by_better_candidate,audited
6676,BUFFALO INC.,Electric Appliances,ai_keyword_only,audited
3391,TSURUHA HOLDINGS INC.,Retail Trade,already_represented_by_better_candidate,audited
4569,"KYORIN Pharmaceutical Co.,Ltd.",Pharmaceutical,already_represented_by_better_candidate,audited
5463,Maruichi Steel Tube Ltd.,Iron and Steel,already_represented_by_better_candidate,audited
6104,"SHIBAURA MACHINE CO.,LTD.",Machinery,ai_keyword_only,audited
9274,"KPP GROUP HOLDINGS CO.,LTD.",Wholesale Trade,already_represented_by_better_candidate,audited
8242,H2O RETAILING CORPORATION,Retail Trade,already_represented_by_better_candidate,audited
4849,en Inc.,Services,ai_keyword_only,audited
6310,"ISEKI & CO.,LTD.",Machinery,ai_keyword_only,audited
4633,SAKATA INX CORPORATION,Chemicals,ai_keyword_only,audited
