code,company_name,company_name_ja,sector_33,scale_category,market_cap_repaired,avg_trading_value_60d,earnings_to_price,book_to_market,moat_p,change_p,future_p,price_p_repaired,price_p_asis,total_asis
6356,"NIPPON GEAR CO.,LTD.",日本ギア工業株式会社,Machinery,,21242051600.0,5332541846.666667,0.07298730034155458,0.5913543680498357,81.46846119755342,83.42875481386393,88.18135506877228,42.68976057055527,98.06418746816098,87.78568963708766
6419,Mars Group Holdings Corporation,株式会社マースグループホールディングス,Machinery,TOPIX Small 1,54922062800.0,281123513.3333333,0.1587026516418462,1.4243868130896205,86.65838312381847,95.76681364067645,88.18135506877228,84.46255731023942,51.069791136016306,80.41908574232087
6524,"KOHOKU KOGYO CO.,LTD.",湖北工業株式会社,Electric Appliances,,157246992000.0,1717554650.0,0.01902739099772414,0.14907121402996376,85.81450864720179,78.56862197912596,100.0,5.858380030565461,51.069791136016306,78.86323044058602
7747,"ASAHI INTECC CO.,LTD.",朝日インテック株式会社,Precision Instruments,TOPIX Mid400,997775300000.0,3720063671.6666665,0.021710298901967205,0.15169146800887937,87.66987746803107,78.52028799464196,95.72083545593479,6.571574121242995,51.069791136016306,78.24519801365604
7014,"Namura Shipbuilding Co.,Ltd.",株式会社名村造船所,Transportation Equipment,TOPIX Small 1,244551989775.0,5842217641.666667,0.10849226794028853,0.42993720924837237,77.19114552527013,86.76505553385053,47.809475292919004,48.904737646459495,97.91136016301579,77.41925912876385
4369,Tri Chemical Laboratories Inc.,株式会社　トリケミカル研究所,Chemicals,TOPIX Small 1,135836791200.0,2472853603.3333335,0.04060196027363167,0.2661248891456441,83.98840597158325,94.62449070714963,78.62964849719816,15.155374426897605,51.069791136016306,77.07808407798683
5132,"pluszero,Inc.",株式会社ｐｌｕｓｚｅｒｏ,Information & Communication,,11873460900.0,162455711.66666666,0.030870948503312963,0.12766201975701963,93.39564681490623,95.16506669643356,66.17422312786552,8.405501782985226,51.069791136016306,76.4511819438054
4971,MEC COMPANY LTD.,メック株式会社,Chemicals,TOPIX Small 1,204118932300.0,2863908933.3333335,0.02825248954136333,0.14928584848373713,83.56725820968958,91.43656862197912,78.62964849719816,8.074375955170657,51.069791136016306,76.1758166162208
6814,"FURUNO ELECTRIC CO.,LTD.",古野電気株式会社,Electric Appliances,TOPIX Small 1,192814009400.0,2906114066.6666665,0.08701131236369591,0.4655885756400852,74.27414318423092,81.88315566222023,95.72083545593479,43.78502292409577,51.069791136016306,75.73698135960056
3923,"RAKUS Co.,Ltd.",株式会社ラクス,Information & Communication,TOPIX Mid400,188239578200.0,2854616212.4676514,0.04251496989382863,0.11675015536132348,85.76313165144742,97.23117709437963,66.17422312786552,12.328069281711665,51.069791136016306,75.05958075242722
7760,IMV CORPORATION,ＩＭＶ株式会社,Precision Instruments,,39971486592.0,411799275.0,0.04840950800131802,0.29731193441222914,70.43921206860169,81.69283362170006,95.72083545593479,19.307182883341824,51.069791136016306,74.73066807056321
3350,Metaplanet Inc.,株式会社メタプラネット,Wholesale Trade,,343928121800.0,9350779301.666666,-0.2763542553675528,1.5405573618900272,74.46983841121246,99.94717307584975,22.69485481406011,42.12939378502292,98.21701477330616,73.83222026860712
9024,SEIBU HOLDINGS INC.,株式会社西武ホールディングス,Land Transportation,TOPIX Mid400,740179722630.0,5192218363.333333,0.3491760069860697,0.7662031026530771,75.84156570728183,98.54950605570129,22.69485481406011,71.11563932755986,96.94345389709628,73.50734511853489
3449,TECHNOFLEX CORPORATION,株式会社テクノフレックス,Metal Products,,125215073000.0,702634568.3333334,0.02494254825056086,0.20515115620305552,75.59396187059303,82.75020929843166,78.62964849719816,8.558329088130414,51.069791136016306,72.0109027005598
5214,"Nippon Electric Glass Co.,Ltd.",日本電気硝子株式会社,Glass and Ceramics Products,TOPIX Mid400,518172847248.0,4979816046.666667,0.06086193085471775,0.9575588582751914,62.402002339175816,74.47270748451191,46.23025980641874,49.15944982170148,97.50382068262863,70.15219757818377
9554,"AViC Co.,Ltd.",株式会社ＡＶｉＣ,Services,,10649687400.0,75050536.66666667,0.050671346466000494,0.2219356222606121,82.3438272208326,92.53772953061338,54.3555781966378,17.95720835455935,51.069791136016306,70.07673152102501
5985,SUNCALL CORPORATION,サンコール株式会社,Metal Products,TOPIX Small 2,51317495178.0,4600344573.333333,-0.04452672508808629,0.5181858527537815,17.035297988023498,85.02104146899592,78.62964849719816,14.798777381558839,98.98115129903209,69.91678481331242
5729,"NIHON SEIKO CO.,LTD",日本精鉱株式会社,Nonferrous Metals,,3778631200.0,151225580.0,0.6499922511622728,3.157979799669256,54.23788694356672,95.3062175587431,78.62964849719816,98.08965868568518,51.069791136016306,69.81088603388108
6037,"RAKUMACHI,INC.",楽待株式会社,Services,,20079181200.0,62401283.333333336,0.058286938513209895,0.2982861671670158,96.02417242917072,77.17826645085674,54.3555781966378,24.09577177789098,51.069791136016306,69.65695205317039
8309,"Sumitomo Mitsui Trust Group,Inc.",三井住友トラストグループ株式会社,Banks,TOPIX Large70,3897087781440.0,12596604166.666666,0.06649529457205267,0.8024753804350887,61.26796039026355,92.2410280738963,22.69485481406011,46.40855832908814,98.9302088639837,68.78351303555092
