code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1301,2023,7042000000.0,37317000000.0,18912000000.0,338000000.0,2292000000.0,2264000000.0,41641000000.0,29816000000.0,ok,71457000000.0
1301,2024,8452000000.0,42176000000.0,21670000000.0,365000000.0,5623000000.0,2427000000.0,50245000000.0,28975000000.0,ok,79220000000.0
1301,2025,7514000000.0,47725000000.0,28588000000.0,332000000.0,8124000000.0,2624000000.0,51719000000.0,35604000000.0,ok,87323000000.0
1332,2023,14245000000.0,137621000000.0,149017000000.0,4698000000.0,9929000000.0,20422000000.0,115835000000.0,104913000000.0,ok,220748000000.0
1332,2024,19533000000.0,154715000000.0,166308000000.0,4356000000.0,13580000000.0,22231000000.0,112102000000.0,109729000000.0,ok,221831000000.0
1332,2025,18686000000.0,171996000000.0,180939000000.0,4985000000.0,11735000000.0,25078000000.0,129110000000.0,95832000000.0,ok,224942000000.0
1333,2023,33360000000.0,107313000000.0,148995000000.0,1652000000.0,30681000000.0,15083000000.0,174228000000.0,126910000000.0,ok,301138000000.0
1333,2024,36905000000.0,123113000000.0,152220000000.0,1810000000.0,18914000000.0,16216000000.0,167509000000.0,116841000000.0,ok,284350000000.0
1333,2025,48422000000.0,141324000000.0,158211000000.0,1843000000.0,22043000000.0,17328000000.0,138069000000.0,132842000000.0,ok,270911000000.0
1375,2023,854000000.0,6888000000.0,18627000000.0,348000000.0,1856000000.0,129000000.0,1540000000.0,16446000000.0,ok,17986000000.0
1375,2024,2607000000.0,6799000000.0,19633000000.0,338000000.0,2633000000.0,127000000.0,1431000000.0,16891000000.0,ok,18322000000.0
1375,2025,3727000000.0,6277000000.0,17777000000.0,377000000.0,2062000000.0,118000000.0,1431000000.0,15460000000.0,ok,16891000000.0
1376,2023,2114685000.0,19721047000.0,6785000000.0,840975000.0,399000000.0,454596000.0,,,ok,
1376,2024,3265897000.0,20541739000.0,7089293000.0,917905000.0,679000000.0,512117000.0,,,ok,
1376,2025,1608082000.0,21367459000.0,7864752000.0,942404000.0,1211000000.0,548835000.0,,,ok,
1377,2023,20334000000.0,108467000000.0,40369000000.0,9069000000.0,6225000000.0,3810000000.0,929000000.0,536000000.0,ok,1465000000.0
1377,2024,20264000000.0,121965000000.0,45865000000.0,10396000000.0,8010000000.0,4468000000.0,2559000000.0,1077000000.0,ok,3636000000.0
1377,2025,22445000000.0,126607000000.0,48763000000.0,10625000000.0,8496000000.0,4610000000.0,2281000000.0,587000000.0,ok,2868000000.0
1379,2023,12047000000.0,41943000000.0,63973000000.0,242000000.0,1069000000.0,7215000000.0,15909000000.0,14072000000.0,ok,29981000000.0
1379,2024,13638000000.0,44194000000.0,60691000000.0,671000000.0,1580000000.0,6180000000.0,17167000000.0,15118000000.0,ok,32285000000.0
1379,2025,15069000000.0,47044000000.0,56796000000.0,732000000.0,1640000000.0,5563000000.0,10379000000.0,12672000000.0,ok,23051000000.0
1380,2023,779750000.0,818392000.0,3122049000.0,27918000.0,-683851000.0,392744000.0,1499602000.0,1145099000.0,ok,2644701000.0
1380,2024,696356000.0,874992000.0,3867605000.0,30664000.0,1025000000.0,422398000.0,1676980000.0,1858069000.0,ok,3535049000.0
1380,2025,968035000.0,861486000.0,3875348000.0,30481000.0,495000000.0,488342000.0,1895603000.0,1713918000.0,ok,3609521000.0
1381,2023,6152000000.0,18654000000.0,10037000000.0,124000000.0,2309000000.0,1580000000.0,,35000000.0,ok,35000000.0
1381,2024,7115000000.0,19352000000.0,10918000000.0,119000000.0,2674000000.0,1759000000.0,,,ok,
1381,2025,7733000000.0,20519000000.0,10886000000.0,39000000.0,1774000000.0,1771000000.0,,48000000.0,ok,48000000.0
1382,2023,577913000.0,256069000.0,87345000.0,31372000.0,10033000.0,12457000.0,3996000.0,8012000.0,ok,12008000.0
1382,2024,351517000.0,237997000.0,91763000.0,34229000.0,22523000.0,18105000.0,3996000.0,4016000.0,ok,8012000.0
1382,2025,306105000.0,224626000.0,93041000.0,34580000.0,21198000.0,19707000.0,4016000.0,,ok,4016000.0
1383,2023,989493000.0,739022000.0,2596198000.0,102168000.0,66213000.0,275200000.0,943251000.0,1127571000.0,ok,2070822000.0
1383,2024,920359000.0,762857000.0,2567879000.0,103171000.0,247644000.0,259033000.0,916739000.0,1238325000.0,ok,2155064000.0
1383,2025,873211000.0,795082000.0,2922273000.0,109914000.0,640019000.0,292273000.0,970560000.0,1406721000.0,ok,2377281000.0
