code,company_name,sector_33,market_cap_repaired,moat_p,change_p,future_p,price_p_repaired,price_p_asis,total_repaired,total_asis
9022,Central Japan Railway Company,Land Transportation,3334933025200.0,68.3596751208641,80.75073952112518,22.69485481406011,82.80692817116659,99.9490575649516,63.653049406803994,67.93858175525025
7181,"JAPAN POST INSURANCE Co.,Ltd.",Insurance,538752626600.0,8.176260825267448,,45.6444218033622,97.27457972491084,99.8981151299032,50.36508745118016,51.23959925284428
9501,"Tokyo Electric Power Company Holdings,Incorporated",Electric Power and Gas,1978332118174.082,13.579500595676029,10.544538706256628,78.62964849719816,75.21650534895568,100.0,44.49254828702162,50.68842194978271
3449,TECHNOFLEX CORPORATION,Metal Products,125215073000.0,75.59396187059303,82.75020929843166,78.62964849719816,8.558329088130414,51.069791136016306,61.38303718858832,72.0109027005598
6777,santec Holdings Corporation,Electric Appliances,298481490000.0,89.3783720073216,87.40629011553273,95.72083545593479,4.151808456444218,3.413143148242486,69.16432650880833,68.97966018175791
6627,"Tera Probe,Inc.",Electric Appliances,100430880000.0,75.89913544865774,58.848160964447175,95.72083545593479,40.90677534386143,51.069791136016306,67.8437268032253,70.38448075126401
6524,"KOHOKU KOGYO CO.,LTD.",Electric Appliances,157246992000.0,85.81450864720179,78.56862197912596,100.0,5.858380030565461,51.069791136016306,67.56037766422331,78.86323044058602
6387,SAMCO INC.,Machinery,88758915050.0,79.58655616270232,60.987553719930794,88.18135506877228,5.985736118186448,51.069791136016306,58.685300267397956,69.95631402185542
8473,"SBI Holdings,Inc.",Securities and Commodities Futures,882103466577.0,55.46025101051907,97.13992297817714,22.69485481406011,41.645440652063165,99.74528782475802,54.23511736370487,68.76007915687859
6800,"YOKOWO CO.,LTD.",Electric Appliances,120516722260.0,40.951933535561786,23.09365407155216,95.72083545593479,14.391237901171678,51.069791136016306,43.5394152410551,52.70905354976626
9513,"Electric Power Development Co.,Ltd.",Electric Power and Gas,723769419600.0,49.1864496190217,8.210833286822572,78.62964849719816,89.1492613346918,99.43963321446765,56.29404818443356,58.86664115437752
8309,"Sumitomo Mitsui Trust Group,Inc.",Banks,3897087781440.0,61.26796039026355,92.2410280738963,22.69485481406011,46.40855832908814,98.9302088639837,55.65310040182703,68.78351303555092
8050,SEIKO GROUP CORPORATION,Precision Instruments,306377446620.0,47.500629771508564,63.51046492158285,95.72083545593479,25.369332654100866,51.069791136016306,58.02531570078177,64.45043032126063
6617,"TAKAOKA TOKO CO.,LTD.",Electric Appliances,132633832900.0,40.804887042696436,44.881258023106554,95.72083545593479,20.52980132450331,51.069791136016306,50.484195461560276,58.11919291443852
6356,"NIPPON GEAR CO.,LTD.",Machinery,21242051600.0,81.46846119755342,83.42875481386393,88.18135506877228,42.68976057055527,98.06418746816098,73.94208291268623,87.78568963708766
1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,25129170000.0,68.56966555396781,61.32533348216778,88.18135506877228,80.94752929190015,51.069791136016306,74.755970849202,67.28653631023104
4971,MEC COMPANY LTD.,Chemicals,204118932300.0,83.56725820968958,91.43656862197912,78.62964849719816,8.074375955170657,51.069791136016306,65.42696282100938,76.1758166162208
6278,UNION TOOL CO.,Machinery,401731752000.0,70.91974474844102,91.51219512195122,88.18135506877228,6.444218033622007,1.1716760061130922,64.26437824319663,62.946242736319405
9503,"The Kansai Electric Power Company,Incorporated",Electric Power and Gas,2549545368628.0,49.78082723604051,19.62030473851649,78.62964849719816,81.68619460010189,99.84717269485482,57.429243767964266,61.969488291652496
6941,"YAMAICHI ELECTRONICS CO.,LTD.",Electric Appliances,195570900000.0,80.97316914465821,18.372495395434502,95.72083545593479,8.787570045848192,2.954661232806928,50.963517510468925,49.50529030720861
6871,"MICRONICS JAPAN CO.,LTD.",Electric Appliances,562082582000.0,83.24324135712129,93.5704917117821,95.72083545593479,5.65461029037188,1.6811003565970453,69.5472947038025,68.5539172203588
6264,"Marumae Co.,Ltd.",Machinery,28325565100.0,68.60283285910373,93.12703019478707,88.18135506877228,18.644931227712686,51.069791136016306,67.13903733759393,75.24525231466984
6920,Lasertec Corporation,Electric Appliances,3461507552000.0,88.19548632642902,89.49598147011218,95.72083545593479,5.731023942944473,2.750891492613347,69.78583179885511,69.04079868627232
5985,SUNCALL CORPORATION,Metal Products,51317495178.0,17.035297988023498,85.02104146899592,78.62964849719816,14.798777381558839,98.98115129903209,48.871191333944104,69.91678481331242
6648,KAWADEN CORPORATION,Electric Appliances,5538332800.0,58.841133576479585,86.25495339621588,95.72083545593479,97.24910850738665,51.069791136016306,84.51650773400424,72.97167839116165
6327,"KITAGAWA SEIKI CO.,LTD.",Machinery,40559112000.0,45.60454189271335,16.649466986660713,88.18135506877228,3.9735099337748347,51.069791136016306,38.602218470480295,50.37628877104066
4368,"FUSO CHEMICAL CO.,LTD.",Chemicals,157775075000.0,82.43729648001681,22.07872411676062,78.62964849719816,45.262353540499234,51.069791136016306,57.10200565861871,58.55386505749797
6745,HOCHIKI CORPORATION,Electric Appliances,48405558000.0,71.27033979786474,69.42551766478763,95.72083545593479,80.82017320427917,51.069791136016306,79.30921653071658,71.87162101365087
9502,"Chubu Electric Power Company,Incorporated",Electric Power and Gas,2145658228050.0,28.146489493818287,49.089579728749236,78.62964849719816,74.09577177789097,99.38869077941925,57.490372374414164,63.81360212479623
1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,450096388340.0,87.47727306048186,46.727353909694706,22.69485481406011,82.5522159959246,99.54151808456444,59.86292444504032,64.11024996720028
6994,SHIZUKI ELECTRIC COMPANY INC.,Electric Appliances,32731131888.0,56.58581081880924,47.92468047106101,95.72083545593479,30.53998981151299,51.069791136016306,57.69282913932951,62.82527947045534
6834,"SEIKOH GIKEN Co.,Ltd.",Electric Appliances,246321999600.0,71.97545165719535,79.70982865435062,95.72083545593479,3.5914416709118693,1.3754457463066736,62.749389359598155,62.19539037844685
7762,"Citizen Watch Co.,Ltd.",Precision Instruments,564015042900.0,56.09134302168766,27.981079421778198,95.72083545593479,23.229750382068264,51.069791136016306,50.75575207036723,57.71576225885424
6492,OKANO VALVE MFG.CO.LTD.,Machinery,27381300000.0,63.6540967336004,23.47122844226154,88.18135506877228,17.626082526744778,51.069791136016306,48.233190692844744,56.59411784516263
6914,"OPTEX GROUP Company,Limited",Electric Appliances,156018595920.0,71.18045012615933,46.35954679912932,95.72083545593479,18.976057055527253,51.069791136016306,58.05922235918768,66.08265587930994
7999,"MUTOH HOLDINGS CO.,LTD.",Electric Appliances,34593940080.0,47.352049916574806,40.64851816710387,95.72083545593479,31.456953642384104,51.069791136016306,53.794589295499385,58.69779866890744
6741,"Nippon Signal Company,Limited",Electric Appliances,99170214360.0,50.81459760666492,75.87972316794107,95.72083545593479,62.96484971981661,51.069791136016306,71.34500148758934,68.37123684163927
6929,"NIPPON CERAMIC CO.,LTD.",Electric Appliances,84242401575.0,87.3557890657038,56.22835854216666,95.72083545593479,47.98777381558838,51.069791136016306,71.82318921984842,72.59369354995539
6785,"SUZUKI CO.,LTD.",Electric Appliances,49086918000.0,74.8658832860599,70.59756097560975,95.72083545593479,36.83138053998981,51.069791136016306,69.50391506439857,73.06351771340519
6824,"NEW COSMOS ELECTRIC CO.,LTD.",Electric Appliances,53214105000.0,64.32135981099243,38.31869174526985,95.72083545593479,55.17065715741212,51.069791136016306,63.38288604240229,62.35766953705334
