code,company_name,company_name_ja,sector_33,scale_category,shares_source,mc,per,pbr,avg_trading_value_60d,moat_p,change_p,future_p,price_p,total
7991,"MAMIYA-OP CO.,LTD",マミヤ・オーピー株式会社,Machinery,,xbrl,11024823600.0,2.32251706313703,0.4388743570387796,39724676.666666664,79.31841421346749,96.95805659429593,88.18135506877228,95.79724910850739,90.06376874626078
6430,"DAIKOKU DENKI CO.,LTD.",ダイコク電機株式会社,Machinery,TOPIX Small 2,xbrl,30849726720.0,3.99221462335936,0.6811984110735182,161995896.66666666,84.60527784510069,94.26075793938716,88.18135506877228,88.76719307182884,88.95364598127225
4107,ISE CHEMICALS CORPORATION,伊勢化学工業株式会社,Chemicals,,xbrl,20892923500.0,3.215285241612804,0.5214106189168954,2148833416.6666665,86.62824943124258,84.31112909527263,78.62964849719816,93.70860927152319,85.81940907380914
6648,KAWADEN CORPORATION,株式会社かわでん,Electric Appliances,,xbrl,5538332800.0,2.821163260045906,0.3121189614626127,162615866.66666666,58.841133576479585,86.25495339621588,95.72083545593479,97.24910850738665,84.51650773400424
3798,"ULS Group,Inc.",ＵＬＳグループ株式会社,Information & Communication,,xbrl,2882628800.0,1.700665958702065,0.2750862486878519,119376643.33333331,80.81584692439135,81.97346095886587,66.17422312786552,98.42078451349974,81.84607888115562
5729,"NIHON SEIKO CO.,LTD",日本精鉱株式会社,Nonferrous Metals,,xbrl,3778631200.0,1.5384798791245078,0.3166581369851488,151225580.0,54.23788694356672,95.3062175587431,78.62964849719816,98.08965868568518,81.5658529212983
6675,"SAXA,Inc.",サクサ株式会社,Electric Appliances,,xbrl,11039741234.0,1.5925766350259665,0.35885259504615785,112361550.2709961,61.86015510155581,63.14413685326785,95.72083545593479,97.50382068262863,79.55723702334677
4972,"Soken Chemical & Engineering Co.,Ltd.",綜研化学株式会社,Chemicals,,xbrl,28600845000.0,6.532067048088525,0.7525913309039737,220640216.66666663,70.73091559122531,85.87500697661439,78.62964849719816,82.6795720835456,79.47878578714585
9722,FUJITA KANKO INC.,藤田観光株式会社,Services,TOPIX Small 1,xbrl,21283093824.0,2.2904750133448126,0.5780621930577435,492975990.0,69.85283294717959,82.15758776580901,54.3555781966378,93.428425878757,74.94860619709584
7595,ARGO GRAPHICS Inc.,株式会社アルゴグラフィックス,Information & Communication,TOPIX Small 1,xbrl,27628723000.0,3.627892945030614,0.46302606226532034,319902865.0,68.57845890072987,70.18758720767985,66.17422312786552,94.4218033622007,74.84051814961899
5975,Topre Corporation,東プレ株式会社,Metal Products,TOPIX Small 1,xbrl,136162824320.0,9.515221825296996,0.6098927438781315,237861173.33333337,50.53546376705225,88.59158899369314,78.62964849719816,81.40601120733572,74.79067811631981
3443,"KAWADA TECHNOLOGIES,INC.",川田テクノロジーズ株式会社,Metal Products,TOPIX Small 2,xbrl,20252837650.0,1.8152583714260107,0.22117569974554707,603407098.0633545,53.355608467431615,64.46316347602836,78.62964849719816,98.75191034131431,73.80008269549312
6580,"Writeup Co.,Ltd.",株式会社ライトアップ,Services,,xbrl,3857543700.0,7.838066665989373,1.2252934874205157,205702778.33333337,78.78404660903863,94.1285929564101,54.3555781966378,66.09780947529292,73.34150680934486
7722,"KOKUSAI CO.,LTD.",国際計測器株式会社,Precision Instruments,,xbrl,10559172000.0,10.556406221569949,0.9101441450387049,54644238.333333336,44.86220414949733,78.57894736842105,95.72083545593479,68.39021905247071,71.88805150658098
7715,"NAGANO KEIKI CO.,LTD.",長野計器株式会社,Precision Instruments,TOPIX Small 2,xbrl,65010527920.0,10.596108650223844,1.455810854420567,259309571.66666663,61.455044615840976,66.61832338003013,95.72083545593479,54.22822210901681,69.50560639020568
1435,robot home Inc.,株式会社ｒｏｂｏｔ　ｈｏｍｅ,Real Estate,TOPIX Small 2,xbrl,14471340100.0,7.265374533781365,1.2958981591801226,133587750.0,70.86566709169307,91.75718591282023,45.924605196128375,65.86856851757514,68.6040066795542
9024,SEIBU HOLDINGS INC.,株式会社西武ホールディングス,Land Transportation,TOPIX Mid400,yfinance,708266406262.0,2.740406984101558,1.2488651702296483,5192218363.333333,75.84156570728183,98.54950605570129,22.69485481406011,72.36372898624555,67.3624138908222
1723,"NIHON DENGI CO.,LTD.",日本電技株式会社,Construction,,xbrl,35708700000.0,5.567305893358279,0.9030575084720045,641578548.3333334,86.22812765503397,80.41019701959033,22.69485481406011,79.72491085073867,67.26452258485577
7347,"Mercuria Holdings Co.,Ltd.",株式会社マーキュリアホールディングス,Securities and Commodities Futures,,xbrl,14227717800.0,7.4181050609706505,0.7408207736346717,31540935.0,84.55215287926723,78.67042473628398,22.69485481406011,81.66072338257769,66.89453895304725
9009,"Keisei Electric Railway Co.,Ltd.",京成電鉄株式会社,Land Transportation,TOPIX Mid400,xbrl,525094007400.0,7.286798787138674,1.0008310316434705,2677283185.0,58.8167089338002,88.51186024446056,46.23025980641874,73.33163525216506,66.72261605921113
