removed_component,objective_after_removal,objective_drop,top1200_utility_drop,best_topn_shift,phase1_top5_coverage_change,sector_hhi_change,anomaly_rate_change,gp_missing_rate_change
liquidity,0.4706548914150043,0.31474279582960385,0.324643094071551,0,0,0.009376388888888906,0.0,0.0
bm,0.514865487915919,0.2705321993286891,0.2831768095376206,0,0,0.0080277777777778,0.0,0.0
gp,0.5332501378176885,0.25214754942691964,0.2538653376843314,0,0,-0.0052249999999999935,0.0,0.0
ep,0.5341491195862093,0.25124856765839887,0.2514896197978156,0,0,0.0005472222222222406,0.0,0.0
anomaly_penalty,0.6872264526719576,0.09817123457265053,0.2616752174053786,-900,0,-0.00010694444444443729,0.0325,0.0
piotroski,0.6982360603479544,0.08716162689665374,0.2500142678651667,-900,0,-2.6388888888881357e-05,0.0,0.0
sloan,0.7082716350882031,0.077126052156405,-0.0003432682220267935,-800,0,1.3888888888979878e-06,0.0,0.0
distress,0.7837428721192187,0.0016548151253894527,0.00020196759969048905,0,0,5.555555555555869e-05,0.0008333333333333334,0.0
microcap_penalty,0.7851500056899965,0.000247681554611634,7.391655135080555e-06,0,0,0.00019722222222222363,0.0,0.0
missingness_penalty,0.7853976872446081,0.0,0.0,0,0,0.0,0.0,0.0
