trial_id,algorithm,seed,weights_json,penalty_weights_json,normalization_method,missing_handling,overall_weight_objective,phase1_top5_rank_score,quality_preservation_score,value_discipline_score,distress_control_score,liquidity_adequacy_score,sector_diversity_score,stability_score,interpretability_score,weight_concentration,effective_number_of_weights,top1000_sector_hhi,top1000_distress_flag_rate,top1000_anomaly_flag_rate,top20_phase1_top5_count,top50_phase1_top5_count,top100_phase1_top5_count,top300_phase1_top5_count,top500_phase1_top5_count,top1000_phase1_top5_count,notes
0,baseline,42,"{""bm"": 0.14285714285714285, ""distress"": 0.14285714285714285, ""ep"": 0.14285714285714285, ""gp"": 0.14285714285714285, ""liquidity"": 0.14285714285714285, ""piotroski"": 0.14285714285714285, ""sloan"": 0.14285714285714285}","{""anomaly"": 0.12, ""microcap"": 0.1, ""missing"": 0.08, ""onetime"": 0.1}",market_percentile,median_impute_with_missing_penalty,0.9616012840542285,0.9972014202711427,1.0,1.0,0.999,1.0,0.62311,1.0,1.0,0.14285714285714285,7.0,0.07537799999999999,0.0,0.002,1,3,4,5,5,5,equal_weight
22,random_search,42,"{""bm"": 0.12604362956254564, ""distress"": 0.12047719635027214, ""ep"": 0.1563898428351214, ""gp"": 0.1049127785962435, ""liquidity"": 0.2487626339148801, ""piotroski"": 0.13100234793362947, ""sloan"": 0.11241157080730776}","{""anomaly"": 0.19849837895032832, ""microcap"": 0.11209731866211302, ""missing"": 0.2240368834047078, ""onetime"": 0.02834000041845458}",market_percentile,median_impute_with_missing_penalty,0.9547553389991223,0.9961265332472563,1.0,1.0,0.9995,1.0,0.66794,0.9067586029139267,0.9067586029139267,0.15754704989625937,6.347310220397487,0.066412,0.0,0.001,0,2,3,5,5,5,lightweight deterministic proxy for requested large search budget
1,baseline,42,"{""bm"": 0.16250000000000003, ""distress"": 0.15000000000000002, ""ep"": 0.15000000000000002, ""gp"": 0.17500000000000002, ""liquidity"": 0.07500000000000001, ""piotroski"": 0.15000000000000002, ""sloan"": 0.13750000000000004}","{""anomaly"": 0.12, ""microcap"": 0.1, ""missing"": 0.08, ""onetime"": 0.1}",market_percentile,median_impute_with_missing_penalty,0.9544686640866754,0.9978308586184634,1.0,1.0,0.999,1.0,0.60048,0.9583707696915241,0.9583707696915241,0.14906250000000004,6.708595387840669,0.079904,0.0,0.002,3,4,4,5,5,5,phase1_like_weight
171,random_search,42,"{""bm"": 0.1842317466834884, ""distress"": 0.07067952985429218, ""ep"": 0.18998450779861534, ""gp"": 0.17593133895577984, ""liquidity"": 0.11716878374073422, ""piotroski"": 0.1484591673511964, ""sloan"": 0.1135449256158936}","{""anomaly"": 0.24985111639845367, ""microcap"": 0.0909606229903775, ""missing"": 0.2956863304536024, ""onetime"": 0.13194271274414002}",market_percentile,median_impute_with_missing_penalty,0.9531272395216612,0.998692704970949,1.0,1.0,1.0,1.0,0.6253500000000001,0.9237808210622618,0.9237808210622618,0.15464398004374075,6.466465747435833,0.07493,0.0,0.0,3,4,5,5,5,5,lightweight deterministic proxy for requested large search budget
54,random_search,42,"{""bm"": 0.1460359823988409, ""distress"": 0.23324189840463022, ""ep"": 0.08823004418248132, ""gp"": 0.12855710776441517, ""liquidity"": 0.1380671115380964, ""piotroski"": 0.16516170601236008, ""sloan"": 0.10070614969917585}","{""anomaly"": 0.13447368397630532, ""microcap"": 0.11777181475257596, ""missing"": 0.22659905183842333, ""onetime"": 0.024014785093855507}",market_percentile,median_impute_with_missing_penalty,0.9522007915240507,0.9974822466107165,1.0,1.0,0.9995,1.0,0.63256,0.9126945183492273,0.9126945183492273,0.15652240698840372,6.388861628444591,0.073488,0.0,0.001,2,4,4,5,5,5,lightweight deterministic proxy for requested large search budget
150,random_search,42,"{""bm"": 0.15327854278805564, ""distress"": 0.10969148667714772, ""ep"": 0.20142403325598107, ""gp"": 0.17389384685991768, ""liquidity"": 0.12925879909075977, ""piotroski"": 0.0661370110646397, ""sloan"": 0.16631628026349846}","{""anomaly"": 0.2585443253448042, ""microcap"": 0.19267572557039805, ""missing"": 0.2948961514607721, ""onetime"": 0.20712058635465044}",market_percentile,median_impute_with_missing_penalty,0.9510874944432983,0.9977533892834086,1.0,1.0,1.0,1.0,0.60995,0.9211818048884706,0.9211818048884706,0.155080291533156,6.448272634219294,0.07801000000000001,0.0,0.0,1,3,5,5,5,5,lightweight deterministic proxy for requested large search budget
793,nsga2_proxy,42,"{""bm"": 0.24128649538523467, ""distress"": 0.20292400279242584, ""ep"": 0.13047247376272003, ""gp"": 0.14051529467330565, ""liquidity"": 0.1001503864789604, ""piotroski"": 0.09689945199491146, ""sloan"": 0.08775189491244184}","{""anomaly"": 0.11622645890740783, ""microcap"": 0.25596815258968386, ""missing"": 0.020266029519800974, ""onetime"": 0.17878818298233537}",market_percentile,median_impute_with_missing_penalty,0.950683321547827,0.9983247256294383,1.0,1.0,0.9965,1.0,0.66556,0.8748948035161609,0.8748948035161609,0.16328493698100244,6.124263624613127,0.06688799999999999,0.0,0.007,2,4,5,5,5,5,lightweight deterministic proxy for requested large search budget
354,random_search,42,"{""bm"": 0.08658236825226931, ""distress"": 0.1373227014266162, ""ep"": 0.18029420682601294, ""gp"": 0.17649104101620786, ""liquidity"": 0.12271647920327655, ""piotroski"": 0.1232860631440567, ""sloan"": 0.1733071401315603}","{""anomaly"": 0.04165541602524892, ""microcap"": 0.2729811518752384, ""missing"": 0.1758328151743099, ""onetime"": 0.15942845165162103}",market_percentile,median_impute_with_missing_penalty,0.9496434248331149,0.9968915429309231,1.0,1.0,0.9945,1.0,0.57035,0.9504593020577525,0.9504593020577525,0.15030327184746986,6.653215114404268,0.08592999999999999,0.0,0.011,1,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
167,random_search,42,"{""bm"": 0.1051083794785443, ""distress"": 0.0995769525152698, ""ep"": 0.15874142887706566, ""gp"": 0.13354895935181738, ""liquidity"": 0.12762952080525639, ""piotroski"": 0.24988724409776913, ""sloan"": 0.12550751487427741}","{""anomaly"": 0.18059908905825886, ""microcap"": 0.22125454118931773, ""missing"": 0.1547062315565916, ""onetime"": 0.021555100645870295}",market_percentile,median_impute_with_missing_penalty,0.9492534091436805,0.996833440929632,1.0,1.0,1.0,1.0,0.6171800000000001,0.9014060079812837,0.9014060079812837,0.1584825723283942,6.309842055868986,0.076564,0.0,0.0,2,4,4,5,5,5,lightweight deterministic proxy for requested large search budget
325,random_search,42,"{""bm"": 0.14686908407488433, ""distress"": 0.17486285069973406, ""ep"": 0.17592620086354605, ""gp"": 0.1795114800348973, ""liquidity"": 0.11766612747307445, ""piotroski"": 0.16847594799791749, ""sloan"": 0.03668830885594616}","{""anomaly"": 0.2806652570217959, ""microcap"": 0.0012009487328337287, ""missing"": 0.07394275592502804, ""onetime"": 0.042959021322936476}",market_percentile,median_impute_with_missing_penalty,0.9490563638998132,0.9992253066494512,1.0,1.0,1.0,1.0,0.61325,0.8990525214160245,0.8990525214160245,0.1588974386414491,6.293367649912172,0.07735,0.0,0.0,4,5,5,5,5,5,lightweight deterministic proxy for requested large search budget
